,Transcript,Topic,Sentiment,Program
0,11,Trump,-0.002977777777777779,Fox News Network THE GREG GUTFELD SHOW
1,11,Susan B. Anthony,0.10310909090909091,Fox News Network THE GREG GUTFELD SHOW
2,11,Michael,0.19731818181818184,Fox News Network THE GREG GUTFELD SHOW
3,11,Tom,0.1354909090909091,Fox News Network THE GREG GUTFELD SHOW
4,11,Tyrus,0.06297000000000001,Fox News Network THE GREG GUTFELD SHOW
5,11,Obama,0.048677777777777785,Fox News Network THE GREG GUTFELD SHOW
6,11,Joe,0.2074888888888889,Fox News Network THE GREG GUTFELD SHOW
7,11,Democrats,0.09534,Fox News Network THE GREG GUTFELD SHOW
8,11,Germany,-0.22349999999999998,Fox News Network THE GREG GUTFELD SHOW
9,11,Chewbacca,0.2717714285714286,Fox News Network THE GREG GUTFELD SHOW
10,11,Dems,-0.347275,Fox News Network THE GREG GUTFELD SHOW
11,11,America,-0.006566666666666659,Fox News Network THE GREG GUTFELD SHOW
12,11,CNN,0.070225,Fox News Network THE GREG GUTFELD SHOW
13,11,Donald Trump,0.13396666666666665,Fox News Network THE GREG GUTFELD SHOW
14,11,the Oval Office,0.12040000000000001,Fox News Network THE GREG GUTFELD SHOW
15,30,Joe Biden,-0.02197297297297297,Fox News Network THE FIVE
16,30,Joe,-0.03281724137931035,Fox News Network THE FIVE
17,30,Trump,-0.105972,Fox News Network THE FIVE
18,30,Biden,-0.024644642857142855,Fox News Network THE FIVE
19,30,Juan,0.11348,Fox News Network THE FIVE
20,30,Democrats,-0.004109090909090906,Fox News Network THE FIVE
21,30,Jesse,0.14934545454545456,Fox News Network THE FIVE
22,30,American,0.15597499999999997,Fox News Network THE FIVE
23,30,Americans,0.21763749999999998,Fox News Network THE FIVE
24,30,Republicans,0.27405,Fox News Network THE FIVE
25,30,COVID,-0.1506818181818182,Fox News Network THE FIVE
26,30,Kennedy,-0.029222222222222212,Fox News Network THE FIVE
27,30,DNC,0.02576666666666666,Fox News Network THE FIVE
28,30,Greg,0.12091428571428572,Fox News Network THE FIVE
29,30,Dana,0.1371857142857143,Fox News Network THE FIVE
30,51,Neil,0.16537826086956522,Fox News Network YOUR WORLD WITH NEIL CAVUTO
31,51,Louisiana,0.008517391304347824,Fox News Network YOUR WORLD WITH NEIL CAVUTO
32,51,Joe Biden,-0.007499999999999992,Fox News Network YOUR WORLD WITH NEIL CAVUTO
33,51,Texas,0.06841666666666668,Fox News Network YOUR WORLD WITH NEIL CAVUTO
34,51,Wisconsin,-0.054299999999999994,Fox News Network YOUR WORLD WITH NEIL CAVUTO
35,51,Trump,0.16557692307692307,Fox News Network YOUR WORLD WITH NEIL CAVUTO
36,51,Kenosha,-0.1976375,Fox News Network YOUR WORLD WITH NEIL CAVUTO
37,51,Biden,-0.051561111111111106,Fox News Network YOUR WORLD WITH NEIL CAVUTO
38,51,Democrats,-0.027183333333333348,Fox News Network YOUR WORLD WITH NEIL CAVUTO
39,51,Port Arthur,-0.06686,Fox News Network YOUR WORLD WITH NEIL CAVUTO
40,51,Washington,0.1386,Fox News Network YOUR WORLD WITH NEIL CAVUTO
41,51,Americans,0.1089,Fox News Network YOUR WORLD WITH NEIL CAVUTO
42,51,Galveston,-0.00766,Fox News Network YOUR WORLD WITH NEIL CAVUTO
43,51,National Guard,0.0445875,Fox News Network YOUR WORLD WITH NEIL CAVUTO
44,51,Joe Lieberman,0.191775,Fox News Network YOUR WORLD WITH NEIL CAVUTO
45,72,Susan Rice,0.11993809523809523,Fox News Network TUCKER CARLSON TONIGHT
46,72,Joe Biden,-0.027940000000000003,Fox News Network TUCKER CARLSON TONIGHT
47,72,Biden,0.014386486486486487,Fox News Network TUCKER CARLSON TONIGHT
48,72,Rice,0.026151428571428565,Fox News Network TUCKER CARLSON TONIGHT
49,72,Tucker,0.2841923076923077,Fox News Network TUCKER CARLSON TONIGHT
50,72,Washington,0.19682499999999994,Fox News Network TUCKER CARLSON TONIGHT
51,72,Benghazi,-0.4071833333333333,Fox News Network TUCKER CARLSON TONIGHT
52,72,Americans,-0.005966666666666669,Fox News Network TUCKER CARLSON TONIGHT
53,72,Senate,0.03782,Fox News Network TUCKER CARLSON TONIGHT
54,72,Warner,-0.19315000000000002,Fox News Network TUCKER CARLSON TONIGHT
55,72,Ellen,0.06965999999999999,Fox News Network TUCKER CARLSON TONIGHT
56,72,Kamala Harris,0.274125,Fox News Network TUCKER CARLSON TONIGHT
57,72,D.C.,0.07851999999999999,Fox News Network TUCKER CARLSON TONIGHT
58,72,Soweto,0.36846666666666666,Fox News Network TUCKER CARLSON TONIGHT
59,72,Ellen DeGeneres,0.324025,Fox News Network TUCKER CARLSON TONIGHT
60,80,China,0.02392580645161289,Fox News Network TUCKER CARLSON TONIGHT
61,80,Chinese,0.02604117647058824,Fox News Network TUCKER CARLSON TONIGHT
62,80,American,-0.05177857142857144,Fox News Network TUCKER CARLSON TONIGHT
63,80,New York,0.03996666666666668,Fox News Network TUCKER CARLSON TONIGHT
64,80,NRA,0.0637125,Fox News Network TUCKER CARLSON TONIGHT
65,80,America,-0.05222857142857144,Fox News Network TUCKER CARLSON TONIGHT
66,80,Christians,0.25953333333333334,Fox News Network TUCKER CARLSON TONIGHT
67,80,the United States,0.34928333333333333,Fox News Network TUCKER CARLSON TONIGHT
68,80,Bill de Blasio,-0.029950000000000004,Fox News Network TUCKER CARLSON TONIGHT
69,80,Americans,-0.13034000000000004,Fox News Network TUCKER CARLSON TONIGHT
70,80,Chicago,0.018279999999999998,Fox News Network TUCKER CARLSON TONIGHT
71,80,Christianity,-0.028874999999999998,Fox News Network TUCKER CARLSON TONIGHT
72,80,Bible,-0.08519166666666668,Fox News Network TUCKER CARLSON TONIGHT
73,80,Seattle,-0.1851,Fox News Network TUCKER CARLSON TONIGHT
74,80,Wuhan,0.09400000000000003,Fox News Network TUCKER CARLSON TONIGHT
75,92,Joe Biden,0.06785999999999999,Fox News Network WATTERS WORLD
76,92,Trump,0.09678095238095238,Fox News Network WATTERS WORLD
77,92,American,0.11680000000000001,Fox News Network WATTERS WORLD
78,92,Biden,0.051041666666666666,Fox News Network WATTERS WORLD
79,92,Brian,0.38749166666666673,Fox News Network WATTERS WORLD
