,Transcript,Topic,Sentiment,Program
0,7,Andy Biggs,-0.013047619047619044,Fox News Network FOX HANNITY
1,7,Trump,-0.04262631578947368,Fox News Network FOX HANNITY
2,7,Russian,-0.18872,Fox News Network FOX HANNITY
3,7,Sean,0.054076470588235274,Fox News Network FOX HANNITY
4,7,Bernie Sanders,0.2115,Fox News Network FOX HANNITY
5,7,Democrats,0.055218181818181826,Fox News Network FOX HANNITY
6,7,Bernie,0.07952,Fox News Network FOX HANNITY
7,7,Julian Assange,-0.23968999999999996,Fox News Network FOX HANNITY
8,7,Stone,-0.13569411764705883,Fox News Network FOX HANNITY
9,7,Russia,-0.17402608695652172,Fox News Network FOX HANNITY
10,7,Hillary Clinton,-0.012760000000000016,Fox News Network FOX HANNITY
11,7,Roger Stone,-0.19979999999999995,Fox News Network FOX HANNITY
12,7,Democratic,0.12259999999999997,Fox News Network FOX HANNITY
13,7,South Carolina,0.2298,Fox News Network FOX HANNITY
14,7,Castro,0.11750714285714285,Fox News Network FOX HANNITY
15,8,Bernie Sanders,0.09977272727272726,Fox News Network THE STORY WITH MARTHA MACCALLUM
16,8,Trump,0.1748538461538462,Fox News Network THE STORY WITH MARTHA MACCALLUM
17,8,Martha,0.27543571428571434,Fox News Network THE STORY WITH MARTHA MACCALLUM
18,8,South Carolina,0.11085,Fox News Network THE STORY WITH MARTHA MACCALLUM
19,8,Donald Trump,0.06267142857142859,Fox News Network THE STORY WITH MARTHA MACCALLUM
20,8,Nelson Mandela,-0.22404285714285713,Fox News Network THE STORY WITH MARTHA MACCALLUM
21,8,Bernie,0.08446666666666666,Fox News Network THE STORY WITH MARTHA MACCALLUM
22,8,Democratic,0.35062499999999996,Fox News Network THE STORY WITH MARTHA MACCALLUM
23,8,Medicare,0.22481999999999996,Fox News Network THE STORY WITH MARTHA MACCALLUM
24,8,the United States,0.35636666666666666,Fox News Network THE STORY WITH MARTHA MACCALLUM
25,8,Mike,0.012274999999999989,Fox News Network THE STORY WITH MARTHA MACCALLUM
26,8,U.S.,0.009214285714285722,Fox News Network THE STORY WITH MARTHA MACCALLUM
27,8,Democrats,0.1609,Fox News Network THE STORY WITH MARTHA MACCALLUM
28,8,Mike Bloomberg,0.14846,Fox News Network THE STORY WITH MARTHA MACCALLUM
29,8,Coronavirus,-0.28640000000000004,Fox News Network THE STORY WITH MARTHA MACCALLUM
30,24,Bloomberg,0.0963357142857143,Fox News Network THE FIVE
31,24,Trump,0.09338800000000001,Fox News Network THE FIVE
32,24,Donna,-0.0694,Fox News Network THE FIVE
33,24,Michael Bloomberg,0.046781818181818174,Fox News Network THE FIVE
34,24,Democrats,-0.0701,Fox News Network THE FIVE
35,24,Donald Trump,-0.09438888888888891,Fox News Network THE FIVE
36,24,Sam Donaldson,0.0865,Fox News Network THE FIVE
37,24,Jesse,0.20525,Fox News Network THE FIVE
38,24,New York,-0.07565714285714285,Fox News Network THE FIVE
39,24,Avenatti,-0.1449230769230769,Fox News Network THE FIVE
40,24,Mike,0.24751000000000004,Fox News Network THE FIVE
41,24,Dana,0.009766666666666673,Fox News Network THE FIVE
42,24,Michael Avenatti,-0.3015333333333333,Fox News Network THE FIVE
43,24,Greg,-0.063825,Fox News Network THE FIVE
44,24,NASCAR,0.39126,Fox News Network THE FIVE
45,27,Trump,-0.0039562499999999945,Fox News Network THE FIVE
46,27,Bernie Sanders,0.20776249999999996,Fox News Network THE FIVE
47,27,Democrats,0.014233333333333334,Fox News Network THE FIVE
48,27,Bernie,0.3075071428571428,Fox News Network THE FIVE
49,27,the New York Times,-0.16164545454545454,Fox News Network THE FIVE
50,27,Sanders,0.24330000000000002,Fox News Network THE FIVE
51,27,Juan,0.04836,Fox News Network THE FIVE
52,27,Biden,0.36671999999999993,Fox News Network THE FIVE
53,27,the Democratic Party,0.5740714285714287,Fox News Network THE FIVE
54,27,Americans,0.12528333333333333,Fox News Network THE FIVE
55,27,Jesse,0.2513875,Fox News Network THE FIVE
56,27,South Carolina,0.53335,Fox News Network THE FIVE
57,27,Russia,-0.032360000000000014,Fox News Network THE FIVE
58,27,Dana,0.0,Fox News Network THE FIVE
59,27,Greg,0.2220625,Fox News Network THE FIVE
60,43,Trump,-0.02254242424242424,Fox News Network THE FIVE
61,43,Obama,0.13012857142857145,Fox News Network THE FIVE
62,43,Jesse,0.06765333333333333,Fox News Network THE FIVE
63,43,Democrats,-0.1941461538461538,Fox News Network THE FIVE
64,43,Bernie Sanders,0.13802727272727272,Fox News Network THE FIVE
65,43,Barack Obama,0.2555461538461539,Fox News Network THE FIVE
66,43,Nevada,-0.06078181818181818,Fox News Network THE FIVE
67,43,Donna,0.151675,Fox News Network THE FIVE
68,43,Korn,0.09282222222222222,Fox News Network THE FIVE
69,43,Bernie,0.16559047619047618,Fox News Network THE FIVE
70,43,Bloomberg,0.07424705882352943,Fox News Network THE FIVE
71,43,Michael Bloomberg,-0.05783333333333333,Fox News Network THE FIVE
72,43,American,0.015283333333333362,Fox News Network THE FIVE
73,43,Dana,0.050700000000000016,Fox News Network THE FIVE
74,43,Joe,-0.0661,Fox News Network THE FIVE
75,64,Trump,0.08191041666666665,Fox News Network THE FIVE
76,64,Bernie,0.009139999999999999,Fox News Network THE FIVE
77,64,Democrats,0.017653846153846162,Fox News Network THE FIVE
78,64,New Hampshire,-0.199,Fox News Network THE FIVE
79,64,South Carolina,0.17350000000000002,Fox News Network THE FIVE
80,64,Juan,0.1352909090909091,Fox News Network THE FIVE
81,64,Joe Biden,0.027581818181818183,Fox News Network THE FIVE
82,64,Jesse,0.09343,Fox News Network THE FIVE
83,64,Dana,0.08996666666666668,Fox News Network THE FIVE
84,64,Biden,-0.03243888888888888,Fox News Network THE FIVE
85,64,U.S.,0.10600000000000001,Fox News Network THE FIVE
86,64,Joe,0.10182105263157896,Fox News Network THE FIVE
87,64,Bloomberg,-0.026128571428571445,Fox News Network THE FIVE
88,64,Roger Stone,0.0162,Fox News Network THE FIVE
89,64,Chicago,-0.12214999999999998,Fox News Network THE FIVE
90,106,Trump,-0.014186666666666669,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
91,106,Bloomberg,0.01833103448275863,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
92,106,Bret,0.15550000000000003,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
93,106,U.S.,0.1663307692307692,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
94,106,Democrats,-0.06675384615384618,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
95,106,Obama,0.09895238095238093,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
96,106,Taliban,-0.1887090909090909,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
97,106,Apple,-0.2333,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
98,106,China,-0.2928666666666666,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
99,106,Americans,0.14557777777777778,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
100,106,Mike Bloomberg,0.020712500000000023,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
101,106,Nevada,-0.14765,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
102,106,Michael Bloomberg,0.14505,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
103,106,Bernie Sanders,0.0539,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
104,106,Afghan,-0.06655,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
105,125,Trump,0.09654736842105263,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
106,125,Democrats,0.12686923076923076,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
107,125,Joe Biden,0.104325,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
108,125,U.S.,-0.20253636363636363,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
109,125,Democratic,0.08262727272727272,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
110,125,South Carolina,0.16563333333333333,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
111,125,Bret,0.16344166666666668,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
112,125,Bloomberg,0.08547500000000001,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
113,125,Afghanistan,-0.2761111111111112,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
114,125,Taliban,0.09093749999999999,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
115,125,Biden,0.117815,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
116,125,Bernie,0.17304285714285714,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
117,125,Bernie Sanders,0.249325,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
118,125,Lenin,-0.1736125,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
119,125,Ratcliffe,0.19899,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
120,128,Trump,-0.3431909090909091,Fox News Network FOX HANNITY
121,128,Flynn,-0.0004173913043478284,Fox News Network FOX HANNITY
122,128,FISA,-0.3260888888888889,Fox News Network FOX HANNITY
123,128,Joe,-0.06897142857142859,Fox News Network FOX HANNITY
124,128,FBI,-0.029411111111111103,Fox News Network FOX HANNITY
125,128,Sean,-0.23404545454545456,Fox News Network FOX HANNITY
126,128,FOX News,0.15578571428571433,Fox News Network FOX HANNITY
127,128,Barr,-0.07113333333333333,Fox News Network FOX HANNITY
128,128,Bill Barr,0.12625,Fox News Network FOX HANNITY
129,128,McCabe,-0.2642470588235294,Fox News Network FOX HANNITY
130,128,Roger Stone,-0.41209999999999997,Fox News Network FOX HANNITY
131,128,Trey Gowdy,0.11611428571428571,Fox News Network FOX HANNITY
132,128,Katie Couric,-0.1645,Fox News Network FOX HANNITY
133,128,John Brennan,-0.03326666666666667,Fox News Network FOX HANNITY
134,128,the Department of Justice,0.19873333333333335,Fox News Network FOX HANNITY
135,135,Roger Stone,-0.12327826086956521,Fox News Network TUCKER CARLSON TONIGHT
136,135,Tucker,0.03139230769230769,Fox News Network TUCKER CARLSON TONIGHT
137,135,Mark Steyn,0.020633333333333337,Fox News Network TUCKER CARLSON TONIGHT
138,135,America,0.06243125000000001,Fox News Network TUCKER CARLSON TONIGHT
139,135,Joe Biden,-0.02053333333333333,Fox News Network TUCKER CARLSON TONIGHT
140,135,Lou Dobbs,0.3992833333333334,Fox News Network TUCKER CARLSON TONIGHT
141,135,Stone,-0.143975,Fox News Network TUCKER CARLSON TONIGHT
142,135,Democrats,-0.02851428571428572,Fox News Network TUCKER CARLSON TONIGHT
143,135,China,-0.17133333333333334,Fox News Network TUCKER CARLSON TONIGHT
144,135,Pete Buttigieg,0.15816000000000002,Fox News Network TUCKER CARLSON TONIGHT
145,135,Lou,0.25782727272727274,Fox News Network TUCKER CARLSON TONIGHT
146,135,American,-0.0388142857142857,Fox News Network TUCKER CARLSON TONIGHT
147,135,Seattle,0.05996,Fox News Network TUCKER CARLSON TONIGHT
148,135,Biden,0.007366666666666674,Fox News Network TUCKER CARLSON TONIGHT
149,135,Mark,0.014284615384615387,Fox News Network TUCKER CARLSON TONIGHT
150,144,Trump,-0.023573684210526316,Fox News Network MEDIA BUZZ
151,144,Bernie,0.0923423076923077,Fox News Network MEDIA BUZZ
152,144,Bloomberg,-0.026683333333333333,Fox News Network MEDIA BUZZ
153,144,Barr,0.08552400000000002,Fox News Network MEDIA BUZZ
154,144,New Hampshire,0.20351538461538463,Fox News Network MEDIA BUZZ
155,144,Mike Bloomberg,-0.20107499999999998,Fox News Network MEDIA BUZZ
156,144,Twitter,-0.10328333333333334,Fox News Network MEDIA BUZZ
157,144,FBI,-0.12908333333333333,Fox News Network MEDIA BUZZ
158,144,Amy Klobuchar,0.13222727272727272,Fox News Network MEDIA BUZZ
159,144,Joe Biden,0.14135833333333334,Fox News Network MEDIA BUZZ
160,144,Bill Barr,0.02409000000000001,Fox News Network MEDIA BUZZ
161,144,Roger Stone,-0.0848111111111111,Fox News Network MEDIA BUZZ
162,144,Bernie Sanders,0.15936,Fox News Network MEDIA BUZZ
163,144,Sanders,0.10613157894736842,Fox News Network MEDIA BUZZ
164,144,Donald Trump,0.03624285714285713,Fox News Network MEDIA BUZZ
165,149,New Hampshire,0.17509999999999998,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
166,149,Trump,0.04590882352941176,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
167,149,Joe Biden,-0.030743478260869574,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
168,149,Biden,-0.006346153846153847,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
169,149,Bernie Sanders,0.11406666666666664,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
170,149,Martha,0.17873999999999998,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
171,149,Bret,0.08943333333333332,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
172,149,Iowa,0.271225,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
173,149,South Carolina,-0.16738333333333333,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
174,149,Elizabeth Warren,-0.01143,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
175,149,Buttigieg,0.23171052631578948,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
176,149,Klobuchar,0.29745263157894736,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
177,149,Warren,-0.027982352941176472,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
