,Transcript,Topic,Sentiment,Program
0,4,Brad Smith,0.27113333333333334,Fox News Network YOUR WORLD WITH NEIL CAVUTO
1,4,Microsoft,0.270675,Fox News Network YOUR WORLD WITH NEIL CAVUTO
2,4,the Supreme Court,0.649125,Fox News Network YOUR WORLD WITH NEIL CAVUTO
3,4,Brad,0.2348,Fox News Network YOUR WORLD WITH NEIL CAVUTO
4,4,Congress,-0.11756666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
5,4,the United States,0.4215,Fox News Network YOUR WORLD WITH NEIL CAVUTO
6,4,DACA,0.23693999999999998,Fox News Network YOUR WORLD WITH NEIL CAVUTO
7,4,Supreme Court,0.67088,Fox News Network YOUR WORLD WITH NEIL CAVUTO
8,17,Martha,0.16752857142857142,Fox News Network THE STORY WITH MARTHA MACCALLUM
9,17,the New York Times,0.14257499999999998,Fox News Network THE STORY WITH MARTHA MACCALLUM
10,17,George Floyd,-0.4512357142857142,Fox News Network THE STORY WITH MARTHA MACCALLUM
11,17,FBI,-0.076225,Fox News Network THE STORY WITH MARTHA MACCALLUM
12,17,New York,-0.044756,Fox News Network THE STORY WITH MARTHA MACCALLUM
13,17,Minneapolis,0.11275714285714286,Fox News Network THE STORY WITH MARTHA MACCALLUM
14,17,Russia,0.17277272727272727,Fox News Network THE STORY WITH MARTHA MACCALLUM
15,17,America,-0.1723416666666667,Fox News Network THE STORY WITH MARTHA MACCALLUM
16,17,Mueller,0.2984166666666667,Fox News Network THE STORY WITH MARTHA MACCALLUM
17,17,Russian,0.365625,Fox News Network THE STORY WITH MARTHA MACCALLUM
18,17,NYPD,-0.5696142857142857,Fox News Network THE STORY WITH MARTHA MACCALLUM
19,17,Lindsey Graham,0.059199999999999996,Fox News Network THE STORY WITH MARTHA MACCALLUM
20,17,Tom Cotton,0.23359999999999997,Fox News Network THE STORY WITH MARTHA MACCALLUM
21,17,Committee,-0.1356,Fox News Network THE STORY WITH MARTHA MACCALLUM
22,17,Flynn,-0.19514,Fox News Network THE STORY WITH MARTHA MACCALLUM
23,19,George Floyd,-0.20431785714285713,Fox News Network THE FIVE
24,19,Dana,0.06775384615384615,Fox News Network THE FIVE
25,19,Houston,-0.1416090909090909,Fox News Network THE FIVE
26,19,Minneapolis,0.19034444444444445,Fox News Network THE FIVE
27,19,Juan,0.15246363636363636,Fox News Network THE FIVE
28,19,Democrats,-0.08072499999999999,Fox News Network THE FIVE
29,19,New York City,0.24286666666666668,Fox News Network THE FIVE
30,19,WHO,-0.18511428571428573,Fox News Network THE FIVE
31,19,Trump,-0.0843,Fox News Network THE FIVE
32,19,the White House,0.03225999999999999,Fox News Network THE FIVE
33,19,Democratic,0.027849999999999996,Fox News Network THE FIVE
34,19,George Floyd's,-0.13598,Fox News Network THE FIVE
35,19,America,0.07446153846153847,Fox News Network THE FIVE
36,19,Joe Biden,-0.08466666666666667,Fox News Network THE FIVE
37,19,Dagen,0.0817,Fox News Network THE FIVE
38,42,Biden,-0.06804999999999999,Fox News Network THE FIVE
39,42,Juan,0.04463333333333333,Fox News Network THE FIVE
40,42,Jesse,0.08795454545454548,Fox News Network THE FIVE
41,42,Trump,0.09878888888888888,Fox News Network THE FIVE
42,42,Greg,0.16725714285714285,Fox News Network THE FIVE
43,42,Minneapolis,0.19852000000000003,Fox News Network THE FIVE
44,42,Dana,0.1519111111111111,Fox News Network THE FIVE
45,42,Katie,0.07590000000000001,Fox News Network THE FIVE
46,42,Democrats,-0.035114285714285716,Fox News Network THE FIVE
47,42,Americans,-0.3157,Fox News Network THE FIVE
48,42,David Dorn,-0.4503285714285714,Fox News Network THE FIVE
49,42,Joe Biden,-0.048585714285714274,Fox News Network THE FIVE
50,42,George Floyd,-0.6669833333333334,Fox News Network THE FIVE
51,42,the New York Times,-0.09525,Fox News Network THE FIVE
52,42,Hollywood,-0.05823333333333333,Fox News Network THE FIVE
53,62,Trump,-0.036248,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
54,62,the White House,-0.08133571428571428,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
55,62,U.S.,-0.02043636363636363,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
56,62,Esper,-0.026366666666666667,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
57,62,Bret,0.10756923076923078,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
58,62,George Floyd,-0.6364500000000001,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
59,62,Minneapolis,-0.26248,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
60,62,the Insurrection Act,0.054599999999999996,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
61,62,American,-0.04361666666666666,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
62,62,Republicans,-0.35325,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
63,62,Mark Esper,0.1939,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
64,62,Los Angeles,-0.18052,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
65,62,White House,0.016436842105263156,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
66,62,Ohio,0.056575,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
67,62,Biden,0.0326,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
68,63,Trump,-0.0455974358974359,Fox News Network MEDIA BUZZ
69,63,Mollie,0.04591666666666668,Fox News Network MEDIA BUZZ
70,63,NASCAR,-0.008374999999999994,Fox News Network MEDIA BUZZ
71,63,Coronavirus,0.2819285714285714,Fox News Network MEDIA BUZZ
72,63,Jessica,0.11069999999999999,Fox News Network MEDIA BUZZ
73,63,Twitter,-0.11841428571428571,Fox News Network MEDIA BUZZ
74,63,Americans,-0.4984166666666667,Fox News Network MEDIA BUZZ
75,63,Florida,0.15371666666666664,Fox News Network MEDIA BUZZ
76,63,Biden,-0.057640000000000004,Fox News Network MEDIA BUZZ
77,63,Bill Barr,0.3438833333333333,Fox News Network MEDIA BUZZ
78,63,New York,-0.16696666666666665,Fox News Network MEDIA BUZZ
79,63,Howie,-0.17925000000000002,Fox News Network MEDIA BUZZ
80,63,FBI,-0.4820333333333333,Fox News Network MEDIA BUZZ
81,63,Flynn,-0.1721666666666667,Fox News Network MEDIA BUZZ
82,63,Barr,0.28400000000000003,Fox News Network MEDIA BUZZ
83,73,Trump,-0.04580666666666666,Fox News Network THE STORY WITH MARTHA MACCALLUM
84,73,Martha,0.12027500000000002,Fox News Network THE STORY WITH MARTHA MACCALLUM
85,73,New York,-0.18823000000000004,Fox News Network THE STORY WITH MARTHA MACCALLUM
86,73,ICU,-0.08889,Fox News Network THE STORY WITH MARTHA MACCALLUM
87,73,Texas,0.18086249999999998,Fox News Network THE STORY WITH MARTHA MACCALLUM
88,73,Chicago,-0.07215714285714285,Fox News Network THE STORY WITH MARTHA MACCALLUM
89,73,COVID-19,-0.1922142857142857,Fox News Network THE STORY WITH MARTHA MACCALLUM
