,Transcript,Topic,Sentiment,Program
0,6,Bill,0.28705416666666667,Fox News Network INGRAHAM ANGLE
1,6,Texas,0.12010714285714287,Fox News Network INGRAHAM ANGLE
2,6,Washington,0.004130000000000004,Fox News Network INGRAHAM ANGLE
3,6,Carl,0.24081000000000002,Fox News Network INGRAHAM ANGLE
4,6,New York,0.12263333333333332,Fox News Network INGRAHAM ANGLE
5,6,Ohio,0.13783333333333334,Fox News Network INGRAHAM ANGLE
6,6,Americans,0.0736,Fox News Network INGRAHAM ANGLE
7,6,House,0.0627125,Fox News Network INGRAHAM ANGLE
8,6,Wachs,0.15767142857142855,Fox News Network INGRAHAM ANGLE
9,6,COVID-19,0.013040000000000006,Fox News Network INGRAHAM ANGLE
10,6,Elizabeth,0.17071250000000002,Fox News Network INGRAHAM ANGLE
11,6,Nebraska,0.08808,Fox News Network INGRAHAM ANGLE
12,6,Trump,-0.08552499999999999,Fox News Network INGRAHAM ANGLE
13,6,Senate,0.0,Fox News Network INGRAHAM ANGLE
14,6,Nesheiwat,0.12031666666666667,Fox News Network INGRAHAM ANGLE
15,14,Trump,0.15167222222222224,Fox News Network THE FIVE
16,14,CDC,0.13411666666666666,Fox News Network THE FIVE
17,14,Coronavirus,-0.07039999999999999,Fox News Network THE FIVE
18,14,American,0.14411666666666667,Fox News Network THE FIVE
19,14,Joe Biden,0.14758571428571426,Fox News Network THE FIVE
20,14,Italy,0.27793749999999995,Fox News Network THE FIVE
21,14,South Korea,0.27793749999999995,Fox News Network THE FIVE
22,14,Birx,0.22046000000000002,Fox News Network THE FIVE
23,14,Pence,0.10437500000000001,Fox News Network THE FIVE
24,14,the United States,0.55057,Fox News Network THE FIVE
25,14,Biden,0.14316428571428572,Fox News Network THE FIVE
26,14,Democrats,0.20338333333333336,Fox News Network THE FIVE
27,14,Democratic,0.1205,Fox News Network THE FIVE
28,14,Washington State,-0.13135,Fox News Network THE FIVE
29,14,China,0.14404,Fox News Network THE FIVE
30,22,Martha,0.039742857142857135,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,22,America,-0.08819473684210527,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,22,China,0.12098999999999997,Fox News Network THE STORY WITH MARTHA MACCALLUM
33,22,Russia,0.08649000000000001,Fox News Network THE STORY WITH MARTHA MACCALLUM
34,22,Americans,0.1258142857142857,Fox News Network THE STORY WITH MARTHA MACCALLUM
35,22,Louisiana,0.139375,Fox News Network THE STORY WITH MARTHA MACCALLUM
36,22,the United States,0.63978,Fox News Network THE STORY WITH MARTHA MACCALLUM
37,22,New Orleans,0.09545,Fox News Network THE STORY WITH MARTHA MACCALLUM
38,22,Steve Hilton,0.428925,Fox News Network THE STORY WITH MARTHA MACCALLUM
39,22,Victor Davis Hanson,0.287225,Fox News Network THE STORY WITH MARTHA MACCALLUM
40,22,COVID-19,-0.105275,Fox News Network THE STORY WITH MARTHA MACCALLUM
41,22,Iran,-0.17865,Fox News Network THE STORY WITH MARTHA MACCALLUM
42,22,U.S.,-0.2625,Fox News Network THE STORY WITH MARTHA MACCALLUM
