,Transcript,Topic,Sentiment,Program
0,1,Kevin Hassett,0.21230000000000002,Fox News Network YOUR WORLD WITH NEIL CAVUTO
1,1,There`s,0.06743333333333333,Fox News Network YOUR WORLD WITH NEIL CAVUTO
2,1,Hassett,0.24422500000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
3,1,Fed,0.1643666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
4,3,COVID-19,-0.13306666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
5,3,I`m,0.33140000000000003,Fox News Network YOUR WORLD WITH NEIL CAVUTO
6,3,Democrat,0.5636333333333333,Fox News Network YOUR WORLD WITH NEIL CAVUTO
7,3,Mother Nature,-0.154,Fox News Network YOUR WORLD WITH NEIL CAVUTO
8,9,Trump,0.11537826086956521,Fox News Network FOX NEWS @ NIGHT
9,9,Mike,0.11344615384615385,Fox News Network FOX NEWS @ NIGHT
10,9,African American,0.09474814814814815,Fox News Network FOX NEWS @ NIGHT
11,9,Hong Kong,0.06216923076923077,Fox News Network FOX NEWS @ NIGHT
12,9,Biden,0.02449999999999999,Fox News Network FOX NEWS @ NIGHT
13,9,COVID-19,0.04134,Fox News Network FOX NEWS @ NIGHT
14,9,America,0.14822051282051282,Fox News Network FOX NEWS @ NIGHT
15,9,Florida,-0.12528749999999997,Fox News Network FOX NEWS @ NIGHT
16,9,African Americans,0.06502222222222222,Fox News Network FOX NEWS @ NIGHT
17,9,New York,0.04590833333333333,Fox News Network FOX NEWS @ NIGHT
18,9,Joe Biden,-0.022009999999999995,Fox News Network FOX NEWS @ NIGHT
19,9,California,0.028925000000000006,Fox News Network FOX NEWS @ NIGHT
20,9,Richard,0.010325,Fox News Network FOX NEWS @ NIGHT
21,9,China,-0.0296125,Fox News Network FOX NEWS @ NIGHT
22,9,Chinese,0.14174545454545454,Fox News Network FOX NEWS @ NIGHT
23,15,Minneapolis,-0.1939823529411765,Fox News Network THE STORY WITH MARTHA MACCALLUM
24,15,Trump,-0.1414153846153846,Fox News Network THE STORY WITH MARTHA MACCALLUM
25,15,Martha,0.05704615384615385,Fox News Network THE STORY WITH MARTHA MACCALLUM
26,15,George Floyd,-0.16024545454545455,Fox News Network THE STORY WITH MARTHA MACCALLUM
27,15,Russia,0.0011538461538461592,Fox News Network THE STORY WITH MARTHA MACCALLUM
28,15,China,0.1038888888888889,Fox News Network THE STORY WITH MARTHA MACCALLUM
29,15,the United States,-0.0018124999999999947,Fox News Network THE STORY WITH MARTHA MACCALLUM
30,15,Fox News,0.04568571428571428,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,15,Atlanta,0.08132857142857143,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,15,America,-0.15475999999999998,Fox News Network THE STORY WITH MARTHA MACCALLUM
33,15,Minnesota,-0.05466666666666664,Fox News Network THE STORY WITH MARTHA MACCALLUM
