,Transcript,Topic,Sentiment,Program
0,18,Trump,0.019961904761904768,Fox News Network THE FIVE
1,18,Joe Biden,0.1085695652173913,Fox News Network THE FIVE
2,18,Biden,0.045799999999999993,Fox News Network THE FIVE
3,18,Juan,0.04255384615384615,Fox News Network THE FIVE
4,18,Dana,0.06340833333333333,Fox News Network THE FIVE
5,18,America,-0.03480769230769232,Fox News Network THE FIVE
6,18,Elizabeth Warren,-0.01931428571428571,Fox News Network THE FIVE
7,18,Jesse,0.10252499999999999,Fox News Network THE FIVE
8,18,Pennsylvania,-0.06812857142857143,Fox News Network THE FIVE
9,18,Joe,0.05210689655172414,Fox News Network THE FIVE
10,18,Democrats,0.2518333333333333,Fox News Network THE FIVE
11,18,Greg,0.1204625,Fox News Network THE FIVE
12,18,Donald Trump,-0.01861999999999999,Fox News Network THE FIVE
13,18,Fox,0.1647,Fox News Network THE FIVE
14,18,Republicans,0.002766666666666695,Fox News Network THE FIVE
15,28,Trump,0.1476375,Fox News Network THE FIVE
16,28,Pennsylvania,0.058476,Fox News Network THE FIVE
17,28,Arizona,0.2773888888888889,Fox News Network THE FIVE
18,28,Joe Biden,0.3090315789473684,Fox News Network THE FIVE
19,28,Juan,0.03790000000000001,Fox News Network THE FIVE
20,28,Biden,0.24386285714285713,Fox News Network THE FIVE
21,28,Democrats,0.3178166666666667,Fox News Network THE FIVE
22,28,Senate,0.3666692307692308,Fox News Network THE FIVE
23,28,Republicans,0.13260909090909093,Fox News Network THE FIVE
24,28,Donald Trump,0.19912000000000002,Fox News Network THE FIVE
25,28,House,0.29067272727272725,Fox News Network THE FIVE
26,28,Michigan,0.3244888888888889,Fox News Network THE FIVE
27,28,Martha,0.2143818181818182,Fox News Network THE FIVE
28,28,Nevada,0.1978375,Fox News Network THE FIVE
29,28,Republican,0.11398571428571429,Fox News Network THE FIVE
30,31,Trump,-0.06124838709677419,Fox News Network FOX HANNITY
31,31,Pennsylvania,0.15385,Fox News Network FOX HANNITY
32,31,American,0.0463076923076923,Fox News Network FOX HANNITY
33,31,Republican,0.043062500000000004,Fox News Network FOX HANNITY
34,31,Joe Biden,-0.04435,Fox News Network FOX HANNITY
35,31,Democrats,-0.4063666666666667,Fox News Network FOX HANNITY
36,31,Republicans,0.03777499999999999,Fox News Network FOX HANNITY
37,31,Biden,-0.04726875,Fox News Network FOX HANNITY
38,31,America,0.18544090909090907,Fox News Network FOX HANNITY
39,31,Georgia,0.022199999999999998,Fox News Network FOX HANNITY
40,31,Russia,-0.5133749999999999,Fox News Network FOX HANNITY
41,31,Donald Trump,-0.1114875,Fox News Network FOX HANNITY
42,31,Sean,0.12022500000000003,Fox News Network FOX HANNITY
43,31,Ken Starr,0.06743333333333333,Fox News Network FOX HANNITY
44,31,Michigan,0.23956,Fox News Network FOX HANNITY
45,44,Trump,-0.0031779661016949155,Fox News Network MEDIA BUZZ
46,44,Joe Biden,0.23024642857142857,Fox News Network MEDIA BUZZ
47,44,Donald Trump,0.08720909090909092,Fox News Network MEDIA BUZZ
48,44,Biden,0.20148478260869562,Fox News Network MEDIA BUZZ
49,44,Twitter,0.007999999999999985,Fox News Network MEDIA BUZZ
50,44,Fox,0.1917375,Fox News Network MEDIA BUZZ
51,44,the White House,0.09688888888888887,Fox News Network MEDIA BUZZ
52,44,CNN,-0.12632500000000002,Fox News Network MEDIA BUZZ
53,44,Pennsylvania,0.3466142857142857,Fox News Network MEDIA BUZZ
54,44,Fox News,0.1769666666666667,Fox News Network MEDIA BUZZ
55,44,New York,-0.04316249999999999,Fox News Network MEDIA BUZZ
56,44,MSNBC,-0.34076000000000006,Fox News Network MEDIA BUZZ
57,44,the United States,0.24552000000000002,Fox News Network MEDIA BUZZ
58,44,Republican,0.5563142857142858,Fox News Network MEDIA BUZZ
59,44,Howie,-0.0869,Fox News Network MEDIA BUZZ
60,52,Senate,0.22477916666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
61,52,Neil,0.205905,Fox News Network YOUR WORLD WITH NEIL CAVUTO
62,52,Republicans,-0.027383333333333332,Fox News Network YOUR WORLD WITH NEIL CAVUTO
63,52,Georgia,0.32227647058823533,Fox News Network YOUR WORLD WITH NEIL CAVUTO
64,52,the United States,0.2900285714285714,Fox News Network YOUR WORLD WITH NEIL CAVUTO
65,52,Joe Biden,0.28205833333333336,Fox News Network YOUR WORLD WITH NEIL CAVUTO
66,52,Trump,0.115,Fox News Network YOUR WORLD WITH NEIL CAVUTO
67,52,Biden,0.21057727272727272,Fox News Network YOUR WORLD WITH NEIL CAVUTO
68,52,Republican,0.009839285714285717,Fox News Network YOUR WORLD WITH NEIL CAVUTO
69,52,Democrats,0.14517142857142856,Fox News Network YOUR WORLD WITH NEIL CAVUTO
70,52,Thom Tillis,0.6196200000000001,Fox News Network YOUR WORLD WITH NEIL CAVUTO
71,52,North Carolina,0.3739166666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
72,52,Disneyland,-0.05464,Fox News Network YOUR WORLD WITH NEIL CAVUTO
73,52,U.S.,-0.13997500000000002,Fox News Network YOUR WORLD WITH NEIL CAVUTO
74,52,California,0.1045,Fox News Network YOUR WORLD WITH NEIL CAVUTO
75,55,Operation Warp Speed,0.56026,Fox News Network AMERICA'S NEWSROOM
76,55,Cuomo,0.22707500000000003,Fox News Network AMERICA'S NEWSROOM
77,55,Alex Azar,0.2993,Fox News Network AMERICA'S NEWSROOM
78,55,American,0.6829666666666667,Fox News Network AMERICA'S NEWSROOM
79,55,Pfizer,0.1468,Fox News Network AMERICA'S NEWSROOM
80,55,FDA,0.1101,Fox News Network AMERICA'S NEWSROOM
81,55,Carson,0.6623,Fox News Network AMERICA'S NEWSROOM
82,55,Trump,0.5371666666666667,Fox News Network AMERICA'S NEWSROOM
83,55,Health and Human Service,0.2993,Fox News Network AMERICA'S NEWSROOM
84,56,FDA,0.3793,Fox News Network AMERICA'S NEWSROOM
85,56,Alex Azar,0.0625,Fox News Network AMERICA'S NEWSROOM
86,56,Moderna,0.3630333333333334,Fox News Network AMERICA'S NEWSROOM
87,59,Moderna,0.1865,Fox News Network FOX AND FRIENDS
88,59,Pfizer,0.36232,Fox News Network FOX AND FRIENDS
89,59,U.S.,0.357525,Fox News Network FOX AND FRIENDS
90,59,Alex Azar,0.357525,Fox News Network FOX AND FRIENDS
91,59,Trump,0.4039333333333334,Fox News Network FOX AND FRIENDS
92,59,Health and Human Services,0.357525,Fox News Network FOX AND FRIENDS
93,59,Interviewed on,0.47669999999999996,Fox News Network FOX AND FRIENDS
94,59,Fox,0.47669999999999996,Fox News Network FOX AND FRIENDS
95,59,Friends,0.357525,Fox News Network FOX AND FRIENDS
96,59,Fox News,0.47669999999999996,Fox News Network FOX AND FRIENDS
97,59,American,0.025733333333333334,Fox News Network FOX AND FRIENDS
98,69,Alyssa,0.09996153846153846,Fox News Network AMERICA'S NEWSROOM
99,69,Trump,0.19563333333333333,Fox News Network AMERICA'S NEWSROOM
100,69,White House,0.18615,Fox News Network AMERICA'S NEWSROOM
101,69,Biden,0.0262375,Fox News Network AMERICA'S NEWSROOM
102,69,American,0.05108181818181819,Fox News Network AMERICA'S NEWSROOM
103,69,Americans,-0.07608000000000001,Fox News Network AMERICA'S NEWSROOM
104,69,Alyssa Farah,0.05464,Fox News Network AMERICA'S NEWSROOM
105,69,North Carolina,0.14784999999999998,Fox News Network AMERICA'S NEWSROOM
106,69,Strategic Communications,0.0683,Fox News Network AMERICA'S NEWSROOM
107,69,Interviewed on America's,0.0683,Fox News Network AMERICA'S NEWSROOM
108,69,Newsroom,0.0683,Fox News Network AMERICA'S NEWSROOM
109,69,Fox News,0.0683,Fox News Network AMERICA'S NEWSROOM
110,69,the White House,0.26603333333333334,Fox News Network AMERICA'S NEWSROOM
111,78,Biden,0.035043137254901956,Fox News Network INGRAHAM ANGLE
112,78,Trump,-0.13433030303030302,Fox News Network INGRAHAM ANGLE
113,78,China,0.31305263157894736,Fox News Network INGRAHAM ANGLE
114,78,America,-0.13454999999999998,Fox News Network INGRAHAM ANGLE
115,78,U.S.,-0.08664285714285715,Fox News Network INGRAHAM ANGLE
116,78,Georgia,0.032575,Fox News Network INGRAHAM ANGLE
117,78,Obama,0.2913,Fox News Network INGRAHAM ANGLE
118,78,Donald Trump,-0.17445714285714284,Fox News Network INGRAHAM ANGLE
119,78,Senate,0.14553333333333335,Fox News Network INGRAHAM ANGLE
120,78,Republicans,0.24191666666666667,Fox News Network INGRAHAM ANGLE
121,78,Iran,0.23771428571428574,Fox News Network INGRAHAM ANGLE
122,78,Atlas,0.008049999999999988,Fox News Network INGRAHAM ANGLE
123,78,American,-0.20906666666666665,Fox News Network INGRAHAM ANGLE
124,78,COVID,-0.052700000000000004,Fox News Network INGRAHAM ANGLE
125,78,Joe Biden,0.1948,Fox News Network INGRAHAM ANGLE
126,89,Joe,0.13496470588235293,Fox News Network THE GREG GUTFELD SHOW
127,89,Trump,-0.1514285714285714,Fox News Network THE GREG GUTFELD SHOW
128,89,Florida,-0.15574444444444444,Fox News Network THE GREG GUTFELD SHOW
