,Transcript,Topic,Sentiment,Program
0,12,Shannon,0.14343333333333333,Fox News Network FOX NEWS @ NIGHT
1,12,Trump,-0.10601111111111111,Fox News Network FOX NEWS @ NIGHT
2,12,Biden,0.051962068965517236,Fox News Network FOX NEWS @ NIGHT
3,12,Joe Biden,0.018810000000000004,Fox News Network FOX NEWS @ NIGHT
4,12,the New York Times,0.07935555555555557,Fox News Network FOX NEWS @ NIGHT
5,12,Twitter,0.020675,Fox News Network FOX NEWS @ NIGHT
6,12,Philadelphia,-0.5826,Fox News Network FOX NEWS @ NIGHT
7,12,Florida,0.06733333333333333,Fox News Network FOX NEWS @ NIGHT
8,12,Miles Taylor,-0.04167142857142858,Fox News Network FOX NEWS @ NIGHT
9,12,New Orleans,-0.06271666666666667,Fox News Network FOX NEWS @ NIGHT
10,12,Texas,-0.11988000000000001,Fox News Network FOX NEWS @ NIGHT
11,12,CNN,-0.029400000000000003,Fox News Network FOX NEWS @ NIGHT
12,12,Tony Bobulinski,-0.01755,Fox News Network FOX NEWS @ NIGHT
13,12,Michigan,-0.059199999999999996,Fox News Network FOX NEWS @ NIGHT
14,12,Pennsylvania,-0.17575000000000002,Fox News Network FOX NEWS @ NIGHT
15,41,Biden,0.05520499999999999,Fox News Network FOX HANNITY
16,41,Joe,-0.012960526315789467,Fox News Network FOX HANNITY
17,41,Joe Biden,0.059458823529411745,Fox News Network FOX HANNITY
18,41,Democrats,0.15142142857142857,Fox News Network FOX HANNITY
19,41,Trump,0.18601176470588232,Fox News Network FOX HANNITY
20,41,American,0.011275000000000007,Fox News Network FOX HANNITY
21,41,Senate,0.33785333333333334,Fox News Network FOX HANNITY
22,41,Sean,0.121425,Fox News Network FOX HANNITY
23,41,Democratic,0.0457875,Fox News Network FOX HANNITY
24,41,Florida,0.23201428571428573,Fox News Network FOX HANNITY
25,41,Mormon,-0.08038,Fox News Network FOX HANNITY
26,41,Bernie,0.17127000000000003,Fox News Network FOX HANNITY
27,41,Geraldo,0.02295000000000001,Fox News Network FOX HANNITY
28,41,Democrat,0.08688000000000001,Fox News Network FOX HANNITY
29,41,D.C.,0.01888,Fox News Network FOX HANNITY
30,54,Oregon,-0.0642888888888889,Fox News Network FOX AND FRIENDS
31,54,Portland,-0.08468,Fox News Network FOX AND FRIENDS
32,54,Peter DeFazio,0.4789666666666667,Fox News Network FOX AND FRIENDS
33,54,Congress,0.355475,Fox News Network FOX AND FRIENDS
34,54,DeFazio,0.318,Fox News Network FOX AND FRIENDS
35,61,Trump,0.014892857142857142,Fox News Network THE FIVE
36,61,Joe Biden,-0.06472916666666666,Fox News Network THE FIVE
37,61,Democrats,0.041,Fox News Network THE FIVE
38,61,Biden,-0.13121190476190475,Fox News Network THE FIVE
