,Transcript,Topic,Sentiment,Program
0,13,Biden,0.13315862068965517,Fox News Network INGRAHAM ANGLE
1,13,Trump,0.15301481481481483,Fox News Network INGRAHAM ANGLE
2,13,COVID,0.2193923076923077,Fox News Network INGRAHAM ANGLE
3,13,Democrats,0.18301,Fox News Network INGRAHAM ANGLE
4,13,Nancy Pelosi,0.06525,Fox News Network INGRAHAM ANGLE
5,13,Florida,0.07617,Fox News Network INGRAHAM ANGLE
6,13,Joe Biden,0.0708,Fox News Network INGRAHAM ANGLE
7,13,California,0.20685,Fox News Network INGRAHAM ANGLE
8,13,Laura,-0.08518,Fox News Network INGRAHAM ANGLE
9,13,America,0.007419047619047611,Fox News Network INGRAHAM ANGLE
10,13,Middle East,0.2299444444444444,Fox News Network INGRAHAM ANGLE
11,13,Americans,-0.043737500000000006,Fox News Network INGRAHAM ANGLE
12,13,Ben,0.0894875,Fox News Network INGRAHAM ANGLE
13,13,House,0.14323636363636363,Fox News Network INGRAHAM ANGLE
14,13,Democrat,0.17059411764705884,Fox News Network INGRAHAM ANGLE
15,95,Biden,0.13903055555555557,Fox News Network THE FIVE
16,95,Trump,0.13055,Fox News Network THE FIVE
17,95,Juan,-0.06641111111111112,Fox News Network THE FIVE
18,95,Joe Biden,0.29585,Fox News Network THE FIVE
19,95,NAFTA,0.10708,Fox News Network THE FIVE
20,95,New York City,0.003899999999999984,Fox News Network THE FIVE
21,95,Jesse,-0.039136363636363636,Fox News Network THE FIVE
22,95,Greg,0.2111095238095238,Fox News Network THE FIVE
23,95,Dana,-0.008833333333333323,Fox News Network THE FIVE
24,95,American,-0.21875,Fox News Network THE FIVE
25,95,Dagen,-0.0005625000000000005,Fox News Network THE FIVE
26,95,USMCA,0.40476,Fox News Network THE FIVE
27,95,Fox,0.13851666666666668,Fox News Network THE FIVE
28,95,Shanksville,0.47640000000000005,Fox News Network THE FIVE
29,95,America,-0.3122833333333333,Fox News Network THE FIVE
30,134,Shannon,0.1628206896551724,Fox News Network FOX NEWS @ NIGHT
31,134,California,-0.0437217391304348,Fox News Network FOX NEWS @ NIGHT
32,134,Trump,-0.18896250000000003,Fox News Network FOX NEWS @ NIGHT
33,134,Biden,-0.06622000000000001,Fox News Network FOX NEWS @ NIGHT
