,Transcript,Topic,Sentiment,Program
0,0,people,0.34715,Fox News Network FOX NEWS @ NIGHT
1,0,right,0.3767863636363637,Fox News Network FOX NEWS @ NIGHT
2,0,states,0.14580714285714286,Fox News Network FOX NEWS @ NIGHT
3,0,shannon,0.1774388888888889,Fox News Network FOX NEWS @ NIGHT
4,0,time,0.2789111111111111,Fox News Network FOX NEWS @ NIGHT
5,0,coronavirus,0.20403076923076927,Fox News Network FOX NEWS @ NIGHT
6,0,thank,0.5733133333333333,Fox News Network FOX NEWS @ NIGHT
7,0,want,0.1483142857142857,Fox News Network FOX NEWS @ NIGHT
8,0,percent,-0.036249999999999984,Fox News Network FOX NEWS @ NIGHT
9,0,york,0.12661999999999995,Fox News Network FOX NEWS @ NIGHT
10,0,lot,-0.019723076923076937,Fox News Network FOX NEWS @ NIGHT
11,0,virus,0.01573478260869565,Fox News Network FOX NEWS @ NIGHT
12,0,things,0.0326583333333333,Fox News Network FOX NEWS @ NIGHT
13,0,data,0.343,Fox News Network FOX NEWS @ NIGHT
14,0,tests,0.5109,Fox News Network FOX NEWS @ NIGHT
15,2,s,0.30939285714285714,Fox News Network YOUR WORLD WITH NEIL CAVUTO
16,2,right,0.2657625,Fox News Network YOUR WORLD WITH NEIL CAVUTO
17,2,food,0.19226000000000004,Fox News Network YOUR WORLD WITH NEIL CAVUTO
18,2,t,0.26197333333333334,Fox News Network YOUR WORLD WITH NEIL CAVUTO
19,2,stew,0.254,Fox News Network YOUR WORLD WITH NEIL CAVUTO
20,2,people,0.10270000000000001,Fox News Network YOUR WORLD WITH NEIL CAVUTO
21,2,supply,0.10291999999999994,Fox News Network YOUR WORLD WITH NEIL CAVUTO
22,2,don,0.052200000000000024,Fox News Network YOUR WORLD WITH NEIL CAVUTO
23,2,leonard,0.5199,Fox News Network YOUR WORLD WITH NEIL CAVUTO
24,2,re,0.27495454545454545,Fox News Network YOUR WORLD WITH NEIL CAVUTO
25,2,thing,0.3241428571428572,Fox News Network YOUR WORLD WITH NEIL CAVUTO
26,2,m,0.3274666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
27,2,chain,0.6169666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
