,Transcript,Topic,Sentiment,Program
0,5,biden,0.0019240000000000101,Fox News Network FOX HANNITY
1,5,states,0.39702000000000004,Fox News Network FOX HANNITY
2,5,want,0.15370714285714285,Fox News Network FOX HANNITY
3,5,people,0.2544099999999999,Fox News Network FOX HANNITY
4,5,right,0.09400555555555559,Fox News Network FOX HANNITY
5,5,joe,-0.00570769230769232,Fox News Network FOX HANNITY
6,5,china,0.532625,Fox News Network FOX HANNITY
7,5,state,0.40140000000000003,Fox News Network FOX HANNITY
8,5,court,0.5545083333333334,Fox News Network FOX HANNITY
9,5,hunter,-0.17932307692307692,Fox News Network FOX HANNITY
10,5,election,0.2684090909090909,Fox News Network FOX HANNITY
11,5,president,0.318875,Fox News Network FOX HANNITY
12,5,democrats,0.515723076923077,Fox News Network FOX HANNITY
13,5,swalwell,0.38735714285714284,Fox News Network FOX HANNITY
14,5,media,0.19890000000000002,Fox News Network FOX HANNITY
15,10,people,0.4597954545454545,Fox News Network TUCKER CARLSON TONIGHT
16,10,texas,0.56555,Fox News Network TUCKER CARLSON TONIGHT
17,10,state,0.4796384615384615,Fox News Network TUCKER CARLSON TONIGHT
18,10,california,0.47335000000000005,Fox News Network TUCKER CARLSON TONIGHT
19,10,tucker,0.5774363636363635,Fox News Network TUCKER CARLSON TONIGHT
20,10,thank,0.6749333333333333,Fox News Network TUCKER CARLSON TONIGHT
21,10,yes,0.45333333333333325,Fox News Network TUCKER CARLSON TONIGHT
22,10,think,0.4356777777777778,Fox News Network TUCKER CARLSON TONIGHT
23,10,joe,-0.3085375,Fox News Network TUCKER CARLSON TONIGHT
24,10,year,0.3867833333333333,Fox News Network TUCKER CARLSON TONIGHT
25,10,mark,0.5863125,Fox News Network TUCKER CARLSON TONIGHT
26,10,governor,0.5253199999999999,Fox News Network TUCKER CARLSON TONIGHT
27,10,percent,-0.26511999999999997,Fox News Network TUCKER CARLSON TONIGHT
28,10,right,0.11638,Fox News Network TUCKER CARLSON TONIGHT
29,10,look,0.48768,Fox News Network TUCKER CARLSON TONIGHT
30,16,biden,0.09158846153846155,Fox News Network THE FIVE
31,16,right,0.2362785714285714,Fox News Network THE FIVE
32,16,think,0.22572857142857145,Fox News Network THE FIVE
33,16,joe,-0.04954999999999999,Fox News Network THE FIVE
34,16,people,0.32619285714285723,Fox News Network THE FIVE
35,16,hunter,0.1825,Fox News Network THE FIVE
36,16,look,0.12077894736842107,Fox News Network THE FIVE
37,16,media,0.2037235294117647,Fox News Network THE FIVE
38,16,china,0.07515000000000002,Fox News Network THE FIVE
39,16,police,0.050137500000000015,Fox News Network THE FIVE
40,16,yes,0.31465238095238096,Fox News Network THE FIVE
41,16,thing,0.18143333333333334,Fox News Network THE FIVE
42,16,greg,0.1259,Fox News Network THE FIVE
43,16,point,0.16520769230769233,Fox News Network THE FIVE
44,16,dana,0.11004999999999998,Fox News Network THE FIVE
45,37,people,0.2138,Fox News Network FOX AND FRIENDS
46,37,fox,0.7721,Fox News Network FOX AND FRIENDS
47,37,vaccine,0.64398,Fox News Network FOX AND FRIENDS
48,37,pandemic,-0.5078,Fox News Network FOX AND FRIENDS
49,37,lot,0.12310000000000001,Fox News Network FOX AND FRIENDS
50,37,healthcare,0.8770333333333333,Fox News Network FOX AND FRIENDS
51,37,governors,0.3091,Fox News Network FOX AND FRIENDS
52,37,health,0.39192,Fox News Network FOX AND FRIENDS
53,37,work,0.674475,Fox News Network FOX AND FRIENDS
54,37,things,-0.24046666666666663,Fox News Network FOX AND FRIENDS
55,37,facility,0.5314333333333334,Fox News Network FOX AND FRIENDS
56,39,vaccine,0.35461999999999994,Fox News Network AMERICA'S NEWSROOM
57,39,people,0.49054444444444445,Fox News Network AMERICA'S NEWSROOM
58,39,time,0.5795600000000001,Fox News Network AMERICA'S NEWSROOM
59,39,percent,0.32165,Fox News Network AMERICA'S NEWSROOM
60,39,data,0.33643999999999996,Fox News Network AMERICA'S NEWSROOM
61,39,lot,0.7345,Fox News Network AMERICA'S NEWSROOM
62,39,science,-0.05283333333333332,Fox News Network AMERICA'S NEWSROOM
63,39,fda,0.8387666666666668,Fox News Network AMERICA'S NEWSROOM
64,39,dr.,0.352275,Fox News Network AMERICA'S NEWSROOM
65,39,want,0.49045,Fox News Network AMERICA'S NEWSROOM
66,39,things,0.257325,Fox News Network AMERICA'S NEWSROOM
67,39,pandemic,0.6213,Fox News Network AMERICA'S NEWSROOM
68,39,surge,-0.06487499999999999,Fox News Network AMERICA'S NEWSROOM
69,45,think,0.06433200000000001,Fox News Network THE FIVE
70,45,people,-0.04176,Fox News Network THE FIVE
71,45,trump,0.028162500000000007,Fox News Network THE FIVE
72,45,right,0.07678,Fox News Network THE FIVE
73,45,time,0.17508333333333334,Fox News Network THE FIVE
74,45,biden,0.20029,Fox News Network THE FIVE
75,45,mean,-0.14449374999999998,Fox News Network THE FIVE
76,45,thing,0.253896,Fox News Network THE FIVE
77,45,want,0.0560846153846154,Fox News Network THE FIVE
78,45,vaccine,0.17514000000000002,Fox News Network THE FIVE
79,45,joe,0.19511111111111112,Fox News Network THE FIVE
80,45,greg,-0.07180909090909093,Fox News Network THE FIVE
81,45,geraldo,-0.14971111111111116,Fox News Network THE FIVE
82,45,work,0.2206307692307692,Fox News Network THE FIVE
83,45,yes,0.5094666666666668,Fox News Network THE FIVE
84,47,president,0.13378648648648647,Fox News Network MEDIA BUZZ
85,47,trump,0.26767428571428564,Fox News Network MEDIA BUZZ
86,47,media,0.17196756756756754,Fox News Network MEDIA BUZZ
87,47,biden,-0.1025125,Fox News Network MEDIA BUZZ
