,Transcript,Topic,Sentiment,Program
0,21,trump,-0.072385,Fox News Network INGRAHAM ANGLE
1,21,comey,-0.011350000000000013,Fox News Network INGRAHAM ANGLE
2,21,democrats,-0.11733157894736841,Fox News Network INGRAHAM ANGLE
3,21,president,-0.05057142857142859,Fox News Network INGRAHAM ANGLE
4,21,think,-0.045255,Fox News Network INGRAHAM ANGLE
5,21,way,0.3090545454545454,Fox News Network INGRAHAM ANGLE
6,21,fbi,0.2534625,Fox News Network INGRAHAM ANGLE
7,21,impeachment,-0.062045454545454536,Fox News Network INGRAHAM ANGLE
8,21,mueller,-0.1347142857142857,Fox News Network INGRAHAM ANGLE
9,21,report,-0.06666153846153847,Fox News Network INGRAHAM ANGLE
10,21,generation,0.3453857142857143,Fox News Network INGRAHAM ANGLE
11,21,tonight,0.16217777777777778,Fox News Network INGRAHAM ANGLE
12,21,people,0.3532727272727273,Fox News Network INGRAHAM ANGLE
13,21,country,0.22626999999999997,Fox News Network INGRAHAM ANGLE
14,21,right,0.1795,Fox News Network INGRAHAM ANGLE
15,36,think,0.005203030303030281,Fox News Network INGRAHAM ANGLE
16,36,president,0.10046862745098037,Fox News Network INGRAHAM ANGLE
17,36,trump,0.17041612903225803,Fox News Network INGRAHAM ANGLE
18,36,schiff,-0.06121200000000001,Fox News Network INGRAHAM ANGLE
19,36,democrats,-0.05570384615384616,Fox News Network INGRAHAM ANGLE
20,36,house,0.16200384615384616,Fox News Network INGRAHAM ANGLE
21,36,witnesses,0.17868,Fox News Network INGRAHAM ANGLE
22,36,want,-0.045959090909090915,Fox News Network INGRAHAM ANGLE
23,36,right,0.08879655172413793,Fox News Network INGRAHAM ANGLE
24,36,senate,0.2314333333333333,Fox News Network INGRAHAM ANGLE
25,36,people,-0.020521052631578968,Fox News Network INGRAHAM ANGLE
26,36,impeachment,0.090045,Fox News Network INGRAHAM ANGLE
27,36,adam,-0.13547222222222222,Fox News Network INGRAHAM ANGLE
28,36,illegitimate,-0.006614285714285731,Fox News Network INGRAHAM ANGLE
29,36,tonight,0.26714375,Fox News Network INGRAHAM ANGLE
30,38,year,0.338756,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
31,38,president,0.1897772727272727,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
32,38,trump,0.19038750000000002,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
33,38,u.s.,0.09022424242424242,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
34,38,tonight,0.09384999999999999,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
35,38,people,-0.10957222222222224,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
36,38,campaign,0.18165,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
37,38,bret,0.3062133333333332,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
38,38,think,0.16609285714285713,Fox News Network FOX SPECIAL REPORT WITH BRET BAIER
