,Transcript,Topic,Sentiment,Program
0,20,john,0.5045266666666667,Fox News Network LIVE EVENT
1,20,lewis,0.48616666666666664,Fox News Network LIVE EVENT
2,20,bridge,0.49076666666666663,Fox News Network LIVE EVENT
3,20,people,0.5255722222222222,Fox News Network LIVE EVENT
4,20,life,0.5417133333333335,Fox News Network LIVE EVENT
5,20,congressman,0.6688583333333334,Fox News Network LIVE EVENT
6,20,time,0.6193842105263158,Fox News Network LIVE EVENT
7,20,look,0.47188333333333327,Fox News Network LIVE EVENT
8,20,rights,0.8038875,Fox News Network LIVE EVENT
9,20,today,0.2609142857142857,Fox News Network LIVE EVENT
10,20,way,0.6044142857142857,Fox News Network LIVE EVENT
11,20,alabama,0.5015909090909092,Fox News Network LIVE EVENT
12,20,march,0.7427833333333335,Fox News Network LIVE EVENT
13,20,day,0.4770750000000001,Fox News Network LIVE EVENT
14,20,trouble,0.6199500000000001,Fox News Network LIVE EVENT
15,25,people,0.2823576923076923,Fox News Network THE FIVE
16,25,think,0.4734,Fox News Network THE FIVE
17,25,school,0.392135,Fox News Network THE FIVE
18,25,schools,0.5163642857142856,Fox News Network THE FIVE
19,25,want,0.3705958333333334,Fox News Network THE FIVE
20,25,right,0.464225,Fox News Network THE FIVE
21,25,percent,0.3701428571428571,Fox News Network THE FIVE
22,25,lot,0.33271249999999997,Fox News Network THE FIVE
23,25,president,0.3980941176470588,Fox News Network THE FIVE
24,25,time,0.48550833333333326,Fox News Network THE FIVE
25,25,parents,0.493275,Fox News Network THE FIVE
26,25,children,0.9051333333333335,Fox News Network THE FIVE
27,25,way,0.41605833333333336,Fox News Network THE FIVE
28,25,juan,-0.009450000000000024,Fox News Network THE FIVE
29,25,country,0.6134714285714286,Fox News Network THE FIVE
30,32,think,0.22415151515151513,Fox News Network THE STORY WITH MARTHA MACCALLUM
31,32,president,0.39614374999999996,Fox News Network THE STORY WITH MARTHA MACCALLUM
32,32,people,0.15804814814814813,Fox News Network THE STORY WITH MARTHA MACCALLUM
33,32,time,0.16274999999999998,Fox News Network THE STORY WITH MARTHA MACCALLUM
34,32,today,0.325552380952381,Fox News Network THE STORY WITH MARTHA MACCALLUM
35,32,martha,0.4720826086956522,Fox News Network THE STORY WITH MARTHA MACCALLUM
36,32,portland,-0.1403916666666667,Fox News Network THE STORY WITH MARTHA MACCALLUM
37,32,right,0.4915799999999999,Fox News Network THE STORY WITH MARTHA MACCALLUM
38,32,want,0.36442399999999997,Fox News Network THE STORY WITH MARTHA MACCALLUM
