,Transcript,Topic,Sentiment,Program
0,1,s,0.20288333333333333,Fox News Network YOUR WORLD WITH NEIL CAVUTO
1,1,right,0.10378333333333334,Fox News Network YOUR WORLD WITH NEIL CAVUTO
2,1,think,0.11156666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
3,1,t,0.16230666666666668,Fox News Network YOUR WORLD WITH NEIL CAVUTO
4,1,hassett,0.34093333333333337,Fox News Network YOUR WORLD WITH NEIL CAVUTO
5,1,money,-0.16253333333333334,Fox News Network YOUR WORLD WITH NEIL CAVUTO
6,1,kevin,0.34093333333333337,Fox News Network YOUR WORLD WITH NEIL CAVUTO
7,1,senator,0.42313333333333336,Fox News Network YOUR WORLD WITH NEIL CAVUTO
8,1,launch,0.11156666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
9,1,dollars,0.15693333333333334,Fox News Network YOUR WORLD WITH NEIL CAVUTO
10,3,think,0.172475,Fox News Network YOUR WORLD WITH NEIL CAVUTO
11,3,s,0.33494,Fox News Network YOUR WORLD WITH NEIL CAVUTO
12,3,re,0.3102222222222222,Fox News Network YOUR WORLD WITH NEIL CAVUTO
13,3,m,0.3102222222222222,Fox News Network YOUR WORLD WITH NEIL CAVUTO
14,3,governors,0.18510000000000001,Fox News Network YOUR WORLD WITH NEIL CAVUTO
15,3,time,-0.19256666666666664,Fox News Network YOUR WORLD WITH NEIL CAVUTO
16,3,governor,0.11685000000000001,Fox News Network YOUR WORLD WITH NEIL CAVUTO
17,3,security,0.6006666666666667,Fox News Network YOUR WORLD WITH NEIL CAVUTO
18,3,work,0.11006666666666666,Fox News Network YOUR WORLD WITH NEIL CAVUTO
19,3,covid-19,0.18510000000000001,Fox News Network YOUR WORLD WITH NEIL CAVUTO
20,3,t,0.3044909090909091,Fox News Network YOUR WORLD WITH NEIL CAVUTO
21,9,think,0.31113157894736837,Fox News Network FOX NEWS @ NIGHT
22,9,president,0.29008260869565217,Fox News Network FOX NEWS @ NIGHT
23,9,mike,0.3675541666666667,Fox News Network FOX NEWS @ NIGHT
24,9,trump,0.16773157894736845,Fox News Network FOX NEWS @ NIGHT
25,9,biden,0.1688642857142857,Fox News Network FOX NEWS @ NIGHT
26,9,people,-0.008593749999999997,Fox News Network FOX NEWS @ NIGHT
27,9,hong,-0.010712500000000014,Fox News Network FOX NEWS @ NIGHT
28,9,kong,-0.010712500000000014,Fox News Network FOX NEWS @ NIGHT
29,9,right,0.37118888888888885,Fox News Network FOX NEWS @ NIGHT
30,9,governor,0.22447619047619044,Fox News Network FOX NEWS @ NIGHT
