,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,1,John,"[0, 0, 0, 0, 1, 0]",CNN CNN NEWSROOM,April 16 2020 Thursday,0.16666666666666666
1,1,Los Angeles,"[0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 16 2020 Thursday,0.0
2,1,New York,"[0, 0, 0]",CNN CNN NEWSROOM,April 16 2020 Thursday,0.0
3,1,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,April 16 2020 Thursday,0.0
4,11,Wolf,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN THE SITUATION ROOM,April 10 2020 Friday,0.0
5,11,New York,"[-1, 0, -1, 0, -1, -1, -1, -1, 0, -1]",CNN THE SITUATION ROOM,April 10 2020 Friday,-0.7
6,11,U.S.,"[-1, -1, 0, 0, -1, 0, -1]",CNN THE SITUATION ROOM,April 10 2020 Friday,-0.5714285714285714
7,11,Philadelphia,"[0, 0, 1, 0, 0, 1, 0, -1, 0]",CNN THE SITUATION ROOM,April 10 2020 Friday,0.1111111111111111
8,11,Miami,"[1, 0, 0, 0, 0, 0, 1]",CNN THE SITUATION ROOM,April 10 2020 Friday,0.2857142857142857
9,14,Americans,"[-1, 0, -1, -1, -1, 0, 0]",CNN CNN Tonight,April 2 2020 Thursday,-0.5714285714285714
10,14,Don,"[0, 0, 1, 0, 0, 0, 1]",CNN CNN Tonight,April 2 2020 Thursday,0.2857142857142857
11,14,Fauci,"[0, 0, 0, 0, 1]",CNN CNN Tonight,April 2 2020 Thursday,0.2
12,14,CNN,"[0, 0, 0, 1, 0]",CNN CNN Tonight,April 2 2020 Thursday,0.2
13,14,the United States,"[-1, 1, -1, 0, 0]",CNN CNN Tonight,April 2 2020 Thursday,-0.2
14,79,Joe,"[0, 0, 1, 1, 1, 1, 1, 1]",CNN New Day,April 24 2020 Friday,0.75
15,79,Denver,"[0, 0, -1, -1]",CNN New Day,April 24 2020 Friday,-0.5
16,79,Biden,"[0, 0]",CNN New Day,April 24 2020 Friday,0.0
17,79,CNN,"[1, 0, 0]",CNN New Day,April 24 2020 Friday,0.3333333333333333
18,79,John Avlon,"[0, 0, 1]",CNN New Day,April 24 2020 Friday,0.3333333333333333
19,107,Americans,"[-1, -1, -1, -1]",CNN CNN Tonight,April 12 2020 Sunday,-1.0
20,107,U.S.,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN Tonight,April 12 2020 Sunday,-1.0
21,107,African,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN Tonight,April 12 2020 Sunday,-1.0
22,107,Don,"[0, 1, 1, 0, 0, 0, 1]",CNN CNN Tonight,April 12 2020 Sunday,0.42857142857142855
23,107,South,[],CNN CNN Tonight,April 12 2020 Sunday,
24,111,Anderson,"[0, -1, 0, 0, 0, -1, 0, 0, 0, -1]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.3
25,111,Detroit,"[-1, 0, 0, -1, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.4
26,111,CNN,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
27,111,U.S.,"[-1, -1, 0, -1]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.75
28,111,New York,"[0, 1, -1, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
29,112,California,"[1, 0, 1, 0, 1, 1, 1, 0, -1, -1]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.3
30,112,Anderson,"[0, 0, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
31,112,Spain,"[0, 0, 1, 0, -1]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
32,112,the United States,"[0, 0, 1]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.3333333333333333
33,112,Newsom,"[1, 0, 0, 1]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.5
34,113,CNN,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
35,113,John,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,0.0
36,113,Detroit,"[0, 0, -1, 0, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.2
37,113,American,"[-1, -1, 0]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.6666666666666666
38,113,White House,"[0, 0, 0, 0, -1]",CNN CNN NEWSROOM,April 9 2020 Thursday,-0.2
39,117,U.S.,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 1, -1, -1, -1]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.7894736842105263
40,117,Coronavirus,"[-1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.75
41,117,Trump Touts Unproven Drug,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 6 2020 Monday,0.0
42,117,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 6 2020 Monday,0.0
43,117,Japan,"[0, 1, -1, -1, 0, 0, -1, -1, -1, -1]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.5
44,119,CNN,"[0, 0, 1]",CNN CNN NEWSROOM,April 1 2020 Wednesday,0.3333333333333333
45,119,Maureen,"[0, 0, 1, -1, 0, 0, 1, 1, 1]",CNN CNN NEWSROOM,April 1 2020 Wednesday,0.3333333333333333
46,119,London,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 1 2020 Wednesday,0.0
47,119,COVID-19,"[0, -1, 0, 0]",CNN CNN NEWSROOM,April 1 2020 Wednesday,-0.25
48,119,U.S.,"[0, 0, 0, 0]",CNN CNN NEWSROOM,April 1 2020 Wednesday,0.0
49,144,Florida,"[0, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 1, 0]",CNN CNN Tonight,April 29 2020 Wednesday,-0.21428571428571427
50,144,Don,"[0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",CNN CNN Tonight,April 29 2020 Wednesday,0.07142857142857142
51,144,Trump,"[0, 0, 0, -1, 0, -1, 0, -1, 0, 0]",CNN CNN Tonight,April 29 2020 Wednesday,-0.3
52,144,New York,"[-1, 1, 0, 0, 0, -1, 0, 1]",CNN CNN Tonight,April 29 2020 Wednesday,0.0
53,144,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN Tonight,April 29 2020 Wednesday,0.0
54,175,China,"[-1, -1, 0, 0, -1, 0, 1, 1, -1, 1, 0, 1, 1, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.07142857142857142
55,175,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.0
56,175,Natalie,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.0
57,175,Easter,"[0, 0, 1, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.125
58,175,Wuhan,"[0, -1, -1, 0, -1, -1, 0, -1, -1]",CNN CNN NEWSROOM,April 10 2020 Friday,-0.6666666666666666
59,177,John,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN New Day,April 8 2020 Wednesday,0.0
60,177,CNN,"[0, 0, 0, 0, 0, 0]",CNN New Day,April 8 2020 Wednesday,0.0
61,177,Trump,"[0, -1, -1, 0, 0]",CNN New Day,April 8 2020 Wednesday,-0.4
62,177,Navy,"[0, 0, -1, -1, -1]",CNN New Day,April 8 2020 Wednesday,-0.6
63,177,Democrats,"[-1, -1, 1]",CNN New Day,April 8 2020 Wednesday,-0.3333333333333333
64,178,Navy,"[-1, 0, 0, 0, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.7
65,178,Anderson,"[0, -1, 0]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.3333333333333333
66,178,U.S.,"[-1, -1, -1, -1]",CNN CNN NEWSROOM,April 6 2020 Monday,-1.0
67,178,Europe,"[1, 1, 0, 1, 1]",CNN CNN NEWSROOM,April 6 2020 Monday,0.8
68,178,Spain,"[0, -1]",CNN CNN NEWSROOM,April 6 2020 Monday,-0.5
69,184,Los Angeles,"[0, 1, 1]",CNN CNN NEWSROOM,April 17 2020 Friday,0.6666666666666666
70,184,CORE,"[0, 1, 1, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.5
71,184,Sean Penn,"[1, 0, 1]",CNN CNN NEWSROOM,April 17 2020 Friday,0.6666666666666666
72,184,COVID-19,"[0, -1, -1, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,-0.5
73,184,Lee,"[0, 0, 0, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.0
74,228,New Zealand,"[1, 1, 1, 0, 0, -1, 0, 0]",CNN New Day,April 9 2020 Thursday,0.25
75,228,the Poor People's Campaign,"[0, 0, 1]",CNN New Day,April 9 2020 Thursday,0.3333333333333333
76,228,America,"[-1, -1, -1, 0]",CNN New Day,April 9 2020 Thursday,-0.75
77,228,CNN,"[0, 0, 0]",CNN New Day,April 9 2020 Thursday,0.0
78,231,Albany,"[-1, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 21 2020 Tuesday,-0.125
79,231,Democratic,[],CNN CNN NEWSROOM,April 21 2020 Tuesday,
80,231,Bo Dorough,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 21 2020 Tuesday,0.0
81,231,Anderson,"[0, 0, 0, 1]",CNN CNN NEWSROOM,April 21 2020 Tuesday,0.25
82,231,Trump,"[0, -1, 0, 0]",CNN CNN NEWSROOM,April 21 2020 Tuesday,-0.25
83,254,Easter,"[1, 0, 0, 0, -1, 1, 0, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.125
84,254,Christians,"[0, 0, -1, -1, 1]",CNN CNN NEWSROOM,April 10 2020 Friday,-0.2
85,254,Americans,"[-1, -1, -1, -1]",CNN CNN NEWSROOM,April 10 2020 Friday,-1.0
86,254,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,April 10 2020 Friday,0.0
87,254,U.S.,"[0, 0, -1, -1]",CNN CNN NEWSROOM,April 10 2020 Friday,-0.5
88,256,New York,"[0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 5 2020 Sunday,-0.21428571428571427
89,256,FEMA,"[0, 1, 1, -1, -1, -1, 0, -1, 0, 0, 0]",CNN CNN NEWSROOM,April 5 2020 Sunday,-0.18181818181818182
90,256,Colorado,"[0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 5 2020 Sunday,-0.18181818181818182
91,256,CNN,"[0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 5 2020 Sunday,0.0
92,256,Brooklyn,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 5 2020 Sunday,0.0
93,258,Brianna,"[0, 0, 0, 1, 0, 0, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.14285714285714285
94,258,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.0
95,258,COVID,"[0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.0
96,258,Amazon,"[0, 0, 1, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.25
97,258,USDA,"[0, 0, 0]",CNN CNN NEWSROOM,April 17 2020 Friday,0.0
98,264,U.S.,"[0, 0, 0]",CNN CNN 10,April 10 2020 Friday,0.0
99,264,CNN,"[1, 1]",CNN CNN 10,April 10 2020 Friday,1.0
100,264,Islet,[],CNN CNN 10,April 10 2020 Friday,
101,264,Mont Saint-Michel,"[1, 0, 1]",CNN CNN 10,April 10 2020 Friday,0.6666666666666666
102,296,American,"[0, 0, 1]",CNN CNN 10,April 17 2020 Friday,0.3333333333333333
