,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,6,Beirut,"[-1, -1, 0, -1, -1, 0, 0, 0]",CNN EARLY START,August 6 2020 Thursday,-0.5
1,6,Lebanese Authorities Declare Beirut,"[0, 0]",CNN EARLY START,August 6 2020 Thursday,0.0
2,6,U.S.,"[-1, -1, 1, -1, 1, 0]",CNN EARLY START,August 6 2020 Thursday,-0.16666666666666666
3,6,Lebanon,"[-1, -1, 0, 1, 0, 0, 0]",CNN EARLY START,August 6 2020 Thursday,-0.14285714285714285
4,6,CNN,"[0, 1, 0, 0, 0, 0]",CNN EARLY START,August 6 2020 Thursday,0.16666666666666666
5,7,Joe Biden,"[0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,-0.23076923076923078
6,7,John,"[0, -1, -1, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,-0.2
7,7,Trump,"[1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,0.0
8,7,Biden,"[0, -1, -1, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,-0.21052631578947367
9,7,Kanye West,"[0, 0, 0, -1, -1, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,-0.3333333333333333
10,12,Americans,"[1, -1, -1, 0, 0]",CNN CNN NEWSROOM,August 7 2020 Friday,-0.2
11,12,Georgia,"[0, 0, 0, 0, -1]",CNN CNN NEWSROOM,August 7 2020 Friday,-0.2
12,12,Jim,"[0, 0, 0]",CNN CNN NEWSROOM,August 7 2020 Friday,0.0
13,12,U.S.,"[1, -1, 0, 0]",CNN CNN NEWSROOM,August 7 2020 Friday,0.0
14,12,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,August 7 2020 Friday,0.0
15,34,Americans,"[-1, -1, -1, -1, -1]",CNN CNN NEWSROOM,August 6 2020 Thursday,-1.0
16,34,Beirut,[],CNN CNN NEWSROOM,August 6 2020 Thursday,
17,34,Lebanon,"[-1, -1, -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0]",CNN CNN NEWSROOM,August 6 2020 Thursday,-0.5625
18,34,Deadly Blast,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,August 6 2020 Thursday,-1.0
