,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,2,Wolf,"[0, -1, 0, 0, 0, 0, 1]",CNN THE SITUATION ROOM,December 20 2020 Sunday,0.0
1,2,Americans,"[1, -1, 1, 0, -1, -1, 0, 0, 0, 0, 0, 1, 0, -1]",CNN THE SITUATION ROOM,December 20 2020 Sunday,-0.07142857142857142
2,2,U.K.,"[0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1]",CNN THE SITUATION ROOM,December 20 2020 Sunday,-0.75
3,2,the United States,"[0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0]",CNN THE SITUATION ROOM,December 20 2020 Sunday,-0.3076923076923077
4,2,Biden,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 1, 0, 1]",CNN THE SITUATION ROOM,December 20 2020 Sunday,0.125
5,3,Brianna,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,December 18 2020 Friday,0.0
6,3,Russians,"[0, -1, -1, -1, 0, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,December 18 2020 Friday,-0.8
7,3,COVID,"[-1, -1, 1, -1, -1, 0, -1, -1, 0, 0, -1]",CNN CNN NEWSROOM,December 18 2020 Friday,-0.5454545454545454
8,3,ICU,"[-1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,December 18 2020 Friday,-1.0
9,3,Senate,"[0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,December 18 2020 Friday,0.0
10,19,Chris,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",CNN CUOMO PRIME TIME,December 10 2020 Thursday,0.25
11,19,FDA,"[-1, 1, 0, 0, -1, 1, 0, 0]",CNN CUOMO PRIME TIME,December 10 2020 Thursday,0.0
12,19,Congress,"[0, 0, -1, 0, 0, 0, 0, 0, 0]",CNN CUOMO PRIME TIME,December 10 2020 Thursday,-0.1111111111111111
13,19,Trump,"[-1, -1, -1, 0, -1, -1, 0, 1, -1, 0, 1, 1]",CNN CUOMO PRIME TIME,December 10 2020 Thursday,-0.25
14,19,American,"[0, 0, 0, 1, -1, 0, 0]",CNN CUOMO PRIME TIME,December 10 2020 Thursday,0.0
15,65,Biden,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",CNN CNN NEWSROOM,December 3 2020 Thursday,0.0
16,65,COVID,"[-1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1]",CNN CNN NEWSROOM,December 3 2020 Thursday,-0.7272727272727273
