,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,35,China,"[-1, 0, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0]",CNN AT THIS HOUR,February 10 2020 Monday,-0.5833333333333334
1,35,New Hampshire,"[0, 0, 0, 0, 0, -1, 0]",CNN AT THIS HOUR,February 10 2020 Monday,-0.14285714285714285
2,35,Ukraine,"[0, 0, 0, 0, 0, 0]",CNN AT THIS HOUR,February 10 2020 Monday,0.0
3,35,CNN,"[0, 0, 0, 0, 0]",CNN AT THIS HOUR,February 10 2020 Monday,0.0
4,35,Rudy Giuliani,"[-1, 0, -1]",CNN AT THIS HOUR,February 10 2020 Monday,-0.6666666666666666
5,38,Kate,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",CNN AT THIS HOUR,February 17 2020 Monday,0.14285714285714285
6,38,Bernie,"[1, 1, 1, 1, 1, 1, 1, 0, 1, -1, -1, 0, -1, -1, 1, 1, 1]",CNN AT THIS HOUR,February 17 2020 Monday,0.4117647058823529
7,38,U.S.,"[0, 1, 0, 0, -1, 1, 0]",CNN AT THIS HOUR,February 17 2020 Monday,0.14285714285714285
8,38,Americans,"[-1, 0, 0, -1, -1, 0, 0, -1, 1]",CNN AT THIS HOUR,February 17 2020 Monday,-0.3333333333333333
9,38,Bernie Sanders,"[1, 1, 1, 0, -1, 0, 0]",CNN AT THIS HOUR,February 17 2020 Monday,0.2857142857142857
10,39,Nevada,"[0, 0, 1, 0, -1, 0, 0, -1]",CNN CNN NEWSROOM,February 17 2020 Monday,-0.125
11,39,Erica,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,February 17 2020 Monday,0.0
12,39,Iowa,"[-1, -1, -1, -1, -1, 0, -1]",CNN CNN NEWSROOM,February 17 2020 Monday,-0.8571428571428571
13,39,U.S.,"[0, 0, 0, 0, 0, 1]",CNN CNN NEWSROOM,February 17 2020 Monday,0.16666666666666666
14,39,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,February 17 2020 Monday,0.0
15,40,Nevada,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN RIGHT NOW,February 17 2020 Monday,0.0
16,40,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN RIGHT NOW,February 17 2020 Monday,0.0
17,40,Democratic,"[1, 0, -1, 0, -1, 0, -1, 0, -1]",CNN CNN RIGHT NOW,February 17 2020 Monday,-0.3333333333333333
18,40,Bernie Sanders,"[0, 1, 0, 0, -1, 0, 0]",CNN CNN RIGHT NOW,February 17 2020 Monday,0.0
19,40,Trump,"[-1, 0, 0, 0, 0, 0, 0, -1]",CNN CNN RIGHT NOW,February 17 2020 Monday,-0.25
20,59,Kate,"[1, 1, 1]",CNN AT THIS HOUR,February 28 2020 Friday,1.0
