,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,13,Iran,"[-1, 0, 0, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.5789473684210527
1,13,U.S.,"[0, 0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.47368421052631576
2,13,Iraq,"[-1, 0, 0, 0, -1, 0, 0, -1, -1, 0, -1, 0, -1, -1, 0, -1, 0, -1, 0, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.5238095238095238
3,13,American,"[-1, 0, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.42857142857142855
4,13,Iranian,"[0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.3333333333333333
5,20,U.S.,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 1, 0, 0, 0, -1]",CNN EARLY START,January 17 2020 Friday,-0.4666666666666667
6,20,Trump,"[0, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, 1, 1]",CNN EARLY START,January 17 2020 Friday,-0.5882352941176471
7,20,the United States,"[0, -1, -1]",CNN EARLY START,January 17 2020 Friday,-0.6666666666666666
8,20,Ukraine,"[-1, -1, 0, 0, 0, 0, 0, 0]",CNN EARLY START,January 17 2020 Friday,-0.25
9,20,Senate,"[0, 0, 0, 0, 1]",CNN EARLY START,January 17 2020 Friday,0.2
10,21,U.S.,"[-1, -1, -1, 0, -1, -1, 0, 1]",CNN New Day,January 17 2020 Friday,-0.5
11,21,CNN,"[0, 0, -1, 0, 0, 0, 0]",CNN New Day,January 17 2020 Friday,-0.14285714285714285
12,21,Parnas,"[0, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0]",CNN New Day,January 17 2020 Friday,-0.23076923076923078
13,21,Iraq,"[-1, -1, 0, -1, -1, 0]",CNN New Day,January 17 2020 Friday,-0.6666666666666666
14,21,House,"[0, 0, -1, 0, 0, 0]",CNN New Day,January 17 2020 Friday,-0.16666666666666666
15,104,Trump,"[0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.29411764705882354
16,104,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,January 20 2020 Monday,0.0
17,104,Democrats,"[-1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, -1, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.2857142857142857
18,104,Republicans,"[0, -1, -1, 0, 0, 0, -1, 0, 0, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.4
19,104,the White House,"[0, -1, 0, -1, 0, -1, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.5714285714285714
20,139,Trump,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0, -1, -1, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.15789473684210525
21,139,Senate,"[0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, -1, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.26666666666666666
22,139,U.S.,"[0, -1, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.1111111111111111
23,139,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,0.0
24,139,Republicans,"[-1, 0, -1, 0, 0, -1, 0, -1, 0, -1, -1]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.5454545454545454
25,188,Iran,"[-1, 0, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, -1]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.5714285714285714
26,188,U.S.,"[0, 0, -1, 0, 0, 0, 1, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,0.0
27,188,Congress,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.18181818181818182
28,188,Israel,"[0, 0, 0, 1, 0, 1, 0, 0, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,0.2222222222222222
29,188,Americans,"[0, 0, 0, 0, -1]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.2
30,198,Senate,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.17647058823529413
31,198,House,"[0, -1, 0, 0, 0, 1, 0, -1, 0, -1, -1, 0, 1, 0, -1, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.1875
32,198,Clinton,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.1
33,198,Chief Justice,"[0, 0, -1, 0, 1, -1, 1, 1, 1, 0, -1, 0, 0, 0, -1, 1, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,0.058823529411764705
34,198,Republican,"[-1, -1, 0, 0, -1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.47368421052631576
