,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,5,COVID-19,"[0, 0, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1]",CNN CNN NEWSROOM,July 22 2020 Wednesday,-0.5833333333333334
1,5,Texas,"[0, -1, 0, -1, 0, -1, 0, -1, -1, 0, 0]",CNN CNN NEWSROOM,July 22 2020 Wednesday,-0.45454545454545453
2,5,New Cases,"[-1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,July 22 2020 Wednesday,-1.0
3,5,Poppy,"[0, 0, 0, -1, 0]",CNN CNN NEWSROOM,July 22 2020 Wednesday,-0.2
4,5,ICU,"[-1, -1, 0, -1, -1, -1, -1]",CNN CNN NEWSROOM,July 22 2020 Wednesday,-0.8571428571428571
5,8,Trump,"[0, -1, 0, 0, 0]",CNN The Lead with Jake Tapper,July 23 2020 Thursday,-0.2
6,8,Republicans,"[0, 0, 0, 0, 0, 0, 0, -1]",CNN The Lead with Jake Tapper,July 23 2020 Thursday,-0.125
7,8,U.S.,"[0, 0, -1, -1]",CNN The Lead with Jake Tapper,July 23 2020 Thursday,-0.5
8,8,Americans,"[1, -1, -1, 0, 1]",CNN The Lead with Jake Tapper,July 23 2020 Thursday,0.0
9,8,Chicago,"[0, -1, 0, 0, 0]",CNN The Lead with Jake Tapper,July 23 2020 Thursday,-0.2
10,36,Trump,"[-1, -1, -1, 0, -1, -1, -1, 0, 0]",CNN CUOMO PRIME TIME,July 16 2020 Thursday,-0.6666666666666666
11,36,Georgia,"[0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1]",CNN CUOMO PRIME TIME,July 16 2020 Thursday,-0.23809523809523808
12,36,U.S.,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CUOMO PRIME TIME,July 16 2020 Thursday,-1.0
13,36,White House,"[0, 0, 0, 0, -1, 0, 0]",CNN CUOMO PRIME TIME,July 16 2020 Thursday,-0.14285714285714285
14,36,COVID-19 Response,"[0, 0, -1, 0, 0, 0, -1, 0]",CNN CUOMO PRIME TIME,July 16 2020 Thursday,-0.25
15,50,Nixon,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, -1, 1, 0, 1, -1, 0, -1, 0]",CNN CNN Special Reports,July 5 2020 Sunday,0.2
16,50,Chicago,[],CNN CNN Special Reports,July 5 2020 Sunday,
