,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,0,NASCAR,"[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",CNN CNN NEWSROOM,June 11 2020 Thursday,0.7142857142857143
1,0,Confederate,"[0, 0, 0, 0, -1, 0]",CNN CNN NEWSROOM,June 11 2020 Thursday,-0.16666666666666666
2,0,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 11 2020 Thursday,0.0
3,0,the White House,"[0, 0, -1, -1, 0, -1]",CNN CNN NEWSROOM,June 11 2020 Thursday,-0.5
4,0,Brooke,"[0, 0, 0]",CNN CNN NEWSROOM,June 11 2020 Thursday,0.0
5,17,Brooks,[],CNN EARLY START,June 18 2020 Thursday,
6,17,China,"[0, -1, 0, 0, -1, -1]",CNN EARLY START,June 18 2020 Thursday,-0.5
7,17,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN EARLY START,June 18 2020 Thursday,0.0
8,17,Rayshard Brooks,"[-1, -1, -1, -1, -1]",CNN EARLY START,June 18 2020 Thursday,-1.0
9,17,Trump,"[0, -1, -1, -1, -1, -1]",CNN EARLY START,June 18 2020 Thursday,-0.8333333333333334
10,22,Delta,"[-1, -1, -1, 0, 1, 0, -1]",CNN New Day,June 30 2021 Wednesday,-0.42857142857142855
11,22,U.S.,"[0, 0, -1, 1, -1, 0]",CNN New Day,June 30 2021 Wednesday,-0.16666666666666666
12,22,Navah,"[0, 0, 1, 0, 1]",CNN New Day,June 30 2021 Wednesday,0.4
13,22,CNN,"[0, 0, 0, 0, 0]",CNN New Day,June 30 2021 Wednesday,0.0
14,22,WNBA,"[0, 1, 0, 0]",CNN New Day,June 30 2021 Wednesday,0.25
15,23,Wolf,"[0, 0, 1, 1, 0]",CNN THE SITUATION ROOM,June 5 2020 Friday,0.4
16,23,the White House,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",CNN THE SITUATION ROOM,June 5 2020 Friday,-0.1
17,23,George Floyd,"[0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0]",CNN THE SITUATION ROOM,June 5 2020 Friday,-0.15384615384615385
18,23,Washington,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN THE SITUATION ROOM,June 5 2020 Friday,-0.1
19,23,Los Angeles,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",CNN THE SITUATION ROOM,June 5 2020 Friday,0.2727272727272727
20,24,Wolf,"[0, 0]",CNN AT THIS HOUR,June 30 2021 Wednesday,0.0
21,24,California,"[0, 0, 1, 0, 0]",CNN AT THIS HOUR,June 30 2021 Wednesday,0.2
22,24,CNN,"[0, 0, 0, 0, 0]",CNN AT THIS HOUR,June 30 2021 Wednesday,0.0
23,24,We're,"[0, 0, 0, 0, 0, -1, 1, 1, 0, 0, 0]",CNN AT THIS HOUR,June 30 2021 Wednesday,0.09090909090909091
24,24,Israeli,"[-1, 0, 0]",CNN AT THIS HOUR,June 30 2021 Wednesday,-0.3333333333333333
25,25,U.S.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 30 2021 Wednesday,0.0
26,25,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 30 2021 Wednesday,0.0
27,25,Rosemary,"[0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 30 2021 Wednesday,0.0
28,25,Tigray,"[-1, -1, 0, -1, 0, -1, 0, -1]",CNN CNN NEWSROOM,June 30 2021 Wednesday,-0.625
29,25,Ethiopian,"[-1, 0, -1]",CNN CNN NEWSROOM,June 30 2021 Wednesday,-0.6666666666666666
30,37,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 7 2020 Sunday,0.0
31,37,New York,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,June 7 2020 Sunday,0.0
