,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,2,U.S.,"[-1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0]",CNN CNN LIVE EVENT/SPECIAL,March 11 2020 Wednesday,-0.625
1,2,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,March 11 2020 Wednesday,0.0
2,2,Bernie Sanders,"[-1, 0, 0, -1, -1, 0, -1, 0, -1, -1, -1, 0]",CNN CNN LIVE EVENT/SPECIAL,March 11 2020 Wednesday,-0.5833333333333334
3,2,Missouri,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,March 11 2020 Wednesday,-0.09090909090909091
4,2,Joe Biden,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, -1, -1, -1, 0]",CNN CNN LIVE EVENT/SPECIAL,March 11 2020 Wednesday,0.4666666666666667
5,18,California,"[0, 0, 0, 0, 0, 0]",CNN New Day,March 5 2020 Thursday,0.0
6,18,U.S.,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN New Day,March 5 2020 Thursday,-1.0
7,18,Coronavirus,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN New Day,March 5 2020 Thursday,0.0
8,18,Cruise Ship Linked,[],CNN New Day,March 5 2020 Thursday,
9,18,San Francisco,"[0, 0, 0, 0, -1, -1, 0, 0, 0, -1]",CNN New Day,March 5 2020 Thursday,-0.3
10,19,Elizabeth Warren,"[0, 0, 0, 0, -1, 0]",CNN CNN NEWSROOM,March 5 2020 Thursday,-0.16666666666666666
11,19,U.S.,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,March 5 2020 Thursday,-1.0
12,19,CNN,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 5 2020 Thursday,0.0
13,19,California,"[0, -1, 0]",CNN CNN NEWSROOM,March 5 2020 Thursday,-0.3333333333333333
14,19,Jim,"[0, 0]",CNN CNN NEWSROOM,March 5 2020 Thursday,0.0
15,32,New York,"[0, -1, -1, 1, 0, 1, -1, 0, -1, 0, 0, 0, -1, 0]",CNN New Day,March 26 2020 Thursday,-0.21428571428571427
16,32,John,"[0, 0, 0, 0, 1, 0, 0, 0]",CNN New Day,March 26 2020 Thursday,0.125
17,32,New Orleans,"[0, -1, 0, 0, 0, -1]",CNN New Day,March 26 2020 Thursday,-0.3333333333333333
18,32,Louisiana,"[0, -1, -1, -1, -1, -1]",CNN New Day,March 26 2020 Thursday,-0.8333333333333334
19,32,Gong,"[0, 0, 0, 0, 0, 0, 1]",CNN New Day,March 26 2020 Thursday,0.14285714285714285
20,33,Trump,"[0, 0, 0, 1, 0]",CNN Inside Politics,March 4 2020 Wednesday,0.2
21,33,the White House,"[0, 0, 0, 0, 0]",CNN Inside Politics,March 4 2020 Wednesday,0.0
22,33,Democratic,"[0, 0, 0, -1, 0]",CNN Inside Politics,March 4 2020 Wednesday,-0.2
23,33,Obama,"[-1, -1, 0, -1, 0]",CNN Inside Politics,March 4 2020 Wednesday,-0.6
24,33,Bernie Sanders,"[0, 0, 0, 0, 0, -1, -1]",CNN Inside Politics,March 4 2020 Wednesday,-0.2857142857142857
25,41,U.S. States,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 6 2020 Friday,0.0
26,41,C.D.C.,"[0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0]",CNN CNN NEWSROOM,March 6 2020 Friday,-0.2727272727272727
27,41,Italy,"[-1, 0, 0, -1, -1]",CNN CNN NEWSROOM,March 6 2020 Friday,-0.6
28,41,CNN,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 6 2020 Friday,0.0
29,41,Test Results For Potential Infected Passengers,[-1],CNN CNN NEWSROOM,March 6 2020 Friday,-1.0
30,47,U.S.,"[-1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,March 8 2020 Sunday,-0.85
31,47,Italy,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1]",CNN CNN NEWSROOM,March 8 2020 Sunday,-0.8333333333333334
32,47,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 8 2020 Sunday,0.0
33,47,Trump,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 8 2020 Sunday,0.0
34,47,Michigan,"[0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 8 2020 Sunday,0.0
35,97,U.S.,"[-1, -1, 0, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 1]",CNN ANDERSON COOPER 360 DEGREES,March 12 2020 Thursday,-0.6
36,97,New Mexico,[0],CNN ANDERSON COOPER 360 DEGREES,March 12 2020 Thursday,0.0
37,97,Ohio,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,March 12 2020 Thursday,0.0
38,97,Anderson,"[-1, 0, 1, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,March 12 2020 Thursday,0.0
39,97,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,March 12 2020 Thursday,0.0
40,102,U.S.,"[0, 0, 0, -1, 0, 0, 0]",CNN CNN NEWSROOM,March 2 2020 Monday,-0.14285714285714285
41,102,Joe Biden,"[1, 1, 0, 1, 0, 1, 0, 0]",CNN CNN NEWSROOM,March 2 2020 Monday,0.5
42,102,Taliban,"[0, 1, -1, 1, 1, 0, -1]",CNN CNN NEWSROOM,March 2 2020 Monday,0.14285714285714285
43,102,CNN,"[0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,March 2 2020 Monday,0.0
44,102,Pete Buttigieg,"[0, 0, 0, 0, -1, 0]",CNN CNN NEWSROOM,March 2 2020 Monday,-0.16666666666666666
45,108,John Lewis,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",CNN CNN NEWSROOM,March 1 2020 Sunday,0.42857142857142855
46,108,Joe Biden,"[0, 0, -1, 1, 0, 1, 0, 0, 0, 1, -1, 0, 1, 1, 0, 0, 0, 1, 0, 1]",CNN CNN NEWSROOM,March 1 2020 Sunday,0.25
