,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,16,Trump,"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1]",CNN The Lead with Jake Tapper,May 6 2020 Wednesday,-0.25
1,16,Jake,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,May 6 2020 Wednesday,0.0
2,16,CNN,"[1, 0, 0, 0]",CNN The Lead with Jake Tapper,May 6 2020 Wednesday,0.25
3,16,Fauci,"[0, 0, 0, -1, 1]",CNN The Lead with Jake Tapper,May 6 2020 Wednesday,0.0
4,16,the White House,"[-1, 0, -1]",CNN The Lead with Jake Tapper,May 6 2020 Wednesday,-0.6666666666666666
5,43,American,"[0, 0, 1, 1]",CNN New Day,May 26 2020 Tuesday,0.5
6,43,Trump,"[0, -1, -1, 0, 0, 0, -1, -1, 0, -1, 0]",CNN New Day,May 26 2020 Tuesday,-0.45454545454545453
7,43,Erik,"[0, 0, 0, 0, 1, 1]",CNN New Day,May 26 2020 Tuesday,0.3333333333333333
8,43,Trumpocalypse,"[0, 0, 0, -1, 0]",CNN New Day,May 26 2020 Tuesday,-0.2
9,43,the United States,"[-1, 0, -1, 0]",CNN New Day,May 26 2020 Tuesday,-0.5
10,63,Christine,"[0, 0, 0, 0, 1, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.16666666666666666
11,63,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
12,63,Iowa,"[-1, -1, -1, -1]",CNN CNN NEWSROOM,May 8 2020 Friday,-1.0
13,63,COVID-19,"[-1, -1, -1, 0, 1]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.4
14,63,Tyson,"[-1, 0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.25
15,64,Kate,"[0, -1, 0, 0, -1, -1, 0, 0, -1, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.36363636363636365
16,64,Austin,"[-1, -1, 1]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.3333333333333333
17,64,Tyson,"[0, 0, -1, 0, 1]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
18,64,Iowa,"[0, 0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
19,64,CNN,"[0, 0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
20,84,Georgia,"[-1, -1, -1, 0, -1, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.6666666666666666
21,84,the White House,"[-1, 0, -1, -1, 0, -1]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.6666666666666666
22,84,Brooke,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
23,84,White House,"[0, 0, -1, 0, 0, -1, 0, -1]",CNN CNN NEWSROOM,May 8 2020 Friday,-0.375
24,84,Katie Miller,"[0, 0, 0]",CNN CNN NEWSROOM,May 8 2020 Friday,0.0
25,85,U.S.,"[0, 0, -1, -1, -1]",CNN CNN NEWSROOM,May 7 2020 Thursday,-0.6
26,85,Montana,"[0, 0, 0, 0, 0]",CNN CNN NEWSROOM,May 7 2020 Thursday,0.0
27,85,the United States,"[0, 0, 0, -1]",CNN CNN NEWSROOM,May 7 2020 Thursday,-0.25
28,85,Europe,"[0, 0, 0, -1]",CNN CNN NEWSROOM,May 7 2020 Thursday,-0.25
29,85,U.N.,"[0, 0, 1]",CNN CNN NEWSROOM,May 7 2020 Thursday,0.3333333333333333
30,90,John,"[1, 0, 1, 0, 0, 0, 1, 0]",CNN CNN NEWSROOM,May 1 2020 Friday,0.375
31,90,Michigan,"[0, 0, -1, 0, 0, 0, -1]",CNN CNN NEWSROOM,May 1 2020 Friday,-0.2857142857142857
