,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,45,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,0.0
1,45,Biden,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 1]",CNN CNN NEWSROOM,November 26 2020 Thursday,0.05
2,45,Trump,"[1, 0, 0, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1]",CNN CNN NEWSROOM,November 26 2020 Thursday,-0.4
3,45,Maradona,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,0.14285714285714285
4,45,Ethiopia,"[-1, 0, 0, 1, 0, 1, -1, -1, 1, -1, 0, 0, -1, -1, -1, 0, -1, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,-0.2777777777777778
5,86,Trump,"[-1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]",CNN CNN NEWSROOM,November 10 2020 Tuesday,-0.375
6,86,Republicans,"[0, -1, -1, 0, 0, 1, -1, -1, -1]",CNN CNN NEWSROOM,November 10 2020 Tuesday,-0.4444444444444444
7,86,Georgia,"[0, 0, 0, -1, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 10 2020 Tuesday,-0.1111111111111111
8,86,Republican,"[0, -1, -1, 0, -1, -1, 1, -1, 0, -1, -1, 0, 0, -1]",CNN CNN NEWSROOM,November 10 2020 Tuesday,-0.5
9,86,Joe Biden,"[1, 0, 1, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 10 2020 Tuesday,0.2222222222222222
10,103,Coronavirus,"[-1, -1, -1, 0, 0, 0, -1, -1, 0, -1]",CNN CNN NEWSROOM,November 26 2020 Thursday,-0.6
11,103,Americans,"[-1, 0, -1, 0, -1, 1, 0, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,-0.25
12,103,CNN,"[0, 0, 0, 0, 0, 0, 0, 1]",CNN CNN NEWSROOM,November 26 2020 Thursday,0.125
13,103,Boris,"[0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,0.0
14,103,Trump,"[0, 0, -1, -1, -1, -1, -1, 0, 0]",CNN CNN NEWSROOM,November 26 2020 Thursday,-0.5555555555555556
15,110,Biden,"[0, 1, -1, 0, 0, -1, -1, 0, 0, -1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 27 2020 Friday,-0.05
16,110,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,November 27 2020 Friday,0.0
17,110,AstraZeneca,"[-1, -1, -1, 0, 0, -1, 0, 0]",CNN CNN NEWSROOM,November 27 2020 Friday,-0.5
18,110,Iran,"[0, -1, -1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,November 27 2020 Friday,-0.8888888888888888
19,110,Coronavirus,"[-1, 0, -1, -1, -1, -1, 0]",CNN CNN NEWSROOM,November 27 2020 Friday,-0.7142857142857143
20,127,Trump,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, 0]",CNN CNN NEWSROOM,November 18 2020 Wednesday,-0.6
