,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,15,Trump,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",CNN EARLY START,October 1 2020 Thursday,-0.9
1,15,Joe Biden,"[-1, -1, -1, 0, 1, 0, 0, 0]",CNN EARLY START,October 1 2020 Thursday,-0.25
2,15,Barreling Toward Election,[],CNN EARLY START,October 1 2020 Thursday,
3,15,Trump Sticks,[],CNN EARLY START,October 1 2020 Thursday,
4,15,Biden,"[-1, -1, 0, -1, -1, 0, 1, 1, 0, 0, 0, -1, -1, -1]",CNN EARLY START,October 1 2020 Thursday,-0.35714285714285715
5,26,Trump,"[-1, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1, 0, 0, -1]",CNN ERIN BURNETT OUTFRONT,October 8 2020 Thursday,-0.4375
6,26,FBI,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN ERIN BURNETT OUTFRONT,October 8 2020 Thursday,0.0
7,26,the White House,"[-1, 0, 0, -1, 0, 0, -1, 0, -1, -1, -1, -1, 0, 0]",CNN ERIN BURNETT OUTFRONT,October 8 2020 Thursday,-0.5
8,26,Whitmer,"[0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 1, 1]",CNN ERIN BURNETT OUTFRONT,October 8 2020 Thursday,-0.125
9,26,OUTFRONT,[0],CNN ERIN BURNETT OUTFRONT,October 8 2020 Thursday,0.0
10,27,FBI,"[0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0]",CNN CUOMO PRIME TIME,October 8 2020 Thursday,0.3125
11,27,Michigan,"[0, -1, 0, -1, 0, -1, -1, -1, 1, 0, -1, 1, 0]",CNN CUOMO PRIME TIME,October 8 2020 Thursday,-0.3076923076923077
12,27,the White House,"[-1, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1]",CNN CUOMO PRIME TIME,October 8 2020 Thursday,-0.46153846153846156
13,27,Trump,"[1, -1, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1]",CNN CUOMO PRIME TIME,October 8 2020 Thursday,-0.46153846153846156
14,27,Chris,"[1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",CNN CUOMO PRIME TIME,October 8 2020 Thursday,0.6153846153846154
15,28,Michigan,"[-1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1]",CNN New Day,October 9 2020 Friday,-0.8181818181818182
16,28,Trump,"[0, -1, -1, 0, 0, 0, -1, 0]",CNN New Day,October 9 2020 Friday,-0.375
17,28,the White House,"[0, -1, 0, -1, -1, 0, 0, 0]",CNN New Day,October 9 2020 Friday,-0.375
18,28,Whitmer,"[-1, 0, 0, 0, -1, -1, 0, 0, -1]",CNN New Day,October 9 2020 Friday,-0.4444444444444444
19,28,CNN,"[0, 0, 0, 0]",CNN New Day,October 9 2020 Friday,0.0
20,29,Trump,"[0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0]",CNN New Day,October 9 2020 Friday,-0.2857142857142857
21,29,Michigan,"[-1, -1, -1, -1, 0, -1, -1, -1, 0]",CNN New Day,October 9 2020 Friday,-0.7777777777777778
22,29,CNN,"[0, 0, 0, 0, 0]",CNN New Day,October 9 2020 Friday,0.0
23,29,the White House,"[-1, -1, 0, 0, -1, -1, -1]",CNN New Day,October 9 2020 Friday,-0.7142857142857143
24,29,Whitmer,"[-1, -1, 0, 0, 0, -1, -1, -1, -1, -1, 0]",CNN New Day,October 9 2020 Friday,-0.6363636363636364
25,30,Jake,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,October 9 2020 Friday,0.0
26,30,the United States,"[-1, -1, -1, -1, 1, 0, -1, -1]",CNN The Lead with Jake Tapper,October 9 2020 Friday,-0.625
27,30,Michigan,"[0, 0, 0, 0, -1, 0]",CNN The Lead with Jake Tapper,October 9 2020 Friday,-0.16666666666666666
28,30,Trump,"[0, -1, 0, 0, -1]",CNN The Lead with Jake Tapper,October 9 2020 Friday,-0.4
29,30,Florida,"[0, 0, -1, -1, -1, -1]",CNN The Lead with Jake Tapper,October 9 2020 Friday,-0.6666666666666666
30,31,Michigan,"[0, 0, -1]",CNN EARLY START,October 9 2020 Friday,-0.3333333333333333
31,31,Trump,"[-1, 1, -1, 0, 0, 0, 0]",CNN EARLY START,October 9 2020 Friday,-0.14285714285714285
32,31,CNN,"[0, 0, 0, 0, 0, 0, 0]",CNN EARLY START,October 9 2020 Friday,0.0
33,31,FBI,"[0, 0, 0, 0]",CNN EARLY START,October 9 2020 Friday,0.0
34,31,U.S.,"[1, -1, 1, -1]",CNN EARLY START,October 9 2020 Friday,0.0
35,68,Trump,"[0, 0, 0, 0, 0, -1, -1, -1, 0, -1, 0, 0, 0, 0, 0, -1]",CNN CNN NEWSROOM,October 28 2020 Wednesday,-0.3125
36,68,Democrats,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",CNN CNN NEWSROOM,October 28 2020 Wednesday,-0.08333333333333333
37,68,Joe Biden,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, -1, 1, 1]",CNN CNN NEWSROOM,October 28 2020 Wednesday,0.15384615384615385
38,68,Michigan,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",CNN CNN NEWSROOM,October 28 2020 Wednesday,0.16666666666666666
39,68,Pennsylvania,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,October 28 2020 Wednesday,0.0
