,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,3,Midwest Spike,"[-1, 0]",CNN New Day,September 2 2020 Wednesday,-0.5
1,3,ABC Reports,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN New Day,September 2 2020 Wednesday,0.0
2,3,DHS Withholds Bulletin,[],CNN New Day,September 2 2020 Wednesday,
3,3,the White House,"[-1, 0, 0, 0, -1, -1, -1, -1]",CNN New Day,September 2 2020 Wednesday,-0.625
4,3,Trump,"[-1, -1, 0, -1, -1, -1, -1]",CNN New Day,September 2 2020 Wednesday,-0.8571428571428571
5,4,Trump,"[0, -1, 0, -1, -1, -1, 0, 0, -1, 0, 1, -1, -1, -1]",CNN New Day,September 2 2020 Wednesday,-0.5
6,4,Jacob Blake,"[0, 0, 0, 0, 0, -1, -1]",CNN New Day,September 2 2020 Wednesday,-0.2857142857142857
7,4,Iowa,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0]",CNN New Day,September 2 2020 Wednesday,-0.7857142857142857
8,4,Midwest Spike,[],CNN New Day,September 2 2020 Wednesday,
9,4,FDA,"[-1, -1, -1, 0, -1, -1]",CNN New Day,September 2 2020 Wednesday,-0.8333333333333334
10,9,Marines,"[-1, -1, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,September 4 2020 Friday,-0.2857142857142857
11,9,Trump,"[-1, 0, -1, 0, 0, 0, 0, -1]",CNN CNN NEWSROOM,September 4 2020 Friday,-0.375
12,9,Jenny,"[0, 0, -1]",CNN CNN NEWSROOM,September 4 2020 Friday,-0.3333333333333333
13,9,D.C.,"[1, -1, 0]",CNN CNN NEWSROOM,September 4 2020 Friday,0.0
14,9,Belleau Wood,"[-1, 0, 0, 0, 1, 0, 0]",CNN CNN NEWSROOM,September 4 2020 Friday,0.0
15,10,West,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",CNN The Lead with Jake Tapper,September 4 2020 Friday,-0.11764705882352941
16,10,John Lewis,"[0, 0, 1, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,September 4 2020 Friday,0.14285714285714285
17,10,Trump,"[-1, -1, 0]",CNN The Lead with Jake Tapper,September 4 2020 Friday,-0.6666666666666666
18,10,Prude,"[-1, 0, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,September 4 2020 Friday,-0.14285714285714285
19,10,Pamela,"[1, 1, 0, 0, 1, 0]",CNN The Lead with Jake Tapper,September 4 2020 Friday,0.5
20,62,Alabama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",CNN CNN NEWSROOM,September 9 2020 Wednesday,0.1
21,62,John,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,September 9 2020 Wednesday,0.1111111111111111
22,62,Trump,"[0, 0, -1, 0, -1, 0]",CNN CNN NEWSROOM,September 9 2020 Wednesday,-0.3333333333333333
23,62,Democrats,"[-1, -1, -1, 0, 0]",CNN CNN NEWSROOM,September 9 2020 Wednesday,-0.6
24,62,Joe Biden,"[0, 0, 1, 1, 1]",CNN CNN NEWSROOM,September 9 2020 Wednesday,0.6
25,65,COVID-19,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN ANDERSON COOPER 360 DEGREES,September 22 2020 Tuesday,-1.0
26,65,Amy Coney Barrett Back,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,September 22 2020 Tuesday,0.0
27,65,White House,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,September 22 2020 Tuesday,-0.047619047619047616
28,65,Second Day of Meetings,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,September 22 2020 Tuesday,0.0
29,65,Adeline,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0]",CNN ANDERSON COOPER 360 DEGREES,September 22 2020 Tuesday,0.07692307692307693
30,76,CDC,"[-1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0]",CNN CNN NEWSROOM,September 17 2020 Thursday,-0.42857142857142855
31,76,Redfield,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 0]",CNN CNN NEWSROOM,September 17 2020 Thursday,-0.2
32,76,Barr,"[-1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",CNN CNN NEWSROOM,September 17 2020 Thursday,-0.8235294117647058
33,76,Bill Barr,"[-1, -1, 0, -1, -1, -1, 0]",CNN CNN NEWSROOM,September 17 2020 Thursday,-0.7142857142857143
34,76,the United States,"[1, 0, -1, -1, 0, -1]",CNN CNN NEWSROOM,September 17 2020 Thursday,-0.3333333333333333
35,128,Florida,"[0, -1, 0, -1, -1, -1, 0]",CNN CNN NEWSROOM,September 8 2020 Tuesday,-0.5714285714285714
36,128,North Carolina,"[0, 0, 0, 0, -1, -1, 0]",CNN CNN NEWSROOM,September 8 2020 Tuesday,-0.2857142857142857
37,128,Joe Biden,"[-1, -1, -1, 0, 0, -1, -1]",CNN CNN NEWSROOM,September 8 2020 Tuesday,-0.7142857142857143
38,128,Democrats,"[-1, -1, -1, -1, -1]",CNN CNN NEWSROOM,September 8 2020 Tuesday,-1.0
39,128,Texas,"[-1, 0, -1, 1, -1, 0]",CNN CNN NEWSROOM,September 8 2020 Tuesday,-0.3333333333333333
40,141,Trump,"[0, 0, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0]",CNN New Day,September 22 2020 Tuesday,-0.6111111111111112
41,141,CDC,"[-1, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1]",CNN New Day,September 22 2020 Tuesday,-0.5833333333333334
42,141,Lindsey Graham,"[0, 0, 0, -1, 0, 0, 0, -1]",CNN New Day,September 22 2020 Tuesday,-0.25
43,141,Republicans,"[0, 0, 0, 0, -1, 0, 0, -1]",CNN New Day,September 22 2020 Tuesday,-0.25
44,141,Supreme Court,"[0, 0, 0, 0, 0, 1, 0, 0]",CNN New Day,September 22 2020 Tuesday,0.125
45,160,Ginsburg,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",CNN CNN NEWSROOM,September 25 2020 Friday,0.6666666666666666
46,160,Ruth Bader Ginsburg,"[1, 1, 0, 1, 0, 0]",CNN CNN NEWSROOM,September 25 2020 Friday,0.5
47,160,Denyce Graves,"[0, 0, 1, 1, 1]",CNN CNN NEWSROOM,September 25 2020 Friday,0.6
48,160,Jewish,"[0, 0, 1]",CNN CNN NEWSROOM,September 25 2020 Friday,0.3333333333333333
49,160,the United States,"[0, 0]",CNN CNN NEWSROOM,September 25 2020 Friday,0.0
