,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,0,Shannon,"[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,April 23 2020 Thursday,0.23529411764705882
1,0,COVID-19,"[0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,April 23 2020 Thursday,-0.18181818181818182
2,0,FDA,"[1, 0, 0, -1, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,April 23 2020 Thursday,0.0
3,0,Bright,"[0, 0, 0, 0, -1, 0, 0, 1, 0]",Fox News Network FOX NEWS @ NIGHT,April 23 2020 Thursday,0.0
4,0,New York,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX NEWS @ NIGHT,April 23 2020 Thursday,-0.07142857142857142
5,2,Stew,"[0, 0, 0, 0, 0, 1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,April 22 2020 Wednesday,0.2857142857142857
6,26,Jesse,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 28 2020 Tuesday,0.14285714285714285
7,26,Dana,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 28 2020 Tuesday,0.0
8,26,Juan,"[0, 0, 0, 0, 0, 0, 1, 1, -1, 0, 0, 0]",Fox News Network THE FIVE,April 28 2020 Tuesday,0.08333333333333333
9,26,Birx,"[-1, -1, 0, -1, 0, 0, -1, 0]",Fox News Network THE FIVE,April 28 2020 Tuesday,-0.5
10,26,Trump,"[-1, -1, -1, 0, -1, 0, 0]",Fox News Network THE FIVE,April 28 2020 Tuesday,-0.5714285714285714
11,33,Atlanta,"[0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,April 24 2020 Friday,0.0
12,33,Eddie,"[0, 1, 0, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,April 24 2020 Friday,0.4
13,40,FDA,"[0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,April 15 2020 Wednesday,0.3333333333333333
14,40,I`m,"[1, 1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,April 15 2020 Wednesday,0.3333333333333333
15,65,American,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 3 2020 Friday,0.2222222222222222
16,65,America,"[1, 1, -1, 0, 1, 1, 1, 1, 1, 1, -1, 1]",Fox News Network THE FIVE,April 3 2020 Friday,0.5833333333333334
17,65,CDC,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 3 2020 Friday,0.1
18,65,Americans,"[0, -1, 1, 1, 0, 0, 0, 0, 1, -1, -1]",Fox News Network THE FIVE,April 3 2020 Friday,0.0
19,65,New York City,"[0, 0, 0, 0, 0, 1, 0]",Fox News Network THE FIVE,April 3 2020 Friday,0.14285714285714285
20,66,Trump,"[1, 0, 0, -1, -1, 1, 1, -1, 0, 1, 0, 0, 0, 0, -1, -1, -1, -1, -1]",Fox News Network THE FIVE,April 9 2020 Thursday,-0.21052631578947367
21,66,Greg,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 1, -1, 0, 0, 0, 1, 0]",Fox News Network THE FIVE,April 9 2020 Thursday,0.05555555555555555
22,66,Obama,"[-1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, -1, 0]",Fox News Network THE FIVE,April 9 2020 Thursday,-0.21428571428571427
23,66,Joe Biden,"[-1, -1, 0, -1, 0, 0, 0, 0, -1, -1]",Fox News Network THE FIVE,April 9 2020 Thursday,-0.5
24,66,Democrats,"[-1, -1, -1, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 9 2020 Thursday,-0.3333333333333333
25,75,New York,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,April 6 2020 Monday,0.05555555555555555
26,75,Trump,"[0, 0, -1, -1, -1, -1, 0, 0, -1, 0]",Fox News Network THE FIVE,April 6 2020 Monday,-0.5
27,75,Americans,"[-1, 0, 0, 0, 1, 1, 0, -1, -1, 0]",Fox News Network THE FIVE,April 6 2020 Monday,-0.1
28,75,Greg,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network THE FIVE,April 6 2020 Monday,0.06666666666666667
29,75,Dana,"[0, 0, 1, 0, 0, 0]",Fox News Network THE FIVE,April 6 2020 Monday,0.16666666666666666
30,99,Florida,"[0, 1, 1, -1, 0, 0, 0, 0, -1, 1, 0, 0, 0, 1, 1]",Fox News Network FOX HANNITY,April 22 2020 Wednesday,0.2
31,99,Americans,"[0, 0, -1, 0, -1, 0, 0, 0, 1, 1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,April 22 2020 Wednesday,-0.2857142857142857
32,99,Trump,"[-1, -1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, -1]",Fox News Network FOX HANNITY,April 22 2020 Wednesday,0.2857142857142857
33,99,America,"[0, -1, 1, -1, -1, -1, 0, 1, 1, -1, 0, 1, -1, -1, 0]",Fox News Network FOX HANNITY,April 22 2020 Wednesday,-0.2
