,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,11,Trump,"[0, -1, 0, 1, 0, -1, -1, -1, -1, 0, 1, -1, 0, 0, 0, 0, 1, 0]",Fox News Network THE GREG GUTFELD SHOW,August 22 2020 Saturday,-0.16666666666666666
1,11,Susan B. Anthony,[],Fox News Network THE GREG GUTFELD SHOW,August 22 2020 Saturday,
2,11,Michael,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE GREG GUTFELD SHOW,August 22 2020 Saturday,0.0
3,11,Tom,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network THE GREG GUTFELD SHOW,August 22 2020 Saturday,0.1111111111111111
4,11,Tyrus,"[1, 0, 0, -1, 0, 0, 0, 1, 0]",Fox News Network THE GREG GUTFELD SHOW,August 22 2020 Saturday,0.1111111111111111
5,30,Joe Biden,"[0, -1, -1, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1]",Fox News Network THE FIVE,August 24 2020 Monday,-0.42105263157894735
6,30,Joe,"[-1, -1, 0, -1, -1, -1, 0, 0, 0, 0, -1, 0, 1, 1, 0, 0, -1, 0]",Fox News Network THE FIVE,August 24 2020 Monday,-0.2777777777777778
7,30,Trump,"[0, -1, 0, -1, -1, -1, 0, 1, 0, -1, 0, 0, 0, -1, 0, -1]",Fox News Network THE FIVE,August 24 2020 Monday,-0.375
8,30,Biden,"[-1, -1, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 1, -1, -1]",Fox News Network THE FIVE,August 24 2020 Monday,-0.45
9,30,Juan,"[-1, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,August 24 2020 Monday,-0.2857142857142857
10,51,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -1, 0, 0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,August 26 2020 Wednesday,0.0
11,51,Louisiana,"[0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,August 26 2020 Wednesday,-0.2
12,51,Joe Biden,"[0, -1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,August 26 2020 Wednesday,0.5
13,51,Texas,"[0, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,August 26 2020 Wednesday,-0.5
14,51,Wisconsin,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,August 26 2020 Wednesday,0.1
15,72,Susan Rice,"[0, 0, 0, 1, -1, 0, -1, 0, 0, 1, 0, 0, 0, 1, 0, -1, 1, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,August 3 2020 Monday,-0.05
16,72,Joe Biden,[],Fox News Network TUCKER CARLSON TONIGHT,August 3 2020 Monday,
17,72,Biden,"[1, 0, 0, 0, -1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 1, 1, 0, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,August 3 2020 Monday,0.0
18,72,Rice,"[1, -1, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,August 3 2020 Monday,-0.07142857142857142
19,72,Tucker,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,August 3 2020 Monday,0.3076923076923077
20,80,China,"[0, -1, -1, 0, 0, -1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,August 6 2020 Thursday,-0.5263157894736842
21,80,Chinese,"[-1, 0, 0, -1, 0, -1, -1, -1, -1, 0, 1, 1, -1]",Fox News Network TUCKER CARLSON TONIGHT,August 6 2020 Thursday,-0.38461538461538464
22,80,American,"[1, -1, -1, -1, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,August 6 2020 Thursday,-0.5
23,80,New York,"[0, 0, 0, 0, -1, -1, 0, -1, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,August 6 2020 Thursday,-0.4
24,80,NRA,"[0, 0, -1, -1, 1, -1, -1, 1]",Fox News Network TUCKER CARLSON TONIGHT,August 6 2020 Thursday,-0.25
25,92,Joe Biden,"[-1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1]",Fox News Network WATTERS WORLD,August 8 2020 Saturday,-0.2777777777777778
26,92,Trump,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]",Fox News Network WATTERS WORLD,August 8 2020 Saturday,0.26666666666666666
