,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,5,Biden,"[0, -1, 0, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network FOX HANNITY,December 10 2020 Thursday,-0.7
1,5,China,"[0, 0, -1, 0, 0, 0, -1, -1, 1, -1, -1, -1, 0, -1, -1]",Fox News Network FOX HANNITY,December 10 2020 Thursday,-0.4666666666666667
2,5,Joe Biden,"[0, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,December 10 2020 Thursday,-0.7619047619047619
3,5,Chinese,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,December 10 2020 Thursday,-1.0
4,5,Democrats,"[-1, -1, 0, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,December 10 2020 Thursday,-0.7142857142857143
5,10,American,"[-1, 0, 0, 0, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,December 30 2020 Wednesday,-0.42857142857142855
6,10,California,"[-1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,December 30 2020 Wednesday,-0.2777777777777778
7,10,Texas,"[0, 0, 0, 0, 0, 1, -1, 0, 1, 1, 1, 1, 0, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,December 30 2020 Wednesday,0.17647058823529413
8,10,Mark,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,December 30 2020 Wednesday,0.36363636363636365
9,10,Tucker,"[0, 0, 0, 0, 1, 0]",Fox News Network TUCKER CARLSON TONIGHT,December 30 2020 Wednesday,0.16666666666666666
10,16,China,"[-1, -1, -1, -1, -1, 0, -1, -1, 0, 1, -1, -1, -1, -1, -1, 0]",Fox News Network THE FIVE,December 10 2020 Thursday,-0.6875
11,16,Chinese,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,December 10 2020 Thursday,-0.8
12,16,Dana,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,December 10 2020 Thursday,0.0
13,16,Joe Biden,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1]",Fox News Network THE FIVE,December 10 2020 Thursday,-0.7857142857142857
14,16,Trump,"[-1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0]",Fox News Network THE FIVE,December 10 2020 Thursday,-0.15384615384615385
15,37,Moderna,"[0, 1]",Fox News Network FOX AND FRIENDS,December 11 2020 Friday,0.5
16,37,Fox,"[0, 0, 0]",Fox News Network FOX AND FRIENDS,December 11 2020 Friday,0.0
17,37,Friends,[],Fox News Network FOX AND FRIENDS,December 11 2020 Friday,
18,37,Fox News,"[0, 0, 0]",Fox News Network FOX AND FRIENDS,December 11 2020 Friday,0.0
19,37,CDC,"[0, 0, 1]",Fox News Network FOX AND FRIENDS,December 11 2020 Friday,0.3333333333333333
20,39,American,"[0, 0, 1, 1]",Fox News Network AMERICA'S NEWSROOM,December 7 2020 Monday,0.5
21,39,FDA,"[0, 0, 0, 1, 1]",Fox News Network AMERICA'S NEWSROOM,December 7 2020 Monday,0.4
22,39,Admiral Giroir,"[0, 0, 0]",Fox News Network AMERICA'S NEWSROOM,December 7 2020 Monday,0.0
23,39,California,"[0, 0]",Fox News Network AMERICA'S NEWSROOM,December 7 2020 Monday,0.0
24,39,Los Angeles,[-1],Fox News Network AMERICA'S NEWSROOM,December 7 2020 Monday,-1.0
25,45,Trump,"[-1, 0, 0, -1, 1, -1, -1, 0, -1, -1, 0, 1, -1, 1, 1, 0, -1, -1, 1, -1, -1, -1, 1, -1]",Fox News Network THE FIVE,December 21 2020 Monday,-0.2916666666666667
26,45,Geraldo,"[0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0]",Fox News Network THE FIVE,December 21 2020 Monday,-0.2727272727272727
27,45,Republicans,"[-1, -1, -1, -1, -1, 0, -1, -1, 0]",Fox News Network THE FIVE,December 21 2020 Monday,-0.7777777777777778
28,45,Jesse,"[0, 1, 0, 0, 0, 0, 0, 0, 1]",Fox News Network THE FIVE,December 21 2020 Monday,0.2222222222222222
29,45,Katie,"[0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,December 21 2020 Monday,0.0
30,47,Trump,"[-1, 0, -1, -1, 1, 0, -1, 0, -1, 0, -1, -1, 1]",Fox News Network MEDIA BUZZ,December 20 2020 Sunday,-0.38461538461538464
31,47,Republicans,"[-1, -1, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 0, 0]",Fox News Network MEDIA BUZZ,December 20 2020 Sunday,-0.625
32,47,Joe Biden,"[1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Fox News Network MEDIA BUZZ,December 20 2020 Sunday,0.08333333333333333
33,47,Colbert,"[0, 0, 0, 0, 1, -1, -1, -1, 1, 0, 1, 1, -1, 0, 0]",Fox News Network MEDIA BUZZ,December 20 2020 Sunday,0.0
34,47,Biden,"[-1, 0, 0, -1, 0, -1, 1, 0, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1]",Fox News Network MEDIA BUZZ,December 20 2020 Sunday,-0.4444444444444444
35,49,Biden,"[0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,December 16 2020 Wednesday,-0.4666666666666667
36,49,Democrats,"[0, 0, -1, -1, -1, 0, -1, -1, 0, 0, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,December 16 2020 Wednesday,-0.5454545454545454
37,49,Trump,"[-1, 0, -1, -1, 0, 0, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,December 16 2020 Wednesday,-0.5555555555555556
38,49,Russian,"[0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,December 16 2020 Wednesday,-0.75
39,49,Senate,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,December 16 2020 Wednesday,-0.07142857142857142
40,57,FDA,"[0, -1, 0, 1, 0, 0]",Fox News Network FOX AND FRIENDS,December 7 2020 Monday,0.0
41,57,Alex Azar,"[0, 0, 0]",Fox News Network FOX AND FRIENDS,December 7 2020 Monday,0.0
42,57,Department of Health and Human Services,"[0, 0, 0, 0]",Fox News Network FOX AND FRIENDS,December 7 2020 Monday,0.0
43,57,Interviewed on,[],Fox News Network FOX AND FRIENDS,December 7 2020 Monday,
44,57,Fox,"[0, 0, 0, 0]",Fox News Network FOX AND FRIENDS,December 7 2020 Monday,0.0
45,58,Alex Azar,"[0, 0, 0, 0]",Fox News Network FOX AND FRIENDS,December 22 2020 Tuesday,0.0
46,58,Health and Human Services,[0],Fox News Network FOX AND FRIENDS,December 22 2020 Tuesday,0.0
47,58,Interviewed on,[],Fox News Network FOX AND FRIENDS,December 22 2020 Tuesday,
48,58,Fox,"[0, 0, 0, 0]",Fox News Network FOX AND FRIENDS,December 22 2020 Tuesday,0.0
49,58,Friends,[],Fox News Network FOX AND FRIENDS,December 22 2020 Tuesday,
50,60,Stanford,"[0, 0, -1, 1, 0, 0, 0, -1, 1, -1, 1, 0, 0, 0, -1, 0, 0]",Fox News Network THE NEXT REVOLUTION,December 6 2020 Sunday,-0.058823529411764705
51,60,Biden,"[-1, -1, -1, -1, -1, -1, 0, 0, -1, 0, -1]",Fox News Network THE NEXT REVOLUTION,December 6 2020 Sunday,-0.7272727272727273
52,60,Tammy,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE NEXT REVOLUTION,December 6 2020 Sunday,0.09090909090909091
53,60,Janelle,"[0, 0, 0, 0, 0, 0, 1, 0]",Fox News Network THE NEXT REVOLUTION,December 6 2020 Sunday,0.125
54,60,Trump,"[-1, -1, -1, 1, -1, 0, 0, 0, 0, 1, 0]",Fox News Network THE NEXT REVOLUTION,December 6 2020 Sunday,-0.18181818181818182
55,70,James,"[0, 0, -1, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,December 14 2020 Monday,0.0
56,71,New York,"[-1, -1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,December 28 2020 Monday,-0.3333333333333333
57,71,James,"[0, 0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,December 28 2020 Monday,0.25
58,77,China,"[0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,December 1 2020 Tuesday,-0.7058823529411765
59,77,Biden,"[-1, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 1]",Fox News Network INGRAHAM ANGLE,December 1 2020 Tuesday,-0.16666666666666666
60,77,Trump,"[-1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, 0, -1, 1, 1, -1, -1]",Fox News Network INGRAHAM ANGLE,December 1 2020 Tuesday,-0.5555555555555556
61,77,Blinken,"[-1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,December 1 2020 Tuesday,-0.3684210526315789
62,77,America,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 1, 0, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,December 1 2020 Tuesday,-0.65
63,87,China,"[-1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, 0, 0, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,December 28 2020 Monday,-0.47368421052631576
64,87,American,"[-1, 0, 0, -1, -1, 0, -1, -1, -1, -1, 1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,December 28 2020 Monday,-0.5
65,87,Trump,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,December 28 2020 Monday,0.13333333333333333
66,87,California,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,December 28 2020 Monday,-0.8181818181818182
67,87,the Democratic Party,"[-1, 0, 0, -1, 0, 0, 0, 0, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,December 28 2020 Monday,-0.4
68,93,China,"[-1, 1, -1, 0, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,December 16 2020 Wednesday,-0.7368421052631579
69,93,Biden,"[-1, -1, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,December 16 2020 Wednesday,-0.5
70,93,Laura,"[0, 0, 0, 0, 0, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,December 16 2020 Wednesday,-0.25
71,93,Obama,"[-1, 0, -1, -1, 0, -1, 0, 0, -1, 0, -1, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,December 16 2020 Wednesday,-0.4
72,93,American,"[-1, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,December 16 2020 Wednesday,-0.75
73,100,Dagen,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Fox News Network THE FIVE,December 31 2020 Thursday,0.21428571428571427
74,100,Georgia,"[0, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, 0]",Fox News Network THE FIVE,December 31 2020 Thursday,-0.2857142857142857
75,100,Lawrence,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, -1, 0]",Fox News Network THE FIVE,December 31 2020 Thursday,0.07142857142857142
