,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,7,Andy Biggs,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX HANNITY,February 25 2020 Tuesday,0.058823529411764705
1,7,Trump,"[1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, 0, -1, 0, -1]",Fox News Network FOX HANNITY,February 25 2020 Tuesday,-0.5
2,7,Russian,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,February 25 2020 Tuesday,-0.9230769230769231
3,7,Sean,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX HANNITY,February 25 2020 Tuesday,0.0
4,7,Bernie Sanders,"[-1, -1, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network FOX HANNITY,February 25 2020 Tuesday,-0.4375
5,8,Bernie Sanders,"[0, 0, -1, 0, 1, 0, 0, 0, 1, 0, -1, 0, -1, -1, 0, 0, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,February 25 2020 Tuesday,-0.15789473684210525
6,8,Trump,"[-1, 0, 0, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,February 25 2020 Tuesday,-0.26666666666666666
7,8,Martha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,February 25 2020 Tuesday,0.07692307692307693
8,8,South Carolina,"[-1, 0, -1, 0, 1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,February 25 2020 Tuesday,-0.2
9,8,Donald Trump,"[0, 0, -1, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,February 25 2020 Tuesday,-0.3333333333333333
