,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,21,Trump,"[-1, -1, 0, 0, -1, 1, -1, -1, -1, -1, -1, 1, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,January 1 2020 Wednesday,-0.4666666666666667
1,21,Comey,"[-1, -1, 0, 0, 0, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0, -1, 0]",Fox News Network INGRAHAM ANGLE,January 1 2020 Wednesday,-0.6
2,21,Democrats,"[0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,January 1 2020 Wednesday,-0.6842105263157895
3,21,FBI,"[-1, 0, -1, -1, 0, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,January 1 2020 Wednesday,-0.5
4,21,Mueller,"[-1, -1, -1, 0, 0, 1, 0, 0, 0, 0, -1, 0, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,January 1 2020 Wednesday,-0.26666666666666666
5,36,Democrats,"[-1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,January 30 2020 Thursday,-0.55
6,36,Trump,"[0, 0, 1, -1, 0, 1, 0, 0, 1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,January 30 2020 Thursday,-0.10526315789473684
7,36,Senate,"[0, -1, -1, -1, 0, 0, 0, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,January 30 2020 Thursday,-0.4
8,36,Adam Schiff,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,January 30 2020 Thursday,-0.9444444444444444
9,36,House,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,January 30 2020 Thursday,-0.9090909090909091
10,38,Trump,"[1, 0, 0, 0, -1, 1, 0, -1, -1, 0, 0, -1, 0, -1, -1, 0, 0, 1, 0, 1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,January 2 2020 Thursday,-0.1
11,38,U.S.,"[0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,January 2 2020 Thursday,0.05263157894736842
12,38,Iran,"[-1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,January 2 2020 Thursday,-0.6470588235294118
13,38,Bret,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,January 2 2020 Thursday,0.2
14,38,Google,"[1, 1, 0, -1, -1, 0, -1, 1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,January 2 2020 Thursday,0.0
15,48,Trump,"[-1, -1, -1, -1, 1, -1, 0, -1, 0, 1, -1, -1]",Fox News Network THE FIVE,January 7 2020 Tuesday,-0.5
16,48,Juan,[],Fox News Network THE FIVE,January 7 2020 Tuesday,
17,48,Sandra,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,January 7 2020 Tuesday,0.1111111111111111
18,48,Democrats,"[-1, 0, -1, -1, -1, -1, -1, 0, -1, -1]",Fox News Network THE FIVE,January 7 2020 Tuesday,-0.8
19,48,Soleimani,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0]",Fox News Network THE FIVE,January 7 2020 Tuesday,-0.7272727272727273
20,53,Trump,"[0, 0, 0, -1, -1, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, 0, 0, 0]",Fox News Network THE FIVE,January 3 2020 Friday,-0.3888888888888889
21,53,Iran,"[-1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, 0, 1]",Fox News Network THE FIVE,January 3 2020 Friday,-0.5789473684210527
