,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,20,John Lewis,"[1, 0, 1, -1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",Fox News Network LIVE EVENT,July 26 2020 Sunday,0.42105263157894735
1,20,John,"[1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",Fox News Network LIVE EVENT,July 26 2020 Sunday,0.4444444444444444
2,20,Alabama,[],Fox News Network LIVE EVENT,July 26 2020 Sunday,
3,20,America,"[-1, 0, 1, 1, 0, -1, -1, 1, -1, 1, 1, -1, 0, 1, -1, 1]",Fox News Network LIVE EVENT,July 26 2020 Sunday,0.0625
4,20,Selma,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Fox News Network LIVE EVENT,July 26 2020 Sunday,0.1
5,25,Juan,"[0, 0, -1, -1, -1, 0, 0, 1, -1, -1, 0, 0, 0, 0]",Fox News Network THE FIVE,July 23 2020 Thursday,-0.2857142857142857
6,25,Trump,"[0, 0, 0, -1, -1, 0, -1, -1, 0, 0, 0, 0]",Fox News Network THE FIVE,July 23 2020 Thursday,-0.3333333333333333
7,25,China,"[-1, -1, -1, 0, 0, -1, 0, -1, -1, -1]",Fox News Network THE FIVE,July 23 2020 Thursday,-0.7
8,25,Florida,"[-1, 0, 1, 1, 0, 0]",Fox News Network THE FIVE,July 23 2020 Thursday,0.16666666666666666
9,25,Jacksonville,"[0, -1, 1, -1, 0]",Fox News Network THE FIVE,July 23 2020 Thursday,-0.2
10,32,Martha,"[1, 1, 0, 0, 1, 1, 1, 0, -1, 1, -1, 0, 0, 0, 1, -1, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 28 2020 Tuesday,0.2
11,32,Portland,"[-1, -1, -1, -1, 0, -1, -1, 0, 0, 0, -1, -1, -1, 0, 0, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 28 2020 Tuesday,-0.631578947368421
12,32,Trump,"[1, 1, 1, 1, 1, 0, 1, 1, 1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 28 2020 Tuesday,0.8888888888888888
13,32,China,"[0, -1, -1, 0, 0, 0, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 28 2020 Tuesday,-0.375
14,32,the United States,"[-1, 0, -1, -1, 1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 28 2020 Tuesday,-0.3333333333333333
15,34,Portland,"[-1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 21 2020 Tuesday,-0.7894736842105263
16,34,David,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 21 2020 Tuesday,0.0
17,34,the White House,"[0, -1, 0, 0, 0, 1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 21 2020 Tuesday,-0.14285714285714285
18,34,John Kennedy,"[0, 0, 0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 21 2020 Tuesday,0.2
19,34,Americans,"[0, 1, 1, 1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 21 2020 Tuesday,0.3333333333333333
20,50,Francis Suarez,"[0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 6 2020 Monday,0.0
21,50,Neil,"[0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 6 2020 Monday,0.0
22,50,Weekend Shooting Deaths,"[-1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 6 2020 Monday,-0.5
23,50,Kanye West,"[0, 0, 0, 0, 1, 1, 0, 1, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 6 2020 Monday,0.4444444444444444
24,50,Trump,"[-1, 0, 0, 0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 6 2020 Monday,0.0
25,104,New Jersey,"[0, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 3 2020 Friday,-0.5
26,104,Tucker,"[0, 1, 1, 0, 0, 0, 1, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 3 2020 Friday,0.375
27,104,Maine,"[0, 0, 0, 0, 1, 1, 0, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 3 2020 Friday,0.1
28,104,Americans,"[1, 1, 1, 1, 1, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 3 2020 Friday,0.6666666666666666
29,104,America,"[0, 1, 0, 0, 0, 0, 1, 1, 1, 0, -1, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 3 2020 Friday,0.06666666666666667
30,113,Juan,"[1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0]",Fox News Network THE FIVE,July 17 2020 Friday,0.07142857142857142
31,113,Jesse,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,July 17 2020 Friday,0.11764705882352941
32,113,Kennedy,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,July 17 2020 Friday,-0.06666666666666667
33,113,Biden,"[0, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1]",Fox News Network THE FIVE,July 17 2020 Friday,-0.3333333333333333
34,113,Trump,"[-1, -1, -1, -1, 1, 0, 0, 0, 0]",Fox News Network THE FIVE,July 17 2020 Friday,-0.3333333333333333
35,127,Trump,"[0, 0, 0, 0, -1, 0, -1, -1, 1, 0, 0, 0]",Fox News Network THE FIVE,July 8 2020 Wednesday,-0.16666666666666666
36,127,Dana,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,July 8 2020 Wednesday,0.0
37,127,Juan,"[0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,July 8 2020 Wednesday,-0.15384615384615385
38,127,Jesse,"[0, 0, 0, -1, 0, 1, 1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,July 8 2020 Wednesday,0.08333333333333333
39,127,America,"[-1, -1, 0, 0, -1, 0, -1, -1, 1, -1]",Fox News Network THE FIVE,July 8 2020 Wednesday,-0.5
40,137,Trump,"[0, 1, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,July 2 2020 Thursday,0.14285714285714285
41,137,Democrats,"[-1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,July 2 2020 Thursday,-0.5625
42,137,Mike,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,July 2 2020 Thursday,-0.09090909090909091
43,137,American,"[0, 0, 0, 0, 0, 0, 1, 0, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,July 2 2020 Thursday,0.0
44,137,House,"[0, 0, -1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,July 2 2020 Thursday,-0.5
45,150,China,"[-1, 0, 0, 1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 10 2020 Friday,-0.625
46,150,Trace,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 10 2020 Friday,0.0
47,150,Trump,"[0, -1, -1, -1, -1, 1, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 10 2020 Friday,-0.25
48,150,Roger Stone,"[0, 0, 0, -1, -1, 0, -1, 0, 0, 1, 1, 1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 10 2020 Friday,0.0
49,150,Jeffrey Epstein,"[-1, 0, 0, 0, 0, -1, -1, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,July 10 2020 Friday,-0.3
50,156,The New York Times,"[0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 14 2020 Tuesday,-0.25
51,156,Trump,"[-1, -1, 0, 0, 0, 1, 0, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 14 2020 Tuesday,-0.2727272727272727
52,156,Tucker,"[1, 0, 0, 1, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 14 2020 Tuesday,0.25
53,156,Portland,"[-1, -1, 0, -1, -1, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 14 2020 Tuesday,-0.875
54,156,Bari Weiss,"[0, 0, 0, 0, -1, 1]",Fox News Network TUCKER CARLSON TONIGHT,July 14 2020 Tuesday,0.0
55,162,Republicans,"[1, -1, 0, 0, 0, 0, -1, 1, 0, -1, 1, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 27 2020 Monday,-0.14285714285714285
56,162,Charles,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 27 2020 Monday,-0.058823529411764705
57,162,Democrats,"[0, -1, 0, 0, 0, -1, -1, 0, 0, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 27 2020 Monday,-0.36363636363636365
58,162,Republican,"[-1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 27 2020 Monday,-0.5625
59,162,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,July 27 2020 Monday,0.0
60,164,America,"[-1, 1, 1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 0, 1, -1]",Fox News Network LIFE LIBERTY LEVIN,July 19 2020 Sunday,-0.26666666666666666
61,164,American,"[-1, -1, -1, -1, -1, 0, 0, 1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0]",Fox News Network LIFE LIBERTY LEVIN,July 19 2020 Sunday,-0.4444444444444444
62,164,The New York Times,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1]",Fox News Network LIFE LIBERTY LEVIN,July 19 2020 Sunday,-0.6875
63,164,the Democratic Party,"[-1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network LIFE LIBERTY LEVIN,July 19 2020 Sunday,-0.8888888888888888
64,164,Trump,"[0, -1, 1, 0, -1, 0, 0, -1, 0]",Fox News Network LIFE LIBERTY LEVIN,July 19 2020 Sunday,-0.2222222222222222
65,191,Biden,"[0, -1, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 9 2020 Thursday,-0.35294117647058826
66,191,Trump,"[0, 0, 0, -1, -1, -1, 0, -1, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 9 2020 Thursday,-0.5
67,191,Kanye West,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,July 9 2020 Thursday,0.18181818181818182
68,191,America,"[-1, -1, 1, 0, -1, 0, -1, 0, 0, -1]",Fox News Network TUCKER CARLSON TONIGHT,July 9 2020 Thursday,-0.4
