,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,4,Brad Smith,"[1, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,June 18 2020 Thursday,0.6666666666666666
1,4,Microsoft,"[0, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,June 18 2020 Thursday,0.3333333333333333
2,4,the Supreme Court,"[1, 1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,June 18 2020 Thursday,0.5
3,4,Brad,"[1, 0, 0, 0, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,June 18 2020 Thursday,0.3333333333333333
4,4,Congress,"[0, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,June 18 2020 Thursday,0.3333333333333333
5,17,Martha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,June 4 2020 Thursday,0.0
6,17,the New York Times,"[0, 0, 0, -1, 1, -1, -1, -1, 0, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,June 4 2020 Thursday,-0.45454545454545453
7,17,George Floyd,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,June 4 2020 Thursday,0.07142857142857142
8,17,FBI,"[-1, -1, -1, -1, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,June 4 2020 Thursday,-0.875
9,17,New York,"[-1, 0, 0, -1, 0, -1, 0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,June 4 2020 Thursday,-0.47058823529411764
10,19,George Floyd,"[0, 0, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,June 9 2020 Tuesday,-0.1
