,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,6,Bill,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",Fox News Network INGRAHAM ANGLE,March 13 2020 Friday,0.2
1,6,Texas,"[0, 1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,March 13 2020 Friday,0.07142857142857142
2,6,Washington,"[0, -1, 1, -1, -1, 0, 0]",Fox News Network INGRAHAM ANGLE,March 13 2020 Friday,-0.2857142857142857
3,6,Carl,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network INGRAHAM ANGLE,March 13 2020 Friday,0.1
4,6,New York,"[0, 0, 0, 0, -1, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,March 13 2020 Friday,-0.1111111111111111
5,14,Trump,"[0, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, 0]",Fox News Network THE FIVE,March 2 2020 Monday,-0.5333333333333333
6,14,CDC,"[-1, -1, -1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",Fox News Network THE FIVE,March 2 2020 Monday,-0.08333333333333333
7,14,Coronavirus,"[-1, 0, 0, 0, 0, -1, -1, 0, 0, 0]",Fox News Network THE FIVE,March 2 2020 Monday,-0.3
8,14,American,"[0, 1, -1, 0, 1, 0, 1, 0, 0, 1, 1, 0]",Fox News Network THE FIVE,March 2 2020 Monday,0.3333333333333333
9,14,Joe Biden,"[1, -1, 1, 0, 1, 1, 0]",Fox News Network THE FIVE,March 2 2020 Monday,0.42857142857142855
10,22,Martha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,March 20 2020 Friday,0.0
11,22,America,"[0, 1, 1, 0, 0, 0, 0, -1, -1, 0, -1, 0, 1, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,March 20 2020 Friday,-0.13333333333333333
