,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,1,Kevin Hassett,"[0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 19 2020 Tuesday,0.0
1,1,There`s,"[0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 19 2020 Tuesday,0.0
2,3,COVID-19,"[-1, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 21 2020 Thursday,-0.6666666666666666
3,3,I`m,"[1, 1, 0, 1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 21 2020 Thursday,0.75
4,3,Democrat,[0],Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 21 2020 Thursday,0.0
5,3,Mother Nature,"[0, -1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,May 21 2020 Thursday,-0.3333333333333333
6,9,Trump,"[0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1]",Fox News Network FOX NEWS @ NIGHT,May 22 2020 Friday,-0.3076923076923077
7,9,Mike,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]",Fox News Network FOX NEWS @ NIGHT,May 22 2020 Friday,0.25
8,9,African American,"[-1, 0, 0, 0, 0, -1, -1, -1, 1, 0, 1, 1, 0, 0, -1, 1, 0]",Fox News Network FOX NEWS @ NIGHT,May 22 2020 Friday,-0.058823529411764705
9,9,Hong Kong,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1]",Fox News Network FOX NEWS @ NIGHT,May 22 2020 Friday,-0.8461538461538461
10,9,Biden,"[0, 0, 0, 0, -1, -1, 0, -1, 0, -1, 1, -1, -1, 1, -1, -1, 0]",Fox News Network FOX NEWS @ NIGHT,May 22 2020 Friday,-0.35294117647058826
11,15,Minneapolis,"[0, -1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,May 29 2020 Friday,-0.35294117647058826
12,15,Trump,"[1, -1, -1, -1, -1, 1, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,May 29 2020 Friday,-0.2222222222222222
13,15,Martha,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,May 29 2020 Friday,0.0
14,15,George Floyd,"[0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,May 29 2020 Friday,-0.09090909090909091
15,15,Russia,"[0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,May 29 2020 Friday,-0.38461538461538464
16,23,Twitter,"[-1, -1, 0, 0, 0, 0, 0, -1, -1, 0, -1, 0]",Fox News Network THE FIVE,May 27 2020 Wednesday,-0.4166666666666667
17,23,Trump,"[-1, 0, 0, 0, -1, 0, 0, 0, -1, -1]",Fox News Network THE FIVE,May 27 2020 Wednesday,-0.4
