,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,18,Trump,"[-1, -1, -1, -1, 1, -1, -1, -1, 0, -1, 0, -1, 1]",Fox News Network THE FIVE,November 2 2020 Monday,-0.5384615384615384
1,18,Joe Biden,"[-1, 0, 1, 0, -1, -1, 0, 0, -1, -1, 1, 0, 0, 0, 1, 0, -1, -1]",Fox News Network THE FIVE,November 2 2020 Monday,-0.2222222222222222
2,18,Biden,"[0, -1, 0, 0, 0, -1, -1, 0, 1, -1, 1, 0, -1, 0, 0, -1, 1]",Fox News Network THE FIVE,November 2 2020 Monday,-0.17647058823529413
3,18,Juan,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,November 2 2020 Monday,-0.08333333333333333
4,18,Dana,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,November 2 2020 Monday,0.0
5,28,Trump,"[-1, 0, -1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,November 4 2020 Wednesday,-0.1111111111111111
6,28,Pennsylvania,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",Fox News Network THE FIVE,November 4 2020 Wednesday,0.15789473684210525
7,28,Arizona,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network THE FIVE,November 4 2020 Wednesday,-0.058823529411764705
8,28,Joe Biden,"[1, 1, 0, 1, 0, -1, 0, 0, 0, -1, 1, 1, 1, 0, 0, 0, 0]",Fox News Network THE FIVE,November 4 2020 Wednesday,0.23529411764705882
9,28,Juan,"[0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1]",Fox News Network THE FIVE,November 4 2020 Wednesday,-0.23076923076923078
10,31,Trump,"[-1, -1, -1, 0, 0, -1, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1]",Fox News Network FOX HANNITY,November 9 2020 Monday,-0.42857142857142855
11,31,Pennsylvania,"[-1, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, 0, 0]",Fox News Network FOX HANNITY,November 9 2020 Monday,-0.5882352941176471
12,31,American,"[0, 0, 0, 0, 0, 1, 1]",Fox News Network FOX HANNITY,November 9 2020 Monday,0.2857142857142857
13,31,Republican,"[-1, 1, 0, -1, 0, 0, -1, -1, -1, -1, 1, -1, 1, 1, 1]",Fox News Network FOX HANNITY,November 9 2020 Monday,-0.13333333333333333
14,31,Joe Biden,"[-1, -1, 1, -1, -1, -1, 0, 0]",Fox News Network FOX HANNITY,November 9 2020 Monday,-0.5
15,44,Trump,"[-1, -1, 0, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0]",Fox News Network MEDIA BUZZ,November 8 2020 Sunday,-0.55
16,44,Joe Biden,"[-1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 1, 0, -1, -1, 0, 0, 0, 0, -1, 0]",Fox News Network MEDIA BUZZ,November 8 2020 Sunday,-0.5
17,44,Donald Trump,"[0, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, -1]",Fox News Network MEDIA BUZZ,November 8 2020 Sunday,-0.4444444444444444
18,44,Biden,"[-1, 0, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 1]",Fox News Network MEDIA BUZZ,November 8 2020 Sunday,-0.047619047619047616
19,44,Twitter,"[0, -1, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0]",Fox News Network MEDIA BUZZ,November 8 2020 Sunday,-0.3333333333333333
20,52,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,November 10 2020 Tuesday,0.10526315789473684
21,52,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,November 10 2020 Tuesday,0.0
22,52,Republicans,"[1, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,November 10 2020 Tuesday,-0.1111111111111111
23,52,Georgia,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,November 10 2020 Tuesday,-0.058823529411764705
24,52,the United States,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,November 10 2020 Tuesday,-0.08333333333333333
25,55,Operation Warp Speed,"[1, 1, 1, 1, 0]",Fox News Network AMERICA'S NEWSROOM,November 9 2020 Monday,0.8
