,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,12,Shannon,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network FOX NEWS @ NIGHT,October 28 2020 Wednesday,0.15
1,12,Trump,"[0, 1, 0, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1, 0]",Fox News Network FOX NEWS @ NIGHT,October 28 2020 Wednesday,-0.29411764705882354
2,12,Biden,"[0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 1, 0]",Fox News Network FOX NEWS @ NIGHT,October 28 2020 Wednesday,-0.21052631578947367
3,12,Joe Biden,"[0, -1, -1, 0, -1, 0, 0, -1, 0, 0]",Fox News Network FOX NEWS @ NIGHT,October 28 2020 Wednesday,-0.4
4,12,the New York Times,"[-1, 0, 0, -1, -1, -1]",Fox News Network FOX NEWS @ NIGHT,October 28 2020 Wednesday,-0.6666666666666666
5,41,Biden,"[0, -1, -1, 0, -1, -1, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0]",Fox News Network FOX HANNITY,October 12 2020 Monday,-0.4444444444444444
6,41,Joe,"[-1, -1, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, -1, -1, -1, 0, 1]",Fox News Network FOX HANNITY,October 12 2020 Monday,-0.5263157894736842
7,41,Joe Biden,"[-1, -1, -1, -1, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0]",Fox News Network FOX HANNITY,October 12 2020 Monday,-0.5
8,41,Democrats,"[-1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1]",Fox News Network FOX HANNITY,October 12 2020 Monday,-0.7857142857142857
9,41,Trump,"[1, 1, 0, 0, -1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",Fox News Network FOX HANNITY,October 12 2020 Monday,0.3333333333333333
10,54,Oregon,"[0, 0, -1, 0, 0, -1, 0, 0, -1]",Fox News Network FOX AND FRIENDS,October 21 2020 Wednesday,-0.3333333333333333
11,54,Portland,"[-1, -1, -1, -1, -1]",Fox News Network FOX AND FRIENDS,October 21 2020 Wednesday,-1.0
12,54,Peter DeFazio,"[-1, 0, 0]",Fox News Network FOX AND FRIENDS,October 21 2020 Wednesday,-0.3333333333333333
13,54,Congress,[],Fox News Network FOX AND FRIENDS,October 21 2020 Wednesday,
14,61,Trump,"[-1, -1, 0, -1, 0, -1, 0, 1, -1, -1, -1, 0, 0, -1, 0, 0, 0, 1, 0, -1]",Fox News Network THE FIVE,October 21 2020 Wednesday,-0.35
15,61,Joe Biden,"[-1, -1, 0, 1, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1, 0, 0, -1, -1, -1]",Fox News Network THE FIVE,October 21 2020 Wednesday,-0.4
16,61,Democrats,"[-1, 0, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,October 21 2020 Wednesday,-0.5882352941176471
17,61,Biden,"[-1, -1, -1, -1, -1, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,October 21 2020 Wednesday,-0.5555555555555556
18,61,Juan,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network THE FIVE,October 21 2020 Wednesday,0.0
19,67,Democrats,"[0, 0, 0, -1, -1, 0, 0, -1, -1, 0]",Fox News Network FOX AND FRIENDS,October 27 2020 Tuesday,-0.4
20,67,Alyssa,"[0, 0, 0, 0, 0, 0, 0, 1, 1]",Fox News Network FOX AND FRIENDS,October 27 2020 Tuesday,0.2222222222222222
21,67,American,"[0, 0, 0, 0, -1, 1, 0]",Fox News Network FOX AND FRIENDS,October 27 2020 Tuesday,0.0
22,67,White House,"[0, 0, 0, 0, 0]",Fox News Network FOX AND FRIENDS,October 27 2020 Tuesday,0.0
23,67,the White House,"[0, 0, 0, 1, 0]",Fox News Network FOX AND FRIENDS,October 27 2020 Tuesday,0.2
24,68,the White House,"[0, -1, 0, -1, -1, 0]",Fox News Network AMERICA'S NEWSROOM,October 6 2020 Tuesday,-0.5
25,68,Alyssa,"[0, 0, 0, 0]",Fox News Network AMERICA'S NEWSROOM,October 6 2020 Tuesday,0.0
26,68,White House,"[0, 0, -1, 0, -1, -1, 0]",Fox News Network AMERICA'S NEWSROOM,October 6 2020 Tuesday,-0.42857142857142855
27,68,Trump,"[0, 0, -1, 0]",Fox News Network AMERICA'S NEWSROOM,October 6 2020 Tuesday,-0.25
28,68,Americans,"[1, 0, 1, 0]",Fox News Network AMERICA'S NEWSROOM,October 6 2020 Tuesday,0.5
29,107,Trump,"[-1, 0, -1, 0, 0, -1, 1, -1, -1, 0, -1, -1, 1, 0, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 13 2020 Tuesday,-0.4375
30,107,the Affordable Care Act,"[0, -1, -1, 0, 0, 0, -1, -1, 1, 1, 1, -1, 0, 1, 0, 1, -1, 0, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 13 2020 Tuesday,-0.05
31,107,Barrett,"[-1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 1, 0, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 13 2020 Tuesday,-0.14285714285714285
32,107,Americans,"[-1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, 0, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 13 2020 Tuesday,-0.6
33,107,Harris,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 13 2020 Tuesday,-0.18181818181818182
34,108,China,"[-1, -1, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,October 13 2020 Tuesday,-0.6
35,108,Amy Coney Barrett,"[0, 0, 0, 1, -1, -1, -1, 0, -1, -1, -1, 1, -1]",Fox News Network TUCKER CARLSON TONIGHT,October 13 2020 Tuesday,-0.38461538461538464
36,108,NBA,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1]",Fox News Network TUCKER CARLSON TONIGHT,October 13 2020 Tuesday,-0.7692307692307693
37,108,Tucker,"[0, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0]",Fox News Network TUCKER CARLSON TONIGHT,October 13 2020 Tuesday,-0.2727272727272727
38,108,Democrats,"[0, 0, 0, -1, -1, -1, -1, 0, -1, 0]",Fox News Network TUCKER CARLSON TONIGHT,October 13 2020 Tuesday,-0.5
39,109,Trump,"[1, 1, -1, 0, 0, -1, -1, -1, 1, 1, 1, 1, -1, 0, 1, 0, 0, -1, 1, 1]",Fox News Network FOX HANNITY,October 26 2020 Monday,0.15
40,109,Joe Biden,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,October 26 2020 Monday,-0.9411764705882353
41,109,Senate,"[1, 0, 0, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 1]",Fox News Network FOX HANNITY,October 26 2020 Monday,0.05555555555555555
42,109,American,"[1, 1, -1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",Fox News Network FOX HANNITY,October 26 2020 Monday,0.42857142857142855
43,109,Biden,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1]",Fox News Network FOX HANNITY,October 26 2020 Monday,-0.7
44,136,Trump,"[0, 1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",Fox News Network MEDIA BUZZ,October 25 2020 Sunday,0.17647058823529413
45,136,Joe Biden,"[1, -1, 0, 0, 1, -1, 0, -1, 0, -1, 0, 1, -1, 0, -1, -1, -1, 0]",Fox News Network MEDIA BUZZ,October 25 2020 Sunday,-0.2777777777777778
46,136,Biden,"[0, 0, 0, -1, -1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 1, 0, 0, -1]",Fox News Network MEDIA BUZZ,October 25 2020 Sunday,-0.2222222222222222
47,136,Hunter Biden,"[0, 0, -1, 0, -1, 0, -1, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1]",Fox News Network MEDIA BUZZ,October 25 2020 Sunday,-0.5294117647058824
48,136,American,"[0, 0, 1, 1, -1, 1, 0, 0, 0, 0, 1, -1, 1, -1]",Fox News Network MEDIA BUZZ,October 25 2020 Sunday,0.14285714285714285
49,175,Trump,"[0, 1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,October 29 2020 Thursday,0.0625
50,175,Biden,"[-1, -1, -1, -1, 0, 1, 1, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,October 29 2020 Thursday,-0.4
51,175,Joe Biden,"[-1, 0, -1, 0, 0, 0, -1, 0, -1, -1, 1, 1, -1, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,October 29 2020 Thursday,-0.25
52,175,Laura,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,October 29 2020 Thursday,0.0
53,175,Michigan,"[-1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network INGRAHAM ANGLE,October 29 2020 Thursday,-0.125
54,178,Joe Biden,"[-1, 0, -1, -1, -1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1]",Fox News Network FOX HANNITY,October 9 2020 Friday,-0.75
55,178,Trump,"[0, -1, 0, 0, -1, 0, 0, 1, -1, 1, 0, -1, -1, -1, 0, 1, 0]",Fox News Network FOX HANNITY,October 9 2020 Friday,-0.17647058823529413
56,178,HUD,"[1, 1]",Fox News Network FOX HANNITY,October 9 2020 Friday,1.0
57,178,Ben Carson,"[0, 1, 1, 0]",Fox News Network FOX HANNITY,October 9 2020 Friday,0.5
58,178,Sean,"[-1, 0, 1]",Fox News Network FOX HANNITY,October 9 2020 Friday,0.0
59,185,Joe Biden,"[0, -1, 1, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, 0, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 16 2020 Friday,-0.35
60,185,Georgia,"[0, 0, 0, 1, 0, 1, 1, 1, -1, 0, 0, 0, 0, 1, 0, -1, 0, 0, -1, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 16 2020 Friday,0.05
61,185,Biden,"[0, -1, -1, -1, 0, -1, 1, -1, 0, 0, 0, 1, -1, -1, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 16 2020 Friday,-0.4117647058823529
62,185,Trump,"[0, 0, -1, -1, -1, 0, -1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, -1]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 16 2020 Friday,-0.05555555555555555
63,185,America,"[-1, 1, 1, 0, 1, 1, 0, 0, 0, -1, 1, -1, -1, 1, 0, -1, -1, 0]",Fox News Network THE STORY WITH MARTHA MACCALLUM,October 16 2020 Friday,0.0
64,196,Lindsey Graham,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1]",Fox News Network FOX HANNITY,October 20 2020 Tuesday,-0.23529411764705882
65,196,Trump,"[-1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, -1, 0, 1, 0, 1, 0, 1, 0]",Fox News Network FOX HANNITY,October 20 2020 Tuesday,0.15789473684210525
66,196,Joe Biden,"[-1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, 0, 0, -1, -1, 0]",Fox News Network FOX HANNITY,October 20 2020 Tuesday,-0.65
67,196,Democrats,"[-1, -1, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1]",Fox News Network FOX HANNITY,October 20 2020 Tuesday,-0.6470588235294118
68,196,Biden,"[-1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0]",Fox News Network FOX HANNITY,October 20 2020 Tuesday,-0.7058823529411765
69,197,Trump,"[1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, -1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 30 2020 Friday,-0.0625
70,197,Biden,"[-1, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 30 2020 Friday,-0.16666666666666666
71,197,Minnesota,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 30 2020 Friday,-0.07692307692307693
72,197,Joe Biden,"[0, 0, 0, 0, 0, -1, -1, -1, 1, -1, 0, 0, 1, 0, -1, 0, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 30 2020 Friday,-0.2222222222222222
73,197,Michigan,"[0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 30 2020 Friday,-0.16666666666666666
74,210,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 15 2020 Thursday,0.0
75,210,Senate,"[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 15 2020 Thursday,-0.21428571428571427
76,210,Democrats,"[0, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 15 2020 Thursday,-0.5294117647058824
77,210,Twitter,"[-1, 0, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 15 2020 Thursday,-0.5333333333333333
78,210,Joe Biden,"[0, 0, 0, -1, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 15 2020 Thursday,-0.4
79,217,Trump,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 0, 1, 0, -1, -1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 29 2020 Thursday,0.0
80,217,Senate,"[0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 29 2020 Thursday,-0.13333333333333333
81,217,Biden,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 29 2020 Thursday,-0.16666666666666666
82,217,Florida,"[0, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 29 2020 Thursday,0.0
83,217,Joe Biden,"[0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,October 29 2020 Thursday,-0.18181818181818182
84,228,Biden,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0]",Fox News Network WATTERS WORLD,October 10 2020 Saturday,-0.8421052631578947
85,228,Trump,"[1, -1, 0, 0, -1, 1, 0, -1, 0, 0, 1, -1]",Fox News Network WATTERS WORLD,October 10 2020 Saturday,-0.08333333333333333
86,228,Joe Biden,"[-1, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1, 0]",Fox News Network WATTERS WORLD,October 10 2020 Saturday,-0.5
87,228,Florida,"[0, 0, 0, 1, -1, 1, 1, 0, 0, 0]",Fox News Network WATTERS WORLD,October 10 2020 Saturday,0.2
88,228,the Supreme Court,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network WATTERS WORLD,October 10 2020 Saturday,0.0
89,231,Trump,"[0, -1, -1, -1, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, 0, 1, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,October 8 2020 Thursday,-0.3684210526315789
90,231,Biden,"[0, 0, -1, 0, 0, 0, 0, 0, 1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,October 8 2020 Thursday,-0.2631578947368421
91,231,Kamala,"[-1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,October 8 2020 Thursday,-0.8
92,231,COVID,"[0, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,October 8 2020 Thursday,-0.8
93,231,Joe Biden,"[0, 1, 0, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,October 8 2020 Thursday,-0.5555555555555556
94,233,Joe Biden,"[0, 0, 0, 0, 0, 1, 1, -1, -1, 0, 0, 1, 0, -1]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 29 2020 Thursday,0.0
95,233,Neil,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 29 2020 Thursday,0.0
96,233,Trump,"[0, -1, -1, 1, -1, 0, -1, 0, 0, 0, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 29 2020 Thursday,-0.3076923076923077
97,233,Biden,"[-1, 0, 0, 0, -1, 1, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0]",Fox News Network YOUR WORLD WITH NEIL CAVUTO,October 29 2020 Thursday,-0.25
