,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,13,Biden,"[0, 0, -1, -1, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, -1, -1, -1, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,September 16 2020 Wednesday,-0.5
1,13,Trump,"[-1, 0, -1, -1, 0, 1, 0, 1, 1, 1, -1, 1, -1, -1, 0, 0, 0, -1, 0]",Fox News Network INGRAHAM ANGLE,September 16 2020 Wednesday,-0.10526315789473684
2,13,COVID,"[0, 0, 1, 0, 0, 0, 1, -1, -1, 0, 0, -1]",Fox News Network INGRAHAM ANGLE,September 16 2020 Wednesday,-0.08333333333333333
3,13,Democrats,"[-1, -1, -1, 0, 0, 0, -1, 0]",Fox News Network INGRAHAM ANGLE,September 16 2020 Wednesday,-0.5
4,13,Nancy Pelosi,"[0, 0, -1, 0, 0, -1, -1, 0, -1, -1]",Fox News Network INGRAHAM ANGLE,September 16 2020 Wednesday,-0.5
5,95,Biden,"[-1, 0, -1, 0, 1, -1, 1, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, -1, 0, 0]",Fox News Network THE FIVE,September 11 2020 Friday,-0.4
6,95,Trump,"[0, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, -1, -1, -1]",Fox News Network THE FIVE,September 11 2020 Friday,-0.4375
7,95,Juan,"[0, 0, 0, 1, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,September 11 2020 Friday,-0.058823529411764705
8,95,Joe Biden,"[0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, -1]",Fox News Network THE FIVE,September 11 2020 Friday,0.0
9,95,NAFTA,"[-1, 1, -1, -1, -1, -1, 1, -1, 0]",Fox News Network THE FIVE,September 11 2020 Friday,-0.4444444444444444
10,134,Shannon,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",Fox News Network FOX NEWS @ NIGHT,September 14 2020 Monday,0.25
