,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,15,U.S.,"[-1, -1, 0, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 1 2020 Wednesday,-0.5
1,15,Michigan,"[1, 0, 0, -1, -1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,April 1 2020 Wednesday,0.0
2,15,Trump,"[0, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 1 2020 Wednesday,-0.7142857142857143
3,15,Chris,"[0, 0, 1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,April 1 2020 Wednesday,0.4
4,15,Coronavirus,"[0, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 1 2020 Wednesday,-0.14285714285714285
5,16,Florida,"[0, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 10 2020 Friday,-0.5
6,16,I`m,"[1, 1, 0, 0, 0, 1, -1, 0, 0, -1, 1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 10 2020 Friday,0.14285714285714285
7,16,Coronavirus,"[0, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,April 10 2020 Friday,0.14285714285714285
8,16,That`s,"[0, -1, -1, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 10 2020 Friday,-0.5
9,16,U.S.,"[-1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,April 10 2020 Friday,-0.75
10,17,New York,"[0, -1, 0, -1, 0, 0, -1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 13 2020 Monday,-0.45454545454545453
11,17,Coronavirus,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 13 2020 Monday,-1.0
12,17,Trump,"[-1, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 13 2020 Monday,-0.7272727272727273
13,17,Florida,"[-1, -1, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,April 13 2020 Monday,-0.4
14,17,Americans,"[-1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 13 2020 Monday,-1.0
15,18,San Francisco,"[1, 0, 0, -1, -1, 0, -1, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,April 14 2020 Tuesday,-0.07692307692307693
16,18,Republicans,"[-1, -1, 0, 0, -1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 14 2020 Tuesday,-0.5555555555555556
17,18,Democrats,"[-1, 0, 1, 0, 1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 14 2020 Tuesday,0.0
18,18,Trump,"[-1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,April 14 2020 Tuesday,-0.75
19,18,That`s,"[0, 0, 0, 0, 0, 0, 1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,April 14 2020 Tuesday,0.1111111111111111
20,19,Americans,"[-1, 0, -1, 0, -1, 0, 1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,April 15 2020 Wednesday,-0.1111111111111111
21,19,Democrats,"[-1, 0, -1, -1, 1, 0, 1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,April 15 2020 Wednesday,-0.1111111111111111
22,19,Coronavirus,"[0, 0, 0, 0, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 15 2020 Wednesday,-0.3333333333333333
23,19,Trump,"[-1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 15 2020 Wednesday,-0.7272727272727273
24,19,Florida,"[-1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 15 2020 Wednesday,-0.8
25,20,WHO,"[-1, -1, 0, -1, -1, 0, 0, 0, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,April 16 2020 Thursday,-0.36363636363636365
26,20,Chinese,"[-1, -1, 0, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 16 2020 Thursday,-0.5
27,20,Chris,"[0, 0, 0, 1, 0, 1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,April 16 2020 Thursday,0.5
28,20,China,"[-1, -1, -1, -1, 0, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 16 2020 Thursday,-0.7
29,20,U.S.,"[-1, -1, 1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 16 2020 Thursday,-0.6666666666666666
30,21,U.S.,"[-1, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 17 2020 Friday,-0.4
31,21,Trump,"[-1, -1, 0, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 17 2020 Friday,-0.5
32,21,That`s,"[0, 0, 0, -1, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,April 17 2020 Friday,0.0
33,21,There`s,"[0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 17 2020 Friday,-0.6666666666666666
34,21,Chris,"[0, 0, 0, 0, 0, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 17 2020 Friday,0.125
35,22,New York,"[0, 0, -1, 0, -1, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 2 2020 Thursday,-0.26666666666666666
36,22,Medicaid,"[-1, 0, 0, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 2 2020 Thursday,-0.75
37,22,Trump,"[-1, -1, 0, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 2 2020 Thursday,-0.8
38,22,California,"[-1, -1, 0, 1, 0, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,April 2 2020 Thursday,-0.5
39,22,There`s,"[0, 0, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,April 2 2020 Thursday,-0.2857142857142857
40,23,Coronavirus,"[0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 20 2020 Monday,-0.18181818181818182
41,23,Michigan,"[-1, 0, 1, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,April 20 2020 Monday,-0.125
42,23,Oregon,"[0, 0, 1, -1, 1, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 20 2020 Monday,0.25
43,23,Americans,"[-1, -1, 0, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 20 2020 Monday,-0.5714285714285714
44,23,Chris,"[0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,April 20 2020 Monday,0.0
