,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,0,American,"[0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 1, -1, -1, -1, -1, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 13 2020 Thursday,-0.3888888888888889
1,0,the Postal Service,"[-1, -1, -1, 1, -1, -1, 0, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 13 2020 Thursday,-0.6666666666666666
2,0,Congress,"[0, -1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 13 2020 Thursday,0.5454545454545454
3,0,Trump,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 13 2020 Thursday,-0.3333333333333333
4,0,Americans,"[-1, 0, -1, -1, -1, 0, 0, -1, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 13 2020 Thursday,-0.7
5,1,Trump,"[0, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 14 2020 Friday,-0.6470588235294118
6,1,Democrats,"[0, 0, 0, -1, 0, -1, 0, 0, 0, 1, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 14 2020 Friday,-0.09090909090909091
7,1,Congress,"[0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 14 2020 Friday,0.18181818181818182
8,1,I`m,"[0, 0, -1, 0, -1, 0, 0, 1, 0, 1, 1, 1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 14 2020 Friday,0.16666666666666666
9,1,Brian,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 14 2020 Friday,0.0
10,3,Kamala Harris,"[0, 1, 0, 0, -1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, -1, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 11 2020 Tuesday,0.3
11,3,Biden,"[-1, 1, 0, 0, -1, -1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, -1, 0, 0, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 11 2020 Tuesday,0.05
12,3,Joe Biden,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 11 2020 Tuesday,0.25
13,3,Trump,"[-1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 11 2020 Tuesday,-0.7222222222222222
14,3,Harris,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, -1, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,August 11 2020 Tuesday,0.3333333333333333
15,5,Trump,"[-1, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, 0]",MSNBC MSNBC LIVE,August 17 2020 Monday,-0.7142857142857143
16,5,Joe Biden,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1]",MSNBC MSNBC LIVE,August 17 2020 Monday,0.42105263157894735
17,5,Biden,"[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",MSNBC MSNBC LIVE,August 17 2020 Monday,0.3684210526315789
18,5,Donald Trump,"[-1, 0, -1, 0, -1, -1, 0, 0, -1, 0, -1, -1, 0, -1, 0]",MSNBC MSNBC LIVE,August 17 2020 Monday,-0.5333333333333333
19,5,I`m,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",MSNBC MSNBC LIVE,August 17 2020 Monday,0.25
20,6,Joe Biden,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",MSNBC MSNBC LIVE,August 17 2020 Monday,0.75
21,6,COVID,"[-1, -1, -1, 0, -1, -1, 0, 0, 0, -1, 0, -1, -1, -1, -1, 0]",MSNBC MSNBC LIVE,August 17 2020 Monday,-0.625
22,6,America,"[1, 1, -1, 1, 0, -1, 0, 1, 1, 0, 1, 1, -1, 0, 0]",MSNBC MSNBC LIVE,August 17 2020 Monday,0.26666666666666666
