,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,51,Kim,"[1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,December 1 2020 Tuesday,0.16666666666666666
1,51,Donald Trump,[],MSNBC ALL IN with CHRIS HAYES,December 1 2020 Tuesday,
2,51,Constitution,"[1, 0, 1, 0, 1, 1, 1, -1, 1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,December 1 2020 Tuesday,0.25
3,51,I`m,[],MSNBC ALL IN with CHRIS HAYES,December 1 2020 Tuesday,
4,51,the United States,"[0, -1, -1, 0, -1, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,December 1 2020 Tuesday,-0.6363636363636364
5,52,FDA,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 10 2020 Thursday,0.08333333333333333
6,52,I`m,"[0, -1, 0, 0, 0, 0, -1, 0, -1, 0, -1, 1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,December 10 2020 Thursday,-0.35714285714285715
7,52,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 10 2020 Thursday,0.0
8,52,Pfizer,"[1, 1, 1, 0, 0, 0, -1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,December 10 2020 Thursday,0.2222222222222222
9,52,That`s,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,December 10 2020 Thursday,0.1111111111111111
10,53,FDA,"[-1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 11 2020 Friday,-0.06666666666666667
11,53,Republicans,"[0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,December 11 2020 Friday,-0.7333333333333333
12,53,Donald Trump,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,December 11 2020 Friday,-0.8
13,53,the Supreme Court,"[-1, 0, 0, 0, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,December 11 2020 Friday,0.0
14,53,Chris,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 11 2020 Friday,0.21428571428571427
15,54,Georgia,"[0, 0, 0, 1, 0, 0, -1, 0, 1, 0, 1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,December 14 2020 Monday,0.3076923076923077
16,54,Joe Biden,"[0, 0, 0, -1, 1, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,December 14 2020 Monday,0.1
17,54,That`s,"[0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 14 2020 Monday,0.0
18,54,Michigan,"[0, 0, 0, -1, 0, -1, -1, 0, -1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,December 14 2020 Monday,-0.25
19,54,Trump,"[-1, -1, -1, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, -1, 1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,December 14 2020 Monday,-0.5263157894736842
20,55,Republican,"[-1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, 0, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,December 15 2020 Tuesday,-0.7222222222222222
21,55,the White House,"[0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,December 15 2020 Tuesday,-0.23076923076923078
22,55,Mitch McConnell,"[0, -1, 0, -1, 0, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,December 15 2020 Tuesday,-0.6363636363636364
23,55,Trump,"[-1, 0, -1, -1, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,December 15 2020 Tuesday,-0.631578947368421
24,55,Senate,"[-1, 0, 0, 1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,December 15 2020 Tuesday,-0.125
