,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,73,New Hampshire,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,February 7 2020 Friday,-0.05263157894736842
1,73,Trump,"[-1, -1, -1, -1, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,February 7 2020 Friday,-0.55
2,73,Iowa,"[0, 0, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,February 7 2020 Friday,-0.2
3,73,Biden,"[-1, 0, 1, -1, -1, 0, 1, 0, -1, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,February 7 2020 Friday,-0.4
4,73,Vindman,"[0, 0, 0, 1, 1, 1, 0, -1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,February 7 2020 Friday,0.07692307692307693
5,74,New Hampshire,"[0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,February 10 2020 Monday,0.07142857142857142
6,74,Democratic,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,February 10 2020 Monday,-0.1111111111111111
7,74,Iowa,"[0, 0, 0, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,February 10 2020 Monday,-0.06666666666666667
8,74,Bloomberg,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,February 10 2020 Monday,0.13333333333333333
9,74,Donald Trump,"[1, 0, -1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,February 10 2020 Monday,-0.2857142857142857
10,75,Sanders,"[0, 0, 1, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,February 11 2020 Tuesday,0.10526315789473684
11,75,New Hampshire,"[0, 0, 0, 0, 0, 1, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,February 11 2020 Tuesday,-0.17647058823529413
12,75,Buttigieg,"[-1, -1, 1, 0, 1, -1, 0, 1, 0, -1, -1, 1, 1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,February 11 2020 Tuesday,0.06666666666666667
13,75,Klobuchar,"[0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,February 11 2020 Tuesday,0.15
