,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,12,Kobe,"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.16666666666666666
1,12,Kobe Bryant,"[0, 1, 0, 0, 1, 1, 0, 1, -1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.3684210526315789
2,12,NBA,"[0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 1, 1, 0, 1, 0, 0, 1]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.2222222222222222
3,12,Gianna,"[0, 0, 0, 0, 1, 0, 0, 0, -1, 0, 0, 0, 0, -1, -1, 0, -1]",MSNBC POLITICS NATION,January 26 2020 Sunday,-0.17647058823529413
4,12,Southern California,"[0, 0, -1]",MSNBC POLITICS NATION,January 26 2020 Sunday,-0.3333333333333333
5,58,Iraq,"[0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.35294117647058826
6,58,Iran,"[0, -1, 0, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.5882352941176471
7,58,Trump,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.7222222222222222
8,58,C.I.A.,[],MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,
9,58,Congress,"[0, -1, -1, -1, -1, 1, -1, -1, 0, 0, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.46153846153846156
10,91,Senate,"[0, -1, 0, 0, 1, 0, 0, -1, -1, 0, 1, -1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.14285714285714285
11,91,Donald Trump,"[0, 0, 0, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.23076923076923078
12,91,Trump,"[0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.25
13,91,Iran,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.8235294117647058
14,91,U.S.,"[0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.2
15,92,Trump,"[0, -1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.2222222222222222
16,92,Parnas,"[0, 1, 0, -1, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.2857142857142857
17,92,Lev Parnas,"[0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.6666666666666666
18,92,Barr,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.375
19,92,Pence,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 0, -1, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.6842105263157895
20,93,Ukraine,"[0, 0, -1, 0, -1, 0, 0, -1, -1, 0, -1, 0, 1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.2777777777777778
21,93,Lev Parnas,"[0, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.23529411764705882
22,93,Trump,"[0, -1, 0, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.6
23,93,Donald Trump,"[0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.4375
24,93,Senate,"[0, -1, 0, 0, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.5555555555555556
25,94,Senate,"[0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,0.0
26,94,House,"[-1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.6363636363636364
27,94,Democrats,"[0, 0, 0, 0, -1, -1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.1111111111111111
28,94,Trump,"[0, 0, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.6923076923076923
29,94,the White House,"[0, -1, 1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.2857142857142857
30,95,U.S.,"[-1, 1, -1, 1, 1, 0, 1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.08333333333333333
31,95,Ukraine,"[0, 0, -1, 1, -1, -1, 1, 0, -1, 0, -1, 0, 1, -1, 0, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.1111111111111111
32,95,Zelensky,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, -1, 1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,0.11764705882352941
33,95,Trump,"[-1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.875
34,95,American,"[0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.09090909090909091
35,96,Ukraine,"[-1, 1, 1, -1, -1, -1, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.36363636363636365
36,96,House,"[0, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.6666666666666666
37,96,Congress,"[-1, -1, -1, 0, -1, -1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.5
38,96,I`m,"[0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,0.0
39,96,Obama,"[0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,0.0
40,97,Bolton,"[0, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, -1, 0, 1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 28 2020 Tuesday,-0.2857142857142857
41,97,John Bolton,"[0, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 28 2020 Tuesday,-0.13333333333333333
42,97,Republicans,"[0, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 28 2020 Tuesday,-0.35
43,97,Senate,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 28 2020 Tuesday,-0.11764705882352941
