,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,102,Russia,"[-1, 0, -1, 0, -1, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, -1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 1 2020 Wednesday,-0.55
1,102,American,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 1 2020 Wednesday,-0.7857142857142857
2,102,Taliban,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 1 2020 Wednesday,-0.9
3,102,New York,"[0, -1, -1, -1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 1 2020 Wednesday,-0.6666666666666666
4,102,Americans,"[-1, -1, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 1 2020 Wednesday,-0.5714285714285714
5,103,Roger Stone,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 10 2020 Friday,-0.05555555555555555
6,103,Donald Trump,"[-1, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 10 2020 Friday,-0.8125
7,103,Trump,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 10 2020 Friday,-0.7692307692307693
8,103,Texas,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 10 2020 Friday,-0.9285714285714286
9,103,Houston,"[-1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 10 2020 Friday,-0.8333333333333334
10,104,NFL,"[-1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 13 2020 Monday,-0.23076923076923078
11,104,Chris,"[0, 0, 1, 0, 0, 1, 1]",MSNBC ALL IN with CHRIS HAYES,July 13 2020 Monday,0.42857142857142855
12,104,Alabama,"[0, -1, -1, -1, -1, -1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 13 2020 Monday,-0.7
13,104,Roger Stone,"[-1, -1, -1, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 13 2020 Monday,-0.625
14,104,Fauci,"[-1, -1, 0, -1, 1, 1, 0, 1, 0, 1, 1, -1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,July 13 2020 Monday,0.14285714285714285
15,105,Trump,"[-1, 1, -1, 0, -1, -1, 0, -1, -1, 1, -1, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 14 2020 Tuesday,-0.5
16,105,Texas,"[-1, 1, 0, 1, 0, -1, -1, -1, -1, 0, -1, -1, -1, 0, 1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 14 2020 Tuesday,-0.4117647058823529
17,105,Florida,"[-1, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 14 2020 Tuesday,-0.5
18,105,Republican,"[-1, -1, -1, 0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 14 2020 Tuesday,-0.5263157894736842
19,105,Republicans,"[-1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 14 2020 Tuesday,-0.9166666666666666
20,106,Donald Trump,"[-1, 0, -1, -1, 0, 0, -1, -1, 0, -1, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 15 2020 Wednesday,-0.5
21,106,Oklahoma,"[0, -1, -1, -1, 0, 0, -1, -1, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 15 2020 Wednesday,-0.5384615384615384
22,106,Coronavirus,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 15 2020 Wednesday,-0.8
23,106,Fauci,"[0, 1, -1, -1, 0, 0, 1, 1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 15 2020 Wednesday,-0.09090909090909091
24,106,Trump,"[-1, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 15 2020 Wednesday,-0.625
25,107,Trump,"[-1, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 16 2020 Thursday,-0.4375
26,107,Republican,"[0, -1, -1, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 16 2020 Thursday,-0.625
27,107,Republicans,"[-1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 16 2020 Thursday,-0.6666666666666666
28,107,the Republican Party,"[-1, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 16 2020 Thursday,-0.5454545454545454
29,107,Florida,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 16 2020 Thursday,-0.9090909090909091
30,108,Donald Trump,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 17 2020 Friday,-0.8125
31,108,Portland,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 17 2020 Friday,-0.6666666666666666
32,108,Trump,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, 0, -1, -1, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 17 2020 Friday,-0.7222222222222222
33,108,Oregon,"[-1, 0, -1, 0, 0, 0, -1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 17 2020 Friday,-0.3333333333333333
34,108,American,"[-1, -1, -1, -1, 1, -1, 0, -1, -1, -1, -1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,July 17 2020 Friday,-0.5
35,109,Trump,"[-1, -1, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 2 2020 Thursday,-0.4444444444444444
36,109,Florida,"[-1, 0, -1, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 2 2020 Thursday,-0.5
37,109,Texas,"[-1, 0, 0, 0, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 2 2020 Thursday,-0.2222222222222222
38,109,Chris,"[0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,July 2 2020 Thursday,0.3333333333333333
39,109,Maxwell,[],MSNBC ALL IN with CHRIS HAYES,July 2 2020 Thursday,
40,110,Americans,"[-1, -1, -1, 0, 0, 0, 0, -1, -1, -1, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,July 20 2020 Monday,-0.5384615384615384
41,110,the United States,"[-1, 0, 1, 0, 0, 0, 0, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 20 2020 Monday,-0.3076923076923077
42,110,John Lewis,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,July 20 2020 Monday,0.5833333333333334
43,110,Donald Trump,"[-1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 20 2020 Monday,-0.8
44,110,Joe Biden,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,July 20 2020 Monday,0.3
45,111,Texas,"[0, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 21 2020 Tuesday,-0.5789473684210527
46,111,Donald Trump,"[0, -1, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 21 2020 Tuesday,-0.6470588235294118
47,111,the United States,"[0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 21 2020 Tuesday,-0.6428571428571429
48,111,CDC,"[0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,July 21 2020 Tuesday,-0.3076923076923077
49,111,Americans,"[-1, -1, 1, -1, 1, 0, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,July 21 2020 Tuesday,-0.45454545454545453
50,112,Donald Trump,"[0, -1, -1, 0, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,July 22 2020 Wednesday,-0.5714285714285714
