,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,125,Georgia,"[-1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,June 10 2020 Wednesday,-0.25
1,125,State,"[0, -1, -1, -1, -1, 0, 0, 0, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,June 10 2020 Wednesday,-0.5384615384615384
2,125,Arizona,"[-1, -1, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,June 10 2020 Wednesday,-0.5
3,125,Confederate,"[-1, -1, -1, 0, 0, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,June 10 2020 Wednesday,-0.7
4,125,Coronavirus,"[-1, -1, -1, -1, -1, 0, -1, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,June 10 2020 Wednesday,-0.6
5,126,Chicago,"[0, 0, -1, 0, 1, 0, -1, 0, 1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,June 11 2020 Thursday,-0.16666666666666666
6,126,Biden,"[1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,June 11 2020 Thursday,0.4
7,126,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,June 11 2020 Thursday,0.0
8,126,Donald Trump,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,June 11 2020 Thursday,-0.75
9,126,American,"[1, 1, 0, 0, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,June 11 2020 Thursday,0.0
10,127,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,June 12 2020 Friday,0.07692307692307693
