,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,140,Minneapolis,"[0, -1, -1, 0, 0, -1, -1, 0, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 20 2020 Friday,-0.46153846153846156
1,140,the White House,"[-1, -1, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 20 2020 Friday,-0.375
2,140,American,"[-1, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 20 2020 Friday,-0.6363636363636364
3,140,George Floyd,"[0, 0, 0, -1, 0, 1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 20 2020 Friday,-0.2222222222222222
4,140,Defense,"[-1, -1, 0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 20 2020 Friday,-0.75
5,146,Biden,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,March 10 2020 Tuesday,0.4
6,146,Sanders,"[0, 0, 0, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 10 2020 Tuesday,-0.15
7,146,Missouri,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 10 2020 Tuesday,0.05
8,146,Joe Biden,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 10 2020 Tuesday,0.4
9,146,Michigan,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 10 2020 Tuesday,-0.05
10,147,Coronavirus,"[-1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 11 2020 Wednesday,-0.75
11,147,I`m,"[0, 0, 0, 0, -1, 0, 0, 1, 0, 0, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 11 2020 Wednesday,-0.06666666666666667
12,147,Bernie Sanders,"[0, 0, -1, 0, 1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 11 2020 Wednesday,-0.125
13,147,Italy,"[0, -1, 0, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 11 2020 Wednesday,-0.7777777777777778
14,147,Biden,"[-1, 0, 0, 0, 0, -1, 0, -1, 0, 1, 0, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 11 2020 Wednesday,-0.4375
15,148,I`m,"[1, -1, -1, 0, 0, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 12 2020 Thursday,-0.3
16,148,Senate,"[0, -1, 0, 0, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 12 2020 Thursday,-0.5555555555555556
17,148,Trump,"[0, 0, 0, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 12 2020 Thursday,-0.6666666666666666
18,148,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 12 2020 Thursday,0.0
19,148,U.S.,"[-1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 12 2020 Thursday,-0.8333333333333334
20,149,U.S.,"[0, -1, -1, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 13 2020 Friday,-0.8
21,149,Trump,"[-1, 0, -1, 0, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 13 2020 Friday,-0.5714285714285714
22,149,Washington,"[0, 0, 0, 0, 0, 0, 0, 0, 1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 13 2020 Friday,0.0
23,149,China,"[-1, 0, -1, 0, 1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 13 2020 Friday,-0.25
24,149,Italy,"[0, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 13 2020 Friday,-0.5
25,150,Trump,"[-1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 16 2020 Monday,-0.4166666666666667
26,150,Chris,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 16 2020 Monday,0.07692307692307693
27,150,Ohio,"[0, 0, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 16 2020 Monday,-0.42857142857142855
28,150,Arizona,"[0, 0, 1, 0, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,March 16 2020 Monday,0.14285714285714285
29,150,New York,"[0, 0, -1, 0, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 16 2020 Monday,-0.2222222222222222
30,151,Florida,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 17 2020 Tuesday,-0.05263157894736842
31,151,Illinois,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 17 2020 Tuesday,0.0
32,151,Joe Biden,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 17 2020 Tuesday,0.5384615384615384
33,151,Bernie Sanders,"[-1, -1, -1, 0, -1, -1, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 17 2020 Tuesday,-0.6363636363636364
34,151,Sanders,"[0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 17 2020 Tuesday,-0.6
35,152,U.S.,"[0, 0, -1, 1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 18 2020 Wednesday,-0.375
36,152,Italy,"[-1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 18 2020 Wednesday,-0.8
37,152,Connecticut,"[-1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 18 2020 Wednesday,-0.6
38,152,China,"[-1, 0, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 18 2020 Wednesday,-0.5714285714285714
39,152,We`ve,"[0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 18 2020 Wednesday,0.0
40,153,Trump,"[-1, 0, 0, 0, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 19 2020 Thursday,-0.5555555555555556
41,153,FDA,"[0, 0, 0, 0, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 19 2020 Thursday,-0.1111111111111111
42,153,South Korea,"[0, 0, 0, 1, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 19 2020 Thursday,-0.2222222222222222
43,153,Senate,"[0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 19 2020 Thursday,-0.3333333333333333
44,153,China,"[-1, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 19 2020 Thursday,-0.5
45,154,Biden,"[-1, 0, 1, 0, 1, 0, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 2 2020 Monday,-0.1
46,154,California,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,March 2 2020 Monday,0.1875
47,154,Joe Biden,"[1, 0, 0, 0, 0, 0, 1, -1, -1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 2 2020 Monday,0.1
48,154,Bernie Sanders,"[0, -1, 1, 0, 0, -1, -1, 1, 0, 0, -1, -1, 0, 0, -1, 1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 2 2020 Monday,-0.1111111111111111
49,154,Texas,"[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 2 2020 Monday,0.0
50,155,Chris,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 23 2020 Monday,0.18181818181818182
51,155,Trump,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 23 2020 Monday,-0.7333333333333333
52,155,Democrats,"[0, -1, -1, -1, 1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 23 2020 Monday,-0.5
53,155,Fox,"[-1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 23 2020 Monday,-0.3333333333333333
54,155,Fox News,"[-1, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 23 2020 Monday,-0.6666666666666666
55,156,New York,"[-1, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, 0, 1, 1]",MSNBC ALL IN with CHRIS HAYES,March 24 2020 Tuesday,-0.1111111111111111
56,156,Tennessee,"[0, 0, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 24 2020 Tuesday,-0.6
57,156,Republican,"[0, 1, 0, -1, 1, 0, 0, 1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 24 2020 Tuesday,0.0
58,156,Americans,"[-1, -1, 0, 1, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,March 24 2020 Tuesday,-0.375
59,156,New York City,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,March 24 2020 Tuesday,0.1
60,157,China,"[-1, 0, -1, 0, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 25 2020 Wednesday,-0.7
61,157,New York,"[0, 0, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 25 2020 Wednesday,-0.5714285714285714
62,157,There`s,"[0, 0, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 25 2020 Wednesday,-0.125
63,157,Coronavirus,"[0, 0, 0, 0, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 25 2020 Wednesday,-0.4444444444444444
64,157,U.S.,"[-1, -1, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 25 2020 Wednesday,-0.5714285714285714
65,158,China,"[-1, 0, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 26 2020 Thursday,-0.07692307692307693
66,158,U.S.,"[0, -1, -1, -1, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 26 2020 Thursday,-0.5
67,158,Italy,"[-1, 1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 26 2020 Thursday,-0.42857142857142855
68,158,Georgia,"[1, 0, 0, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,March 26 2020 Thursday,0.16666666666666666
69,158,New York,"[0, 0, 0, 0, 0, -1, 0, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 26 2020 Thursday,-0.38461538461538464
70,159,Detroit,"[-1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 27 2020 Friday,-0.75
71,159,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 27 2020 Friday,0.0
72,159,New York,"[0, -1, 1, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,March 27 2020 Friday,-0.14285714285714285
73,159,Michigan,"[0, 0, 0, 0, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 27 2020 Friday,-0.5
74,159,New Orleans,"[-1, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 27 2020 Friday,-0.2857142857142857
75,160,Texas,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 3 2020 Tuesday,-0.05263157894736842
76,160,Biden,"[0, 0, -1, 1, 0, 0, 0, 0, 0, -1, 0, -1, 0, 1, 1, 0, 1, -1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 3 2020 Tuesday,0.05
77,160,Joe Biden,"[0, 1, 1, 1, 0, 0, 0, -1, -1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,March 3 2020 Tuesday,0.5238095238095238
78,160,South Carolina,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 3 2020 Tuesday,-0.05263157894736842
79,160,Sanders,"[0, 0, 0, 0, 0, 0, 1, -1, 0, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,March 3 2020 Tuesday,-0.3
80,161,New York,"[0, 0, -1, -1, 0, 0, -1, 0, 0, -1, -1, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 30 2020 Monday,-0.4117647058823529
81,161,Fed,"[0, 0, 0, 1, -1, 0, 0, 0, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,March 30 2020 Monday,0.0
82,161,Seattle,"[0, 0, 0, 0, -1, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 30 2020 Monday,0.0
83,161,U.S.,"[0, 0, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 30 2020 Monday,-0.42857142857142855
84,161,CDC,"[0, 0, 1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 30 2020 Monday,0.0
85,162,New York,"[0, 0, 0, 0, 0, 0, 0, 1, 1, -1, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 31 2020 Tuesday,0.05555555555555555
86,162,There`s,"[0, 0, 1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,March 31 2020 Tuesday,0.125
87,162,PPE,"[1, 0, 1, -1, -1, 1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,March 31 2020 Tuesday,0.125
88,162,Connecticut,"[0, 1, 1, 0]",MSNBC ALL IN with CHRIS HAYES,March 31 2020 Tuesday,0.5
89,162,Amazon,"[-1, -1, -1, -1, 0, -1, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,March 31 2020 Tuesday,-0.6666666666666666
90,163,Biden,"[0, 1, 1, 0, -1, 1, 0, 1, 0, 0, 0, 1, 0, -1, 1, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,March 4 2020 Wednesday,0.2631578947368421
91,163,Joe Biden,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,March 4 2020 Wednesday,0.1
