,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,166,Michigan,"[-1, -1, 0, -1, 0, 0, -1, 0, 1, 1, 1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 1 2020 Friday,-0.3333333333333333
1,166,Trump,"[-1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 1 2020 Friday,-0.8333333333333334
2,166,American,"[0, -1, 0, -1, 0, 1, 0, 0, -1, -1, 0, 0, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,May 1 2020 Friday,-0.13333333333333333
3,166,Americans,"[1, -1, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,May 1 2020 Friday,-0.2857142857142857
4,166,New York,"[0, 0, -1, -1, 1, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,May 1 2020 Friday,0.0
5,167,American,"[-1, -1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, -1, -1, 1, -1]",MSNBC ALL IN with CHRIS HAYES,May 11 2020 Monday,0.125
6,167,the White House,"[0, 0, -1, -1, -1, 0, 0, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 11 2020 Monday,-0.5
7,167,South Korea,"[0, 1, 1, 1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 11 2020 Monday,0.25
8,167,Trump,"[-1, 0, -1, 1, 0, 0, 0, 0, 0, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 11 2020 Monday,-0.23076923076923078
9,167,U.S.,"[0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 11 2020 Monday,-0.3333333333333333
10,169,Trump,"[-1, -1, 1, 0, 0, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 12 2020 Tuesday,-0.6
11,169,Congress,"[0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 12 2020 Tuesday,-0.3076923076923077
12,169,Donald Trump,"[-1, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 12 2020 Tuesday,-0.7333333333333333
13,169,Barack Obama,"[-1, 0, 0, 0, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 12 2020 Tuesday,-0.375
14,169,America,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,May 12 2020 Tuesday,-0.21428571428571427
15,170,CDC,"[0, -1, 0, 0, 0, 1, -1, -1, 0, -1, 1, -1, -1, 0, -1, 0, -1, -1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,May 13 2020 Wednesday,-0.3
16,170,Trump,"[-1, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,May 13 2020 Wednesday,-0.85
17,170,NBA,"[0, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 13 2020 Wednesday,-0.16666666666666666
18,170,Fauci,"[-1, 0, 0, -1, 0, 0, 1, -1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 13 2020 Wednesday,-0.3333333333333333
19,170,Chris,"[0, 1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,May 13 2020 Wednesday,0.75
20,171,Trump,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, 0, 0, 0, 0, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 14 2020 Thursday,-0.5263157894736842
21,171,the Department of Justice,"[0, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,May 14 2020 Thursday,-0.5
22,171,I`m,"[0, -1, -1, 0, -1, 0, 1, 0, 0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 14 2020 Thursday,-0.42857142857142855
23,171,Coronavirus,"[0, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 14 2020 Thursday,-0.7142857142857143
24,171,FBI,"[-1, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 14 2020 Thursday,-0.3333333333333333
25,172,CIA,"[-1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,May 15 2020 Friday,0.0
26,172,Trump,"[-1, -1, 0, 0, -1, -1, -1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 15 2020 Friday,-0.6666666666666666
27,172,Donald Trump,"[-1, 0, 0, -1, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,May 15 2020 Friday,-0.4444444444444444
28,172,American,"[-1, 1, 0, 1, 0, -1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 15 2020 Friday,-0.2
29,172,Obama,"[-1, 0, -1, 1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,May 15 2020 Friday,0.0
30,173,Trump,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,May 18 2020 Monday,-0.8421052631578947
31,173,Georgia,"[0, -1, 0, -1, -1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,May 18 2020 Monday,-0.4
