,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,13,My Brother`s Keeper,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",MSNBC MSNBC LIVE,November 19 2020 Thursday,0.6111111111111112
1,13,Obama,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",MSNBC MSNBC LIVE,November 19 2020 Thursday,0.05555555555555555
2,13,I`m,"[0, 0, 0, 0, 1, -1, 0, 1, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 1, 0]",MSNBC MSNBC LIVE,November 19 2020 Thursday,0.1
3,13,Christian,"[0, 0, 0, 0, 0, 0, 0]",MSNBC MSNBC LIVE,November 19 2020 Thursday,0.0
4,13,Jerron,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",MSNBC MSNBC LIVE,November 19 2020 Thursday,0.08333333333333333
5,14,Pfizer,"[1, 1, 1, 0]",MSNBC ANDREA MITCHELL REPORTS,November 18 2020 Wednesday,0.75
6,14,Americans,"[-1, -1, 0]",MSNBC ANDREA MITCHELL REPORTS,November 18 2020 Wednesday,-0.6666666666666666
7,14,Fauci,"[-1, 0]",MSNBC ANDREA MITCHELL REPORTS,November 18 2020 Wednesday,-0.5
8,14,Moderna,"[1, 0, 1]",MSNBC ANDREA MITCHELL REPORTS,November 18 2020 Wednesday,0.6666666666666666
9,14,the United States,"[-1, -1]",MSNBC ANDREA MITCHELL REPORTS,November 18 2020 Wednesday,-1.0
10,188,Trump,"[-1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 10 2020 Tuesday,-0.6875
11,188,Republican,"[0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 10 2020 Tuesday,-0.8125
12,188,Chris,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 10 2020 Tuesday,0.07142857142857142
13,188,COVID,"[0, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 10 2020 Tuesday,-0.6666666666666666
14,188,Biden,"[1, 1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 10 2020 Tuesday,-0.058823529411764705
15,189,Trump,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 11 2020 Wednesday,-0.75
16,189,Republicans,"[0, 0, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 11 2020 Wednesday,-0.4166666666666667
17,189,Republican,"[-1, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 11 2020 Wednesday,-0.7894736842105263
18,189,Donald Trump,"[0, 0, 0, 0, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 11 2020 Wednesday,-0.6
19,189,Americans,"[-1, 0, -1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,November 11 2020 Wednesday,-0.2
20,190,Trump,"[0, -1, 0, -1, 0, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 12 2020 Thursday,-0.10526315789473684
21,190,COVID,"[0, 0, -1, 0, -1, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 12 2020 Thursday,-0.4666666666666667
22,190,Republican,"[0, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 12 2020 Thursday,-0.7777777777777778
23,190,Biden,"[0, -1, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 12 2020 Thursday,-0.16666666666666666
24,190,Congress,"[-1, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 12 2020 Thursday,-0.14285714285714285
25,191,Republican,"[-1, 0, -1, -1, 0, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 13 2020 Friday,-0.42105263157894735
26,191,Trump,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 13 2020 Friday,-0.5555555555555556
27,191,American,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 13 2020 Friday,-0.07142857142857142
28,191,Senate,"[0, -1, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 13 2020 Friday,-0.3076923076923077
29,191,Republicans,"[-1, -1, 0, 0, -1, 1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 13 2020 Friday,-0.5833333333333334
30,192,Georgia,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 16 2020 Monday,-0.2
31,192,Republican,"[-1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 16 2020 Monday,-0.8421052631578947
32,192,Donald Trump,"[-1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 16 2020 Monday,-0.7692307692307693
33,192,Raffensperger,"[-1, 0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, -1, 1]",MSNBC ALL IN with CHRIS HAYES,November 16 2020 Monday,-0.2
34,192,Joe Biden,"[0, -1, 0, 0, 1, 0, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 16 2020 Monday,-0.09090909090909091
35,193,Trump,"[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 17 2020 Tuesday,-0.7894736842105263
36,193,Republicans,"[-1, 0, 0, 1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 17 2020 Tuesday,-0.5333333333333333
37,193,Michigan,"[0, 0, -1, -1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 17 2020 Tuesday,-0.47058823529411764
38,193,Republican,"[-1, -1, -1, 0, -1, 0, -1, 0, -1, -1, 0, 0, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 17 2020 Tuesday,-0.4444444444444444
39,193,COVID,"[0, 0, -1, -1, 0, 0, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,November 17 2020 Tuesday,-0.36363636363636365
40,194,Trump,"[-1, -1, -1, -1, 0, 0, 0, 0, -1, -1, -1, 0, 0, -1, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 18 2020 Wednesday,-0.5263157894736842
41,194,Republican,"[-1, -1, -1, 0, 0, 0, 0, 0, -1, 0, -1, -1, -1, 0, 0, 0, -1, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 18 2020 Wednesday,-0.45
42,194,Donald Trump,"[-1, -1, 0, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 18 2020 Wednesday,-0.7692307692307693
43,194,GSA,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,November 18 2020 Wednesday,0.1111111111111111
44,194,Joe Biden,"[1, 0, 0, 0, 1, 1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 18 2020 Wednesday,0.25
45,195,Republican,"[0, 1, -1, 0, -1, -1, -1, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 19 2020 Thursday,-0.42105263157894735
46,195,Trump,"[-1, -1, 0, 0, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,November 19 2020 Thursday,-0.7058823529411765
47,195,Georgia,"[0, 1, 1, -1, -1, 0, -1, 1, 0, 0, -1, 0, 0, 0, 0, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 19 2020 Thursday,-0.11764705882352941
48,195,Michigan,"[0, 0, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,November 19 2020 Thursday,-0.5294117647058824
