,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,2,Trump,"[0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,October 2 2020 Friday,-0.1875
1,2,the White House,"[0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,October 2 2020 Friday,-0.5714285714285714
2,2,Walter Reed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,October 2 2020 Friday,0.0
3,2,White House,"[0, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, -1]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,October 2 2020 Friday,-0.3333333333333333
4,2,That`s,"[0, 0, 0, 0, -1, 1, 0, 0, 0]",MSNBC 11TH HOUR WITH BRIAN WILLIAMS,October 2 2020 Friday,0.0
5,203,Trump,"[-1, 0, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,October 1 2020 Thursday,-0.6666666666666666
6,203,Senate,"[0, -1, 0, 0, -1, 0, 0, -1, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,October 1 2020 Thursday,-0.46153846153846156
7,203,Republican,"[-1, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,October 1 2020 Thursday,-0.65
8,203,Republicans,"[-1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,October 1 2020 Thursday,-0.6875
9,203,Democrats,"[1, -1, 1, 0, -1, 0, 1, 0, 0, 1, -1]",MSNBC ALL IN with CHRIS HAYES,October 1 2020 Thursday,0.09090909090909091
10,204,Trump,"[-1, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,October 12 2020 Monday,-0.7058823529411765
11,204,Americans,"[-1, -1, -1, -1, -1, 0, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,October 12 2020 Monday,-0.6666666666666666
12,204,Michigan,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",MSNBC ALL IN with CHRIS HAYES,October 12 2020 Monday,0.18181818181818182
13,204,Republican,"[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,October 12 2020 Monday,-0.75
14,204,COVID,"[-1, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,October 12 2020 Monday,-0.3125
15,205,Trump,"[-1, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,October 13 2020 Tuesday,-0.65
16,205,Democrats,"[-1, 1, -1, 0, -1, 0, 0, 0, -1, -1, 0, 1, 0, 1, 1, 1, 0, 1, 0]",MSNBC ALL IN with CHRIS HAYES,October 13 2020 Tuesday,0.05263157894736842
17,205,Republican,"[0, 0, -1, -1, 0, -1, 0, 0, -1, 0, 0, -1, 0, -1, 0, -1, -1, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,October 13 2020 Tuesday,-0.45
18,205,Senate,"[-1, -1, 0, -1, 0, 1, 1, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,October 13 2020 Tuesday,-0.3157894736842105
19,205,Republicans,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,October 13 2020 Tuesday,-0.75
20,206,Trump,"[-1, 0, -1, -1, -1, 0, -1, 0, 0, -1, -1, -1, 0, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,October 14 2020 Wednesday,-0.6470588235294118
