,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,9,Trump,"[-1, -1, 0, -1, 0, 0, 0, -1, 0, -1, -1, -1, 0, 0, 0, 0]",MSNBC MSNBC LIVE,September 29 2020 Tuesday,-0.4375
1,9,Donald Trump,"[-1, -1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0]",MSNBC MSNBC LIVE,September 29 2020 Tuesday,-0.42105263157894735
2,9,Joe Biden,"[0, 0, 0, 0, 0, 0, -1, 0, 1, 0, -1, 0, 0, 0, 0, 0, -1, 1, 1]",MSNBC MSNBC LIVE,September 29 2020 Tuesday,0.0
3,9,Hillary Clinton,"[0, 1, 0, 0, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0]",MSNBC MSNBC LIVE,September 29 2020 Tuesday,-0.13333333333333333
4,9,Biden,"[1, 0, -1, 1, 0, 0, 0, -1, -1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",MSNBC MSNBC LIVE,September 29 2020 Tuesday,0.05555555555555555
5,222,Trump,"[-1, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,September 1 2020 Tuesday,-0.7
6,222,Antifa,"[-1, -1, 0, 0, -1, -1, -1, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,September 1 2020 Tuesday,-0.5
7,222,Joe Biden,"[1, 0, 1, 0, 1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,September 1 2020 Tuesday,0.0
8,222,Donald Trump,"[-1, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,September 1 2020 Tuesday,-0.7142857142857143
9,222,Kenosha,"[0, -1, -1, 0, 0, 0, 1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,September 1 2020 Tuesday,-0.3
10,223,Biden,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,September 10 2020 Thursday,-0.15789473684210525
11,223,Trump,"[-1, -1, -1, 1, 1, 0, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,September 10 2020 Thursday,-0.6111111111111112
12,223,Russian,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,September 10 2020 Thursday,-0.9230769230769231
13,223,Chris,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,September 10 2020 Thursday,0.0
14,223,American,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, -1, 1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,September 10 2020 Thursday,-0.4666666666666667
15,224,Oregon,"[-1, 0, -1, -1, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,September 11 2020 Friday,-0.375
16,224,Wisconsin,"[-1, 0, -1, -1, 0, -1, 0, -1, -1, 1, 1]",MSNBC ALL IN with CHRIS HAYES,September 11 2020 Friday,-0.36363636363636365
