,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,13,Iran,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-1.0
1,13,U.S.,"[0, 0, 0, -1, 0, -1, 0, 0, 0, -1, 0, -1, -1, 0, 0, 0, 0, -1, -1, -1, 0]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.38095238095238093
2,13,Iraq,"[-1, -1, -1, 0, -1, -1, 0, 0, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.5
3,13,American,"[0, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, 0, 0, 0, -1, -1, -1, 0]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.42105263157894735
4,13,Iranian,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",CNN ERIN BURNETT OUTFRONT,January 7 2020 Tuesday,-0.8421052631578947
5,20,U.S.,"[-1, 0, -1, -1, -1, -1, -1, 0, 0, 1, -1, 0, 0, -1]",CNN EARLY START,January 17 2020 Friday,-0.5
6,20,Trump,"[0, -1, -1, 0, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, -1, 1, 1]",CNN EARLY START,January 17 2020 Friday,-0.35294117647058826
7,20,the United States,"[0, -1, 0]",CNN EARLY START,January 17 2020 Friday,-0.3333333333333333
8,20,Ukraine,"[-1, 0, 0, 0, 0, 0, 0, 0]",CNN EARLY START,January 17 2020 Friday,-0.125
9,20,Senate,"[0, 0, 0, 0, 0, 1]",CNN EARLY START,January 17 2020 Friday,0.16666666666666666
10,21,U.S.,"[-1, -1, -1, 0, -1, -1, 0, 1]",CNN New Day,January 17 2020 Friday,-0.5
11,21,CNN,"[0, 0, -1, 0, 0, 0, 0]",CNN New Day,January 17 2020 Friday,-0.14285714285714285
12,21,Parnas,"[-1, 0, 0, 0, 0, -1, 0, -1, 0, -1, 0, 0, 0]",CNN New Day,January 17 2020 Friday,-0.3076923076923077
13,21,Iraq,"[-1, -1, 0, -1, -1, 0]",CNN New Day,January 17 2020 Friday,-0.6666666666666666
14,21,House,"[0, 0, -1, -1, -1, -1]",CNN New Day,January 17 2020 Friday,-0.6666666666666666
15,104,Trump,"[0, 0, 0, 0, -1, 0, 0, -1, 0, 1, 0, 0, 0, -1, -1, 0, 0, 0, 0, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.2
16,104,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN The Lead with Jake Tapper,January 20 2020 Monday,0.0
17,104,Democrats,"[-1, 0, -1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.07142857142857142
18,104,Republicans,"[0, -1, -1, 0, 0, 0, 0, 0, 0, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.3
19,104,the White House,"[0, 0, -1, 0, -1, -1, -1, -1]",CNN The Lead with Jake Tapper,January 20 2020 Monday,-0.625
20,139,Trump,"[0, -1, -1, -1, 0, 0, -1, -1, -1, 0, -1, -1, 0, 0, 1, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.4117647058823529
21,139,Senate,"[0, 0, 0, 0, 0, -1, -1, 0, -1, 0, 0, 0, -1, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.26666666666666666
22,139,U.S.,"[-1, -1, 0, 0, -1, -1, 1, -1, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.4444444444444444
23,139,CNN,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,January 20 2020 Monday,0.0
24,139,Republicans,"[-1, 0, -1, 0, 0, -1, 0, -1, 0, -1, -1]",CNN CNN NEWSROOM,January 20 2020 Monday,-0.5454545454545454
25,188,Iran,"[-1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.7368421052631579
26,188,U.S.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,0.1111111111111111
27,188,Congress,"[0, 0, 0, 0, 0, 0, 0, -1, -1, 1, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.09090909090909091
28,188,Israel,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",CNN CNN NEWSROOM,January 8 2020 Wednesday,0.1111111111111111
29,188,Americans,"[0, 0, 0, 0, -1]",CNN CNN NEWSROOM,January 8 2020 Wednesday,-0.2
30,198,Senate,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.05555555555555555
31,198,House,"[0, -1, 0, 0, 0, 1, 0, 0, 0, -1, -1, -1, 0, 0, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.1875
32,198,Clinton,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.16666666666666666
33,198,Chief Justice,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,0.14285714285714285
34,198,Republican,"[-1, 0, 0, -1, -1, -1, -1, -1, -1, 0, 0, 0, -1, 0, -1, 0, 0, 0, -1]",CNN CNN LIVE EVENT/SPECIAL,January 22 2020 Wednesday,-0.5263157894736842
35,217,Harry,"[0, -1, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,January 18 2020 Saturday,0.0
36,217,Meghan,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",CNN CNN NEWSROOM,January 18 2020 Saturday,0.15
