,Transcript,Topic,Sentiment,Program,Date,avg_sentiment
0,12,Kobe,"[0, 0, -1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",MSNBC POLITICS NATION,January 26 2020 Sunday,-0.05555555555555555
1,12,Kobe Bryant,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.15
2,12,NBA,"[-1, 0, 0, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.0
3,12,Gianna,"[0, 0, 0, 0, 0, 1, 1, 0, 0, -1, 0, 0, 0, 0, -1, -1, 1, -1]",MSNBC POLITICS NATION,January 26 2020 Sunday,-0.05555555555555555
4,12,Southern California,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC POLITICS NATION,January 26 2020 Sunday,0.0
5,58,Iran,"[-1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.8947368421052632
6,58,Trump,"[-1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.8421052631578947
7,58,Congress,"[0, -1, -1, -1, -1, 1, 0, -1, 0, 0, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,January 2 2020 Thursday,-0.38461538461538464
8,91,Senate,"[0, 0, -1, 0, -1, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.35294117647058826
9,91,Donald Trump,"[0, 0, 0, -1, 0, 0, 0, 0, -1, 0, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.2857142857142857
10,91,Trump,"[0, -1, 0, 0, -1, 0, 0, -1, -1, -1, -1, 0, 0, -1, 0, -1, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.5263157894736842
11,91,Iran,"[-1, -1, -1, -1, -1, 0, 0, -1, -1, 0, 0, 0, -1, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.5
12,91,U.S.,"[-1, 0, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 10 2020 Friday,-0.6
13,92,Trump,"[0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.2
14,92,Parnas,"[-1, -1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.2631578947368421
15,92,Lev Parnas,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.045454545454545456
16,92,Barr,"[0, 0, 0, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.3333333333333333
17,92,Pence,"[0, 0, 0, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1, 1]",MSNBC ALL IN with CHRIS HAYES,January 16 2020 Thursday,-0.21052631578947367
18,93,Ukraine,"[0, 0, 0, 0, -1, 0, 0, -1, -1, 0, 0, 1, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.11764705882352941
19,93,Lev Parnas,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,0.0
20,93,Trump,"[0, -1, -1, -1, 0, -1, 0, 0, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.6666666666666666
21,93,Donald Trump,"[0, 0, 0, 0, 0, -1, -1, 0, -1, -1, -1, -1, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.5333333333333333
22,93,Senate,"[0, 0, 0, 0, 0, 0, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 17 2020 Friday,-0.25
23,94,Senate,"[1, 0, -1, 0, 0, 0, 1, 0, 1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,0.07692307692307693
24,94,House,"[0, 1, -1, 0, -1, 0, -1, 0, 0, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.25
25,94,Democrats,"[0, 0, 0, 0, -1, -1, 0, 1, 1]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,0.0
26,94,Trump,"[0, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.8461538461538461
27,94,the White House,"[0, 0, 0, 0, 1, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 21 2020 Tuesday,-0.1111111111111111
28,95,U.S.,"[0, 1, -1, -1, -1, 0, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.17647058823529413
29,95,Ukraine,"[1, -1, 1, -1, 0, -1, 1, 0, -1, 0, -1, -1, -1, 0, -1, -1, 0, 0, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.35
30,95,Zelensky,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, -1, -1, -1, -1, 0]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.06666666666666667
31,95,Trump,"[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.8333333333333334
32,95,American,"[0, -1, -1, 0, 0, -1, -1, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 23 2020 Thursday,-0.4444444444444444
33,96,Ukraine,"[-1, 1, 1, 1, -1, -1, 0, 0, -1, -1, -1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.2727272727272727
34,96,House,"[-1, -1, -1, 0, 0, -1, -1, 0, 0, -1, 0, -1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.5833333333333334
35,96,Congress,"[-1, -1, -1, 0, -1, -1, 0, 1]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,-0.5
36,96,I`m,"[0, 0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,0.0
37,96,Obama,"[0, 0, 0, 0, 0, 0]",MSNBC ALL IN with CHRIS HAYES,January 24 2020 Friday,0.0
