,Transcript,Topic,Sentiment,Program,avg_sentiment
0,21,Trump,"[1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 0, 1, -1]",Fox News Network INGRAHAM ANGLE,-0.5882352941176471
1,21,Comey,"[-1, 0, -1, -1, -1, 0, 0, 0, -1, -1, -1, -1, 0, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.7058823529411765
2,21,Democrats,"[-1, -1, 0, -1, 0, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.7894736842105263
3,21,FBI,"[-1, -1, -1, -1, -1, -1, 0, -1, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.8181818181818182
4,21,Mueller,"[-1, -1, -1, -1, -1, 1, 0, 0, -1, -1, -1, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.6
5,36,Democrats,"[-1, 0, -1, 0, -1, -1, 0, -1, -1, -1, -1, -1, -1, 0, -1, -1, 0]",Fox News Network INGRAHAM ANGLE,-0.7058823529411765
6,36,Trump,"[-1, -1, 1, 0, 0, 0, 1, 0, -1, 0, 0, -1, 0, 0, 0, 0, 0, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.25
7,36,Senate,"[0, -1, 0, 0, -1, 0, -1, -1, 0, 0, -1, 0, -1, 0, -1]",Fox News Network INGRAHAM ANGLE,-0.4666666666666667
8,36,Adam Schiff,"[-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 1]",Fox News Network INGRAHAM ANGLE,-0.7894736842105263
9,36,House,"[0, 1, -1, 0, -1, -1, 0, -1, -1, 0, -1, -1, -1, -1]",Fox News Network INGRAHAM ANGLE,-0.5714285714285714
10,38,Trump,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 1, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.0
11,38,U.S.,"[0, -1, 0, -1, -1, 0, 1, -1, 0, 0, 0, 0, 1, -1, 0, 0, 1, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.1111111111111111
12,38,Iran,"[-1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, 0, -1, 0, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,-0.5294117647058824
13,38,Bret,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.21428571428571427
14,38,Google,"[1, 1, 0, -1, -1, 0, 0, 1]",Fox News Network FOX SPECIAL REPORT WITH BRET BAIER,0.125
15,48,Trump,"[-1, -1, -1, -1, 0, -1, 0, 0, -1, 0, 0, 1, -1, 0]",Fox News Network THE FIVE,-0.42857142857142855
16,48,Sandra,"[0, 0, 1, 0, 0, 0, 0, 0]",Fox News Network THE FIVE,0.125
17,48,Democrats,"[-1, 0, -1, 0, -1, -1, -1, 0, -1, -1]",Fox News Network THE FIVE,-0.7
18,48,Soleimani,"[-1, -1, -1, 0, -1, 0, -1, -1, -1, 0, 0]",Fox News Network THE FIVE,-0.6363636363636364
19,53,Trump,"[0, 1, 0, 1, -1, 0, -1, 0, -1, 0, -1, -1, 0, 0, -1, -1, 0, 0, -1]",Fox News Network THE FIVE,-0.3157894736842105
20,53,Pete,"[0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",Fox News Network THE FIVE,-0.15384615384615385
21,53,Iraq,"[-1, 0, -1, -1, 0, 0, -1, 0, -1, 0, 0, -1, -1]",Fox News Network THE FIVE,-0.5384615384615384
22,85,American,"[0, 1, 1, -1, -1, 1, 0, 0, -1]",Fox News Network LIVE EVENT,0.0
23,85,Americans,"[-1, 1, 0, -1, 0]",Fox News Network LIVE EVENT,-0.2
24,85,Congress,"[0, 0, -1, -1]",Fox News Network LIVE EVENT,-0.5
25,85,Senate,"[-1, 0, 0]",Fox News Network LIVE EVENT,-0.3333333333333333
26,85,Stephanie,"[0, 0, 0, 0]",Fox News Network LIVE EVENT,0.0
