,subject,sentence,output
0,Trump,How can they let Trump off the hook?,NEGATIVE
1,Trump,"On the international stage, we saw President Trump negotiate trade agreements, the long overdue USMCA in phase one of a China pact.",POSITIVE
2,Trump,"Now, last year, they feigned horror when Trump and his supporters blasted left-wing activists who were harassing conservatives.",NEGATIVE
3,Trump, Trump is it in 2020 unless what?,NEUTRAL
4,Comey,"Then there is the question of how many memos Comey shared with his pal, Richman, for media distribution and whether they contained classified material.",NEUTRAL
5,Comey,"Now, if one thing that was certain about 2019, it's that Comey was revealed to be a complete and total disgrace as FBI Director.",NEGATIVE
6,Comey,"Now, in the months that followed, Comey memorialized his other meetings with the President.",NEUTRAL
7,Comey,"Now, Comey comes from the rarified upper crust of elite Washington lawyers.",NEUTRAL
8,Comey,"Now, in repeated interviews, Comey said versions of this.(BEGIN VIDEO CLIP)",NEUTRAL
9,Comey,"""Comey had several other lawful options available to him to advocate for the appointment of a special counsel, which he told us was his goal in making the disclosure.",NEUTRAL
10,Comey,"Now folks like Comey, themselves, have coasted for years on their pedigree and puffery.",NEGATIVE
11,Comey,"And it was Comey who signed the first FISA warrant to spy on American citizens, now, based on the dossier, he knew or should have known was not credible.",NEGATIVE
12,Comey,The IG report established beyond a shadow of a doubt that Comey engaged in a grand personal vendetta against this President.,NEGATIVE
13,Comey,The IG report tells us that Comey meticulously planned exactly how he would inform President-elect Trump of the salacious details contained in that Steele dossier.,NEUTRAL
14,Comey,"Comey along with Clapper, Brennan, Strzok, and McCabe, and perhaps others, fancied themselves as Trump-resisting superheroes, self-appointed saviors of truth, justice and the American way.",NEGATIVE
15,Democrats,"Well, Democrats have lost all sense of perspective and apparently even their own memory as they try to out metal one another in the hate-Trump Olympics.",NEGATIVE
16,Trump," One month after firing Comey and in reaction to the now Former FBI Director's Capitol Hill testimony, Trump in a tweet wrote, ""Despite so many false statements and lies, total and complete vindication - and wow, Comey is a leaker!""",POSITIVE
17,Trump,"To them, Trump from the outset was an uncouth real estate mogul turned reality star, the antithesis of what many of these self-anointed elites wanted in their President.",NEGATIVE
18,Trump,"Now, last year, they feigned horror when Trump and his supporters blasted left-wing activists who were harassing conservatives.",NEGATIVE
19,Trump,And now the left is trying to pull the same routine on Trump by drastically lowering the bar for high crimes and misdemeanors to impeach him.,NEGATIVE
20,Comey,"But if Comey manages to escape prosecution for conduct that his underlings would be charged for, then the damage he did to the FBI will extend to our belief in the treasured words carved into the Supreme Court building -- equal justice under the law.",NEGATIVE
21,Comey,"And it was Comey who signed the first FISA warrant to spy on American citizens, now, based on the dossier, he knew or should have known was not credible.",NEGATIVE
22,Comey,"Then there is the question of how many memos Comey shared with his pal, Richman, for media distribution and whether they contained classified material.",NEUTRAL
23,Comey,"Now folks like Comey, themselves, have coasted for years on their pedigree and puffery.",NEGATIVE
24,Comey,"Well, today, the supercilious, pious, sanctimonious Former FBI Director Jim Comey was roasted.",NEGATIVE
25,Comey,"""Comey had several other lawful options available to him to advocate for the appointment of a special counsel, which he told us was his goal in making the disclosure.",NEUTRAL
26,Comey,"Now, in repeated interviews, Comey said versions of this.(BEGIN VIDEO CLIP)",NEUTRAL
27,Comey,"Now, Comey comes from the rarified upper crust of elite Washington lawyers.",NEUTRAL
28,Comey,"So after briefing Trump about the dossier at Trump Tower, Comey started drafting a memo to memorialize the encounter during a car ride back to the office.",NEUTRAL
29,Comey,"""Now, you get the sense that when Director Comey entered the FBI building, it became like the wardrobe in that famous C.S. Lewis book.",NEUTRAL
30,Comey,The IG report tells us that Comey meticulously planned exactly how he would inform President-elect Trump of the salacious details contained in that Steele dossier.,NEUTRAL
31,Democrats,"""(BEGIN VIDEOTAPE)Now, many of you know that Democrats today are easily offended.",NEGATIVE
32,Democrats,"What will fill the void?Well, recovery won't be easy, I'm not going to lie to you, because for Democrats, the end of this investigation is akin to the death of a loved one.",NEGATIVE
33,Democrats,"Now, liberals clutch their pearls when conservatives do something, and yet they make endless excuses for Democrats when they do the exact same thing.",NEGATIVE
34,Democrats,"There is an honest level of sadness and disappointment and disorientation among progressives and Democrats, and I think it goes deeper than just what's in the report.(END VIDEO CLIP)",NEGATIVE
35,Democrats,"So, first, Democrats' democracy problem.",NEGATIVE
36,Democrats,"And I've come to the sad conclusion that Democrats, they're basically done with democracy, at least when it delivers results they don't like.(BEGIN VIDEO CLIP)",NEGATIVE
37,Democrats,Yet there are other far more damaging ways in which the Democrats' pretzel-like opposition to Trump has manifested itself.,NEGATIVE
38,Democrats,"Democrats could not risk the political fallout in Virginia coming up on an election year, trying to ditch Ralph Northam.",NEGATIVE
39,Democrats,"Of course, that's all very different from the impeachment standard than the one the same Democrats held back when Clinton faced Hill Republicans.(BEGIN VIDEO CLIP)",NEGATIVE
40,Democrats,We see the Democrats and the Trump haters working their way through the grieving process.,NEGATIVE
41,Democrats,The Democrats are just only too happy to forsake formally core issues and beliefs if they believe it will bring down Donald Trump.,NEGATIVE
42,FBI,"Well, today, the supercilious, pious, sanctimonious Former FBI Director Jim Comey was roasted.",NEGATIVE
43,FBI," The FBI protocol says your own employment agreement with the FBI prohibits ""the unauthorized disclosure of any information or material from or related to FBI files or any information acquired by virtue of my official employment without prior written permission from the FBI.""",NEUTRAL
44,FBI,"""Now, you get the sense that when Director Comey entered the FBI building, it became like the wardrobe in that famous C.S. Lewis book.",NEUTRAL
45,Mueller,"That was a finding, and Mueller did not exonerate this presidency.",NEUTRAL
46,Mueller, Thank you Robert Mueller and everyone making sure we have sovereignty for the United States of America.(APPLAUSE)(END VIDEO CLIP),POSITIVE
47,Mueller," You see, Mueller wasn't just a special prosecutor to Democrats.",NEUTRAL
48,Mueller," Obviously right now we have mostly just a ton of questions, as to what Mueller's report says, how complete it is, who gets to see it, who gets to decide who gets to see it, and when.",NEUTRAL
49,Mueller," The Mueller report will ultimately get out, and there will be very damaging information for the president.",NEUTRAL
