,subject,sentence,output
0,Kobe,"And if there was an example of that, it was Kobe Bryant.",NEUTRAL
1,Kobe,"When we look at Kobe Bryant and his relationship, I was just looking at some of the responses here.",NEUTRAL
2,Kobe,I`m Kobe Bryant.,NEUTRAL
3,Kobe,How -- it`s not just the fame of Kobe Bryant that that father talked about and resonated with his kids it`s how meaningful he was.,POSITIVE
4,Kobe,How was the sensitivity level to you that Kobe would show?,NEUTRAL
5,Kobe," Well, you know, I mean, Kobe was a writer.",NEUTRAL
6,Kobe,NBC News confirming retired NBA basketball superstar Kobe Bryant has been killed in a helicopter crash in California.,NEGATIVE
7,Kobe,"I mean, this -- Kobe Bryant is an icon.",POSITIVE
8,Kobe,"And when you think of the 20 years, and you think of, as we watch those players come off the plane and head to the bus or whatever was going to transport them, some of them literally grew up wanting to be Kobe Bryant.",POSITIVE
9,Kobe Bryant,"And if there was an example of that, it was Kobe Bryant.",NEUTRAL
10,Kobe Bryant,"Michael Jordan, in a statement on the passing of Kobe Bryant.",NEUTRAL
11,Kobe Bryant,"Kavitha, we are confirming at NBC News and MSNBC , Kobe Bryant, his 13-year-old daughter, Gianna Bryant, one of her teammates, the parent and the pilot are the five that died in this helicopter crash.",NEUTRAL
12,Kobe Bryant,"When we look at Kobe Bryant and his relationship, I was just looking at some of the responses here.",NEUTRAL
13,Kobe Bryant,"And I do think guys like Kobe Bryant nurtured along by David Stern, but especially the current commissioner, Adam Silver, have been allowed to flourish and show themselves for who they are.",POSITIVE
14,Kobe Bryant,"We just heard from the county sheriff that there are nine, and NBC News being able to confirm according to reporting that the five names that are part of that nine, Kobe Bryant, his daughter, Gianna, 13, one of Gianna`s teammates, a parent and a pilot.",NEUTRAL
15,Kobe Bryant,"Quote, we have tragically lost one of the greatest sports figures of our time with the passing of Kobe Bryant.",NEUTRAL
16,Kobe Bryant,And Kobe Bryant was one of the best.,POSITIVE
17,Kobe Bryant,"The fact that Kobe Bryant represented what he did to so many people tells us something about the sport of basketball, a sport that he helped create.",POSITIVE
18,Kobe Bryant,"The first thing that hit me when I got the news was Kobe Bryant was there when I did the eulogy at Michael Jackson, the pop singer`s funeral, and he said it was very brief but impactful conversation.",NEUTRAL
19,Kobe Bryant,I`m Kobe Bryant.,NEUTRAL
20,NBA,"And, of course, when you`re a young male in the NBA, you`re surrounded by that as your milieu, but as you grow up and as you mature.",NEUTRAL
21,NBA,"And when we look at the reaction, the 20 reasons, the 20 years that he played in the NBA, it`s just the span that he had had.",NEUTRAL
22,NBA, Always debates between the NBA and the WNBA.,NEUTRAL
23,Gianna,"He wanted the world to know, Gianna says she got this, which was his approval by him saying that.",POSITIVE
24,Gianna,"Kavitha, we are confirming at NBC News and MSNBC , Kobe Bryant, his 13-year-old daughter, Gianna Bryant, one of her teammates, the parent and the pilot are the five that died in this helicopter crash.",NEUTRAL
25,Gianna,"And you bring up Gianna, Gigi, as her nickname was.",NEUTRAL
26,Gianna," I`m just getting in a statement from Duke`s basketball coach on the passing of Kobe and Gianna Bryant, Coach K, and the relationship they have, very well known.",NEUTRAL
27,Gianna,"Now, among them Bryant`s 13-year-old daughter, Gianna, his second daughter, who herself was an aspiring basketball player, as well as a teammate of Gianna`s, the teammate`s parent and the pilot.",NEUTRAL
28,Southern California,going live to Southern California.,NEUTRAL
29,Iraq," What we know about what happened at the U.S. Embassy in Iraq, and why the President`s policies are being blamed.",NEGATIVE
30,Iraq, It puts Iraq and Iran in many ways up against the wall and in very difficult positions.,NEGATIVE
31,Iraq,And it`s not good for Iraq.,NEGATIVE
32,Iraq," And on the other hand, attached to that same name, Hashtashabi, the militias of Iraq are also people who reported to Qassim Suleimani and not to the Iraqi government.",NEGATIVE
